OCCUPATION;p(SHE);p(HE);ppbs
kokk;0.408;0.592;0.184
advokat;0.49;0.51;0.02
advokatsekretær;0.955;0.045;-0.91
afis-fullmektig;0.245;0.755;0.51
agronom;0.392;0.608;0.216
aksjemegler;0.316;0.684;0.368
aktivitør;0.643;0.357;-0.286
aktuar;0.294;0.706;0.412
grunnskolelærer;0.754;0.246;-0.508
ambulansearbeider;0.416;0.584;0.168
anleggsgartner;0.196;0.804;0.608
anleggsmaskinfører;0.02;0.98;0.96
apoteker;0.672;0.328;-0.344
apotektekniker;0.956;0.044;-0.912
arkeolog;0.706;0.294;-0.412
arkitekt;0.504;0.496;-0.008
arkivar;0.71;0.29;-0.42
art director;0.437;0.563;0.126
personlig assistent;0.734;0.266;-0.468
astronom;0.215;0.785;0.57
audiograf;0.725;0.275;-0.45
automatiker;0.054;0.946;0.892
avioniker;0.054;0.946;0.892
badevakt;0.494;0.506;0.012
baker;0.437;0.563;0.126
barne- og ungdomsarbeider;0.815;0.185;-0.63
barnehageassistent;0.849;0.151;-0.698
barnevernspedagog;0.862;0.138;-0.724
bartender;0.533;0.467;-0.066
bibliotekar;0.792;0.208;-0.584
billakkerer;0.079;0.921;0.842
bilmekaniker (lette kjøretøy);0.019;0.981;0.962
bilselger;0.057;0.943;0.886
bioingeniør;0.829;0.171;-0.658
biokjemiker;0.516;0.484;-0.032
biolog;0.486;0.514;0.028
bioteknolog;0.6;0.4;-0.2
blikkenslager;0.014;0.986;0.972
blomsterdekoratør;0.959;0.041;-0.918
brannkonstabel;0.052;0.948;0.896
brønnoperatør;0.035;0.965;0.93
bussjåfør;0.072;0.928;0.856
butikkmedarbeider;0.629;0.371;-0.258
ferskvarehandler;0.529;0.471;-0.058
dansepedagog;0.877;0.123;-0.754
danser;0.644;0.356;-0.288
dataingeniør;0.181;0.819;0.638
diakon;0.844;0.156;-0.688
dirigent;0.497;0.503;0.006
dommer;0.479;0.521;0.042
dykker;0.024;0.976;0.952
dyrepleier;0.946;0.054;-0.892
tegnspråktolk;0.933;0.067;-0.866
eiendomsmegler;0.335;0.665;0.33
elektriker;0.026;0.974;0.948
elektroingeniør;0.108;0.892;0.784
energimontør;0.032;0.968;0.936
ergoterapeut;0.886;0.114;-0.772
klinisk ernæringsfysiolog;0.952;0.048;-0.904
faglærer;0.492;0.508;0.016
provisorfarmasøyt;0.816;0.184;-0.632
brannforebygger;0.114;0.886;0.772
fengselsbetjent;0.419;0.581;0.162
fagoperatør akvakultur (fiskeoppdretter);0.172;0.828;0.656
flygeleder;0.243;0.757;0.514
flymotormekaniker;0.054;0.946;0.892
forfatter;0.557;0.443;-0.114
forsikringsrådgiver;0.475;0.525;0.05
forsker;0.464;0.536;0.072
fotballspiller;0.123;0.877;0.754
fotballtrener;0.119;0.881;0.762
fotograf;0.334;0.666;0.332
fotojournalist;0.218;0.782;0.564
fotterapeut;0.954;0.046;-0.908
frisør;0.888;0.112;-0.776
