Year;Rank 1;Rank 2;Rank 3;Rank 4;Rank 5;Rank 6;Rank 7;Rank 8;Rank 9;Rank 10
1880;ANNA;MARIE;KAREN;INGEBORG;INGA;ANNE;MARTA;KAROLINE;KRISTINE;JOHANNE
1881;ANNA;MARIE;INGEBORG;ANNE;KAREN;INGA;MARTA;JOHANNE;KAROLINE;HANNA
1882;ANNA;MARIE;INGEBORG;INGA;KAREN;MARTA;ANNE;OLGA;SOFIE;KRISTINE
1883;ANNA;MARIE;INGEBORG;INGA;ANNE;KAREN;MARTA;JOHANNE;SOFIE;RAGNA
1884;ANNA;MARIE;INGEBORG;KAREN;INGA;MARTA;ANNE;HELGA;KRISTINE;OLGA
1885;ANNA;MARIE;INGEBORG;INGA;ANNE;MARTA;KAREN;OLGA;HELGA;JOHANNE
1886;ANNA;MARIE;INGA;INGEBORG;MARTA;KAREN;ANNE;OLGA;HELGA;KRISTINE
1887;ANNA;MARIE;INGEBORG;INGA;KAREN;MARTA;ANNE;OLGA;RAGNA;JENNY
1888;ANNA;MARIE;INGA;KAREN;INGEBORG;MARTA;OLGA;ANNE;HELGA;SIGRID
1889;ANNA;MARIE;MARTA;INGEBORG;INGA;KAREN;ANNE;OLGA;JENNY;MARGIT
1890;ANNA;MARIE;INGEBORG;MARTA;INGA;KAREN;OLGA;ANNE;JENNY;MARGIT
1891;ANNA;MARIE;MARTA;INGEBORG;INGA;KAREN;OLGA;MARGIT;JENNY;ANNE
1892;ANNA;MARIE;OLGA;MARTA;INGEBORG;INGA;KAREN;JENNY;MARGIT;BORGHILD
1893;ANNA;MARIE;JENNY;OLGA;MARTA;INGEBORG;INGA;KAREN;BORGHILD;HELGA
1894;ANNA;MARIE;MARTA;INGEBORG;OLGA;INGA;MARGIT;KAREN;JENNY;BORGHILD
1895;ANNA;MARIE;MARTA;JENNY;INGEBORG;MARGIT;OLGA;BORGHILD;INGA;KAREN
1896;ANNA;MARIE;MARTA;OLGA;ASTRID;JENNY;INGEBORG;INGA;BORGHILD;MARGIT
1897;ANNA;MARIE;OLGA;INGEBORG;MARGIT;MARTA;BORGHILD;ASTRID;JENNY;GUDRUN
1898;ANNA;MARIE;ASTRID;OLGA;INGEBORG;BORGHILD;MARTA;JENNY;MARGIT;GUDRUN
1899;ANNA;MARIE;INGEBORG;ASTRID;BORGHILD;MARGIT;OLGA;GUDRUN;MARTA;JENNY
1900;ANNA;MARIE;ASTRID;MARGIT;INGEBORG;BORGHILD;OLGA;MARTA;JENNY;GUDRUN
1901;ANNA;ASTRID;MARIE;MARGIT;INGEBORG;BORGHILD;MARTA;GUDRUN;JENNY;OLGA
1902;ANNA;ASTRID;MARIE;INGEBORG;BORGHILD;MARGIT;GUDRUN;MARTA;OLGA;JENNY
1903;ANNA;ASTRID;MARIE;BORGHILD;INGEBORG;GUDRUN;MARGIT;MARTA;JENNY;OLGA
1904;ANNA;BORGHILD;ASTRID;INGEBORG;MARGIT;MARIE;GUDRUN;MARTA;OLGA;SIGNE
1905;ANNA;ASTRID;BORGHILD;GUDRUN;INGEBORG;MARGIT;MARIE;OLGA;MARTA;JENNY
1906;ANNA;ASTRID;MARIE;BORGHILD;INGEBORG;GUDRUN;MARGIT;MARTA;OLGA;SOLVEIG
1907;ANNA;ASTRID;GUDRUN;MARIE;MARGIT;BORGHILD;INGEBORG;SOLVEIG;JENNY;INGRID
1908;ANNA;GUDRUN;ASTRID;BORGHILD;MARGIT;MARIE;INGEBORG;SOLVEIG;INGRID;OLGA
1909;ANNA;GUDRUN;ASTRID;BORGHILD;MARGIT;INGEBORG;MARIE;SOLVEIG;RUTH;SIGNE
1910;ANNA;GUDRUN;ASTRID;BORGHILD;SOLVEIG;INGRID;MARGIT;INGEBORG;MARIE;RUTH
1911;ANNA;ASTRID;GUDRUN;SOLVEIG;BORGHILD;INGEBORG;ASLAUG;MARGIT;INGRID;MARIE
1912;ANNA;ASTRID;GUDRUN;SOLVEIG;MARGIT;BORGHILD;RUTH;INGRID;INGEBORG;MARIE
1913;ANNA;SOLVEIG;ASTRID;GUDRUN;BORGHILD;RUTH;INGRID;MARGIT;INGEBORG;ASLAUG
1914;ANNA;SOLVEIG;RUTH;ASTRID;GUDRUN;INGRID;BORGHILD;MARGIT;ASLAUG;MARIE
1915;ANNA;SOLVEIG;ASTRID;RUTH;GUDRUN;INGRID;MARGIT;INGEBORG;MARIE;BORGHILD
1916;ANNA;SOLVEIG;RUTH;ASTRID;GUDRUN;INGRID;MARGIT;BORGHILD;GERD;INGEBORG
1917;ANNA;SOLVEIG;RUTH;ASTRID;INGRID;GERD;MARGIT;GUDRUN;BORGHILD;MARIE
1918;SOLVEIG;ANNA;RUTH;ASTRID;GERD;INGRID;ELSE;GUDRUN;MARGIT;MARIE
1919;RUTH;SOLVEIG;ANNA;GERD;INGRID;ASTRID;GUDRUN;ELSE;MARGIT;MARY
1920;SOLVEIG;RUTH;ANNA;GERD;INGRID;ASTRID;ELSE;INGER;ASLAUG;GUDRUN
1921;SOLVEIG;GERD;RUTH;INGRID;ANNA;ELSE;ASTRID;INGER;GUDRUN;ÅSE
1922;RUTH;SOLVEIG;GERD;ANNA;INGRID;ASTRID;INGER;ELSE;ÅSE;MARY
1923;SOLVEIG;RUTH;GERD;ANNA;INGRID;ASTRID;INGER;ELSE;ÅSE;RANDI
1924;SOLVEIG;RUTH;GERD;ANNA;INGRID;INGER;ASTRID;ÅSE;ELSE;ASLAUG
1925;SOLVEIG;GERD;RUTH;INGER;INGRID;ANNA;ÅSE;ELSE;ASTRID;RANDI
1926;SOLVEIG;GERD;RUTH;INGER;ASTRID;INGRID;ELSE;ÅSE;BJØRG;ANNA
1927;SOLVEIG;GERD;RUTH;INGER;ASTRID;INGRID;BJØRG;ELSE;ÅSE;ANNE
1928;GERD;SOLVEIG;INGER;RUTH;BJØRG;ELSE;INGRID;ASTRID;ÅSE;ANNE
1929;SOLVEIG;INGER;BJØRG;GERD;RUTH;ELSE;INGRID;ASTRID;ÅSE;ANNA
1930;BJØRG;INGER;SOLVEIG;GERD;RAGNHILD;ASTRID;INGRID;RUTH;ELSE;ANNE
1931;BJØRG;RAGNHILD;SOLVEIG;INGER;GERD;ELSE;ANNE;KARI;INGRID;ASTRID
1932;ASTRID;BJØRG;INGER;GERD;SOLVEIG;RAGNHILD;ELSE;ANNE;INGRID;KARI
1933;ASTRID;BJØRG;INGER;SOLVEIG;GERD;ANNE;RAGNHILD;KARI;ELSE;ÅSE
1934;BJØRG;ASTRID;INGER;GERD;KARI;ANNE;SOLVEIG;RAGNHILD;LIV;ÅSE
1935;BJØRG;ASTRID;INGER;GERD;ANNE;LIV;KARI;BERIT;SOLVEIG;ELSE
1936;BJØRG;GERD;ASTRID;INGER;ANNE;KARI;LIV;BERIT;SOLVEIG;ELSE
1937;INGER;BJØRG;ANNE;GERD;ASTRID;KARI;LIV;BERIT;SOLVEIG;ELSE
1938;BJØRG;INGER;ANNE;GERD;KARI;BERIT;ASTRID;LIV;MARIT;SOLVEIG
1939;BJØRG;ANNE;INGER;KARI;GERD;LIV;BERIT;ASTRID;MARIT;TURID
1940;ANNE;BJØRG;INGER;KARI;LIV;GERD;BERIT;MARIT;ASTRID;TURID
