Year;Rank 1;Rank 2;Rank 3;Rank 4;Rank 5;Rank 6;Rank 7;Rank 8;Rank 9;Rank 10
1880;OLE;JOHAN;KARL;HANS;KRISTIAN;PEDER;OLAF;NILS;MARTIN;LARS
1881;OLE;JOHAN;HANS;KARL;KRISTIAN;NILS;OLAF;LARS;ANDREAS;PEDER
1882;OLE;JOHAN;KARL;HANS;KRISTIAN;NILS;ANDERS;OLAF;LARS;PEDER
1883;OLE;JOHAN;KARL;HANS;KRISTIAN;NILS;OLAF;PEDER;ANDERS;MARTIN
1884;OLE;KARL;JOHAN;HANS;KRISTIAN;NILS;ANDERS;PEDER;LARS;OLAF
1885;OLE;JOHAN;HANS;KARL;KRISTIAN;OLAF;LARS;PEDER;NILS;MARTIN
1886;OLE;JOHAN;KARL;HANS;KRISTIAN;NILS;OLAF;PEDER;JOHANNES;LARS
1887;OLE;JOHAN;HANS;KARL;KRISTIAN;OLAF;PEDER;LARS;MARTIN;JOHANNES
1888;OLE;JOHAN;KARL;HANS;NILS;OLAF;KRISTIAN;PEDER;ANDERS;JOHANNES
1889;OLE;JOHAN;HANS;KARL;OLAF;NILS;PEDER;KRISTIAN;LARS;JOHANNES
1890;OLE;JOHAN;KARL;HANS;KRISTIAN;NILS;OLAF;PEDER;LARS;OSKAR
1891;OLE;JOHAN;KARL;HANS;KRISTIAN;OLAF;NILS;PEDER;JOHANNES;LARS
1892;JOHAN;OLE;HANS;KARL;KRISTIAN;OLAF;NILS;PEDER;SIGURD;LARS
1893;JOHAN;OLE;KARL;HANS;KRISTIAN;OLAF;NILS;PEDER;JOHANNES;HARALD
1894;OLE;JOHAN;HANS;KARL;KRISTIAN;OLAF;NILS;EINAR;LARS;JOHANNES
1895;JOHAN;OLE;KARL;HANS;OLAF;KRISTIAN;NILS;OLAV;EINAR;PEDER
1896;OLE;JOHAN;HANS;KARL;KRISTIAN;OLAF;NILS;EINAR;PEDER;JOHANNES
1897;OLE;JOHAN;HANS;KARL;EINAR;OLAF;KRISTIAN;NILS;HARALD;PEDER
1898;OLE;JOHAN;KARL;HANS;EINAR;OLAF;KRISTIAN;OLAV;HARALD;NILS
1899;OLE;JOHAN;HANS;KARL;EINAR;KRISTIAN;OLAV;OLAF;NILS;HARALD
