ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
lærer;917;744;0.046;0.042;-0.004;-0.378
skuespiller;846;656;0.043;0.044;0.001;0.002
journalist;224;138;0.034;0.034;0.0;0.072
politiker;55;58;0.033;0.031;-0.002;-0.034
advokat;30;62;0.023;0.023;0.0;0.02
musiker;20;38;0.019;0.022;0.003;0.172
fotballspiller;17;18;0.023;0.019;-0.004;0.754
lege;19;8;0.024;0.04;0.016;-0.086
arkitekt;10;8;0.024;0.018;-0.006;-0.008
kaptein;0;2;0;0.007;0.007;0.98
sanger;1;0;0.011;0;-0.011;-0.164
astronom;1;0;0.014;0;-0.014;0.57
jurist;0;1;0;0.019;0.019;-0.284
forfatter;0;1;0;0.021;0.021;-0.114
