ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
skuespiller;1725;1148;0.079;0.065;-0.014;0.002
advokat;1466;1255;0.072;0.093;0.021;0.02
journalist;1330;892;0.055;0.05;-0.005;0.072
lærer;1325;1033;0.075;0.075;0.0;-0.378
modell;737;2;0.05;0.03;-0.02;-0.368
forfatter;496;419;0.05;0.045;-0.005;-0.114
professor;96;215;0.029;0.029;0.0;0.336
musiker;142;213;0.045;0.047;0.002;0.172
fotballspiller;5;152;0.039;0.044;0.005;0.754
arkitekt;15;138;0.039;0.035;-0.004;-0.008
fotograf;79;52;0.038;0.037;-0.001;0.332
maler;53;77;0.035;0.039;0.004;0.876
lege;10;1;0.03;0.057;0.027;-0.086
politiker;1;8;0.024;0.039;0.015;-0.034
kaptein;3;8;0.017;0.019;0.002;0.98
redaktør;3;3;0.052;0.036;-0.016;0.006
sanger;2;0;0.018;0;-0.018;-0.164
jurist;0;2;0;0.029;0.029;-0.284
leder;1;0;0.017;0;-0.017;0.306
astronom;1;1;0.025;0.035;0.01;0.57
