ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
lærer;1818;1415;0.268;0.237;-0.031;-0.378
lege;369;1382;0.037;0.174;0.137;-0.086
journalist;1505;112;0.082;0.026;-0.056;0.072
modell;1077;118;0.056;0.022;-0.034;-0.368
fotograf;661;190;0.056;0.034;-0.022;0.332
skuespiller;333;451;0.03;0.029;-0.001;0.002
los;0;436;0;0.06;0.06;0.956
forfatter;313;110;0.059;0.033;-0.026;-0.114
arkitekt;0;347;0;0.033;0.033;-0.008
pilot;172;146;0.045;0.066;0.021;0.91
musiker;0;144;0;0.032;0.032;0.172
fotballspiller;1;24;0.02;0.049;0.029;0.754
advokat;0;2;0;0.032;0.032;0.02
