ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
lærer;1741;1371;0.146;0.134;-0.012;-0.378
sykepleier;1630;720;0.13;0.061;-0.069;-0.792
journalist;1242;924;0.066;0.065;-0.001;0.072
skuespiller;494;271;0.06;0.064;0.004;0.002
modell;312;31;0.063;0.039;-0.024;-0.368
lege;78;198;0.035;0.041;0.006;-0.086
psykolog;170;143;0.039;0.039;0.0;-0.51
prest;30;95;0.043;0.036;-0.007;0.33
pilot;5;78;0.037;0.042;0.005;0.91
fotballspiller;14;56;0.071;0.041;-0.03;0.754
advokat;34;46;0.04;0.039;-0.001;0.02
avisbud;22;43;0.068;0.04;-0.028;0.734
fotograf;23;40;0.044;0.035;-0.009;0.332
politi;9;33;0.028;0.036;0.008;0.252
ingeniør;19;20;0.03;0.039;0.009;0.584
vekter;3;15;0.028;0.041;0.013;0.524
leder;1;14;0.033;0.025;-0.008;0.306
regissør;4;7;0.034;0.033;-0.001;0.098
kunstner;6;2;0.041;0.015;-0.026;-0.034
dommer;0;4;0;0.038;0.038;0.042
megler;2;3;0.03;0.029;-0.001;0.368
forfatter;3;1;0.026;0.033;0.007;-0.114
forsker;3;0;0.03;0;-0.03;0.072
politiker;2;0;0.027;0;-0.027;-0.034
musiker;1;0;0.03;0;-0.03;0.172
sanger;1;0;0.039;0;-0.039;-0.164
kaptein;0;1;0;0.025;0.025;0.98
