ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
frisør;1849;1371;0.205;0.098;-0.107;-0.776
fotograf;1442;1205;0.064;0.081;0.017;0.332
elektriker;351;660;0.034;0.053;0.019;0.948
vekter;235;641;0.036;0.05;0.014;0.524
kokk;477;310;0.035;0.045;0.01;0.184
rørlegger;235;272;0.03;0.047;0.017;0.972
regnskapsfører;314;186;0.037;0.041;0.004;-0.474
musiker;139;331;0.028;0.046;0.018;0.172
oversetter;154;36;0.035;0.046;0.011;-0.232
sykepleier;48;0;0.046;0;-0.046;-0.792
fysioterapeut;35;6;0.028;0.033;0.005;-0.526
kunstner;23;15;0.021;0.017;-0.004;-0.034
faglærer;9;0;0.031;0;-0.031;0.016
jordmor;9;0;0.024;0;-0.024;-0.998
regissør;5;0;0.027;0;-0.027;0.098
misjonær;5;0;0.047;0;-0.047;0.144
guide;1;1;0.033;0.047;0.014;0.008
forfatter;0;2;0;0.015;0.015;-0.114
journalist;1;0;0.023;0;-0.023;0.072
arkitekt;1;0;0.04;0;-0.04;-0.008
eiendomsmegler;0;1;0;0.022;0.022;0.33
