ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
advokat;1403;1428;0.048;0.076;0.028;0.02
lærer;1328;1014;0.076;0.078;0.002;-0.378
lege;1250;873;0.062;0.056;-0.006;-0.086
fotograf;826;931;0.052;0.051;-0.001;0.332
modell;858;57;0.064;0.043;-0.021;-0.368
journalist;239;187;0.033;0.029;-0.004;0.072
psykolog;189;141;0.042;0.037;-0.005;-0.51
arkitekt;16;291;0.029;0.035;0.006;-0.008
skuespiller;75;71;0.052;0.05;-0.002;0.002
revisor;2;102;0.016;0.028;0.012;0.026
redaktør;43;51;0.044;0.051;0.007;0.006
leder;25;22;0.023;0.029;0.006;0.306
jurist;0;25;0;0.032;0.032;-0.284
prest;0;2;0;0.028;0.028;0.33
professor;0;2;0;0.025;0.025;0.336
