ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
barn;1470;929;0.075;0.06;-0.015
f;1140;686;0.058;0.046;-0.012
lærer;917;744;0.046;0.042;-0.004
skuespiller;846;656;0.043;0.044;0.001
mor;703;1;0.047;0.022;-0.025
sønn;75;592;0.026;0.032;0.006
k;526;86;0.028;0.019;-0.009
far;266;516;0.028;0.032;0.004
d;409;286;0.029;0.023;-0.006
journalist;224;138;0.034;0.034;0.0
l;214;166;0.03;0.024;-0.006
baby;211;12;0.03;0.011;-0.019
bror;1;201;0.009;0.02;0.011
t;190;175;0.021;0.024;0.003
dr;177;102;0.021;0.014;-0.007
faren;53;169;0.029;0.033;0.004
han;14;150;0.016;0.016;0.0
jobb;110;74;0.026;0.023;-0.003
sp;87;63;0.025;0.021;-0.004
kone;83;0;0.029;0;-0.029
ung;70;19;0.02;0.021;0.001
mann;69;15;0.022;0.022;0.0
mrs;67;0;0.022;0;-0.022
tante;64;0;0.038;0;-0.038
advokat;30;62;0.023;0.023;0.0
konge;8;58;0.018;0.043;0.025
politiker;55;58;0.033;0.031;-0.002
datter;57;0;0.026;0;-0.026
soldat;8;57;0.014;0.025;0.011
john;1;52;0.018;0.179;0.161
hun;51;0;0.018;0;-0.018
p;22;49;0.026;0.029;0.003
dansk;44;22;0.036;0.029;-0.007
gift;42;1;0.026;0.01;-0.016
musiker;20;38;0.019;0.022;0.003
kommune;37;24;0.09;0.05;-0.04
liv;35;0;0.082;0;-0.082
knut;0;27;0;0.278;0.278
søn;1;26;0.024;0.023;-0.001
bl;25;3;0.029;0.02;-0.009
alex;9;25;0.01;0.016;0.006
r;24;19;0.018;0.018;0.0
dj;0;24;0;0.016;0.016
per;0;24;0;0.132;0.132
anne;23;0;0.119;0;-0.119
emma;22;0;0.466;0;-0.466
jenny;22;0;0.569;0;-0.569
kristen;7;21;0.037;0.055;0.018
linn;21;0;0.151;0;-0.151
harald;0;21;0;0.162;0.162
liam;0;21;0;0.609;0.609
br;1;20;0.017;0.026;0.009
son;1;20;0.026;0.025;-0.001
noah;0;20;0;0.494;0.494
thomas;0;20;0;0.301;0.301
jakob;0;20;0;0.32;0.32
johannes;0;20;0;0.226;0.226
jan;0;20;0;0.174;0.174
ski;19;11;0.031;0.022;-0.009
maria;19;0;0.094;0;-0.094
lege;19;8;0.024;0.04;0.016
ann;19;0;0.136;0;-0.136
ruth;19;0;0.639;0;-0.639
eva;19;0;0.266;0;-0.266
heidi;19;0;0.252;0;-0.252
marianne;19;0;0.446;0;-0.446
tone;19;0;0.236;0;-0.236
sara;19;0;0.289;0;-0.289
emilie;19;0;0.438;0;-0.438
julie;19;0;0.304;0;-0.304
lucas;0;19;0;0.143;0.143
oliver;0;19;0;0.369;0.369
adrian;0;19;0;0.204;0.204
alexander;0;19;0;0.356;0.356
sebastian;0;19;0;0.207;0.207
christian;0;19;0;0.02;0.02
bjørn;0;19;0;0.174;0.174
oskar;0;19;0;0.282;0.282
martin;0;19;0;0.134;0.134
karl;0;19;0;0.283;0.283
fotballspiller;17;18;0.023;0.019;-0.004
alma;18;0;0.22;0;-0.22
gerd;18;0;0.24;0;-0.24
mary;18;0;0.199;0;-0.199
olivia;18;0;0.247;0;-0.247
sofia;18;0;0.14;0;-0.14
olga;18;0;0.182;0;-0.182
mona;18;0;0.271;0;-0.271
frida;18;0;0.293;0;-0.293
william;0;18;0;0.08;0.08
rolf;0;18;0;0.198;0.198
emil;0;18;0;0.19;0.19
markus;0;18;0;0.221;0.221
daniel;0;18;0;0.147;0.147
helene;17;0;0.131;0;-0.131
lea;17;0;0.246;0;-0.246
karen;17;0;0.191;0;-0.191
tor;2;17;0.019;0.251;0.232
nora;17;0;0.331;0;-0.331
marius;0;17;0;0.168;0.168
anders;0;17;0;0.142;0.142
theodor;0;17;0;0.11;0.11
kjell;0;17;0;0.199;0.199
nils;0;17;0;0.146;0.146
sigurd;0;17;0;0.113;0.113
monica;16;0;0.156;0;-0.156
nina;16;0;0.142;0;-0.142
andreas;0;16;0;0.124;0.124
filip;0;16;0;0.106;0.106
lars;0;16;0;0.12;0.12
pastor;0;16;0;0.03;0.03
johan;0;16;0;0.162;0.162
del;15;7;0.024;0.03;0.006
linda;15;0;0.129;0;-0.129
line;15;0;0.167;0;-0.167
hertug;0;15;0;0.038;0.038
rune;0;15;0;0.218;0.218
dronning;14;1;0.042;0.039;-0.003
amalie;14;0;0.078;0;-0.078
helga;14;0;0.111;0;-0.111
olaf;0;14;0;0.143;0.143
biskop;0;14;0;0.021;0.021
