ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
skuespiller;1725;1148;0.079;0.065;-0.014
advokat;1466;1255;0.072;0.093;0.021
journalist;1330;892;0.055;0.05;-0.005
lærer;1325;1033;0.075;0.075;0.0
barn;793;283;0.064;0.049;-0.015
modell;737;2;0.05;0.03;-0.02
forfatter;496;419;0.05;0.045;-0.005
manager;392;370;0.042;0.043;0.001
professor;96;215;0.029;0.029;0.0
musiker;142;213;0.045;0.047;0.002
model;203;0;0.042;0;-0.042
trener;14;168;0.03;0.038;0.008
fotballspiller;5;152;0.039;0.044;0.005
produsent;63;145;0.043;0.039;-0.004
instruktør;142;60;0.035;0.033;-0.002
arkitekt;15;138;0.039;0.035;-0.004
assistent;34;116;0.027;0.029;0.002
konge;5;96;0.033;0.112;0.079
fotograf;79;52;0.038;0.037;-0.001
maler;53;77;0.035;0.039;0.004
biskop;3;75;0.035;0.056;0.021
organist;4;54;0.035;0.053;0.018
pianist;50;3;0.035;0.038;0.003
rektor;6;45;0.025;0.028;0.003
statsminister;6;39;0.042;0.035;-0.007
dj;9;36;0.032;0.031;-0.001
artist;29;1;0.026;0.019;-0.007
roman;27;15;0.024;0.03;0.006
jarl;0;27;0;0.047;0.047
mann;14;25;0.023;0.03;0.007
svensk;23;3;0.031;0.032;0.001
gift;22;0;0.036;0;-0.036
bonde;2;21;0.021;0.03;0.009
film;20;3;0.038;0.026;-0.012
mor;20;0;0.027;0;-0.027
fjord;19;16;0.097;0.093;-0.004
dr;7;19;0.03;0.035;0.005
regent;1;19;0.054;0.052;-0.002
hertug;0;19;0;0.035;0.035
person;8;18;0.026;0.032;0.006
konsul;1;18;0.02;0.061;0.041
elv;17;9;0.043;0.038;-0.005
baron;0;17;0;0.027;0.027
predikant;0;17;0;0.043;0.043
dronning;14;0;0.055;0;-0.055
ridder;0;14;0;0.031;0.031
landsby;13;10;0.059;0.054;-0.005
kommune;13;8;0.107;0.075;-0.032
hund;12;10;0.025;0.039;0.014
o;12;5;0.049;0.043;-0.006
tante;12;0;0.03;0;-0.03
coach;0;11;0;0.026;0.026
lege;10;1;0.03;0.057;0.027
bok;10;10;0.03;0.029;-0.001
dal;10;6;0.044;0.037;-0.007
slekt;8;4;0.106;0.025;-0.081
norsk;8;2;0.029;0.031;0.002
kaptein;3;8;0.017;0.019;0.002
asteroide;8;3;0.068;0.028;-0.04
vulkan;8;5;0.079;0.035;-0.044
politiker;1;8;0.024;0.039;0.015
ø;6;7;0.053;0.037;-0.016
poet;5;7;0.021;0.031;0.01
figur;0;7;0;0.045;0.045
soldat;2;6;0.016;0.029;0.013
viking;1;5;0.047;0.083;0.036
fodboldspiller;0;5;0;0.028;0.028
diplomat;0;5;0;0.046;0.046
voksne;4;0;0.023;0;-0.023
mennesker;4;0;0.022;0;-0.022
soldater;4;0;0.023;0;-0.023
gud;2;4;0.052;0.055;0.003
fjell;4;4;0.037;0.059;0.022
direktør;4;1;0.04;0.027;-0.013
familie;3;0;0.043;0;-0.043
fisk;2;3;0.023;0.038;0.015
martyr;1;3;0.064;0.084;0.02
sheriff;3;0;0.018;0;-0.018
reporter;3;0;0.023;0;-0.023
saga;3;2;0.061;0.032;-0.029
tysk;3;0;0.029;0;-0.029
redaktør;3;3;0.052;0.036;-0.016
doktor;3;0;0.02;0;-0.02
astronaut;3;0;0.022;0;-0.022
teolog;0;3;0;0.044;0.044
pave;0;3;0;0.044;0.044
minister;0;3;0;0.028;0.028
art;2;1;0.085;0.032;-0.053
plante;2;0;0.026;0;-0.026
unge;2;0;0.018;0;-0.018
planter;2;0;0.019;0;-0.019
datter;2;0;0.016;0;-0.016
kristen;1;2;0.035;0.039;0.004
by;2;1;0.05;0.024;-0.026
ord;2;1;0.015;0.038;0.023
kulle;2;0;0.059;0;-0.059
sanger;2;0;0.018;0;-0.018
spiller;0;2;0;0.025;0.025
as;0;2;0;0.017;0.017
agent;0;2;0;0.024;0.024
historiker;0;2;0;0.032;0.032
greve;0;2;0;0.036;0.036
jurist;0;2;0;0.029;0.029
senator;0;2;0;0.035;0.035
kardinal;0;2;0;0.027;0.027
prof;0;2;0;0.019;0.019
keiser;0;2;0;0.033;0.033
president;0;2;0;0.026;0.026
sadan;1;0;0.018;0;-0.018
dyr;1;0;0.019;0;-0.019
dame;1;0;0.019;0;-0.019
maria;1;0;0.049;0;-0.049
kirke;1;1;0.032;0.02;-0.012
han;1;1;0.011;0.013;0.002
dansk;1;0;0.03;0;-0.03
opera;1;0;0.023;0;-0.023
dag;1;0;0.032;0;-0.032
liten;1;0;0.006;0;-0.006
serie;1;0;0.005;0;-0.005
gang;1;0;0.005;0;-0.005
sang;1;0;0.025;0;-0.025
tone;1;0;0.017;0;-0.017
arhitekt;1;0;0.026;0;-0.026
nunatak;1;0;0.112;0;-0.112
tanar;1;0;0.024;0;-0.024
insektsart;1;0;0.026;0;-0.026
orkideart;1;0;0.011;0;-0.011
medlem;1;0;0.025;0;-0.025
leder;1;0;0.017;0;-0.017
arbeider;1;0;0.012;0;-0.012
bygd;1;0;0.033;0;-0.033
kanal;1;0;0.055;0;-0.055
linje;1;0;0.033;0;-0.033
ceo;1;0;0.033;0;-0.033
komet;1;0;0.08;0;-0.08
asteroid;1;0;0.061;0;-0.061
planet;1;0;0.059;0;-0.059
meteor;1;0;0.03;0;-0.03
astronom;1;1;0.025;0.035;0.01
menneske;1;0;0.022;0;-0.022
pseudonym;1;0;0.069;0;-0.069
backup;0;1;0;0.023;0.023
producent;0;1;0;0.015;0.015
drake;0;1;0;0.011;0.011
jason;0;1;0;0.01;0.01
engel;0;1;0;0.024;0.024
markus;0;1;0;0.016;0.016
mentor;0;1;0;0.023;0.023
ven;0;1;0;0.023;0.023
bjørn;0;1;0;0.104;0.104
vektor;0;1;0;0.036;0.036
symbol;0;1;0;0.035;0.035
mate;0;1;0;0.027;0.027
vei;0;1;0;0.129;0.129
moh;0;1;0;0.112;0.112
og;0;1;0;0.053;0.053
##edt;0;1;0;0.05;0.05
spire;0;1;0;0.027;0.027
ca;0;1;0;0.03;0.03
rune;0;1;0;0.41;0.41
consul;0;1;0;0.018;0.018
komponist;0;1;0;0.026;0.026
