ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
lærer;1818;1415;0.268;0.237;-0.031
assistent;1610;654;0.186;0.054;-0.132
journalist;1505;112;0.082;0.026;-0.056
lege;369;1382;0.037;0.174;0.137
modell;1077;118;0.056;0.022;-0.034
vanlig;723;410;0.161;0.07;-0.091
fotograf;661;190;0.056;0.034;-0.022
trener;0;534;0;0.032;0.032
skuespiller;333;451;0.03;0.029;-0.001
los;0;436;0;0.06;0.06
arkitekt;0;347;0;0.033;0.033
pedagog;340;12;0.034;0.019;-0.015
forfatter;313;110;0.059;0.033;-0.026
pilot;172;146;0.045;0.066;0.021
musiker;0;144;0;0.032;0.032
mann;0;138;0;0.04;0.04
menneske;3;122;0.039;0.044;0.005
bas;0;112;0;0.034;0.034
før;61;101;0.041;0.034;-0.007
annen;91;70;0.197;0.112;-0.085
han;0;88;0;0.036;0.036
alltid;72;33;0.028;0.025;-0.003
spire;64;0;0.043;0;-0.043
kristen;37;61;0.039;0.085;0.046
dame;51;0;0.026;0;-0.026
produsent;38;51;0.029;0.025;-0.004
elev;48;47;0.019;0.025;0.006
student;30;34;0.027;0.026;-0.001
##esse;30;0;0.032;0;-0.032
dust;28;28;0.034;0.04;0.006
det;5;24;0.03;0.031;0.001
fotballspiller;1;24;0.02;0.049;0.029
sagt;0;19;0;0.02;0.02
dronning;15;0;0.022;0;-0.022
slave;15;4;0.029;0.035;0.006
prins;0;15;0;0.034;0.034
filosof;0;13;0;0.025;0.025
kar;0;13;0;0.025;0.025
gave;12;1;0.023;0.013;-0.01
norsk;12;2;0.033;0.028;-0.005
person;11;0;0.02;0;-0.02
tante;11;0;0.024;0;-0.024
fighter;11;7;0.022;0.027;0.005
normalt;9;6;0.031;0.041;0.01
statue;3;9;0.016;0.043;0.027
hunn;8;0;0.02;0;-0.02
konge;0;8;0;0.056;0.056
keiser;0;8;0;0.041;0.041
datter;7;0;0.021;0;-0.021
helt;7;5;0.022;0.031;0.009
kopi;6;1;0.03;0.051;0.021
svensk;6;0;0.035;0;-0.035
gut;0;6;0;0.023;0.023
roman;1;5;0.015;0.031;0.016
instruktør;5;0;0.015;0;-0.015
lego;0;5;0;0.023;0.023
dansk;4;1;0.028;0.024;-0.004
gresk;0;4;0;0.164;0.164
##ken;3;0;0.026;0;-0.026
korban;1;3;0.021;0.022;0.001
tredje;0;3;0;0.021;0.021
spiller;0;3;0;0.096;0.096
mare;2;0;0.017;0;-0.017
variant;2;0;0.027;0;-0.027
tysk;2;0;0.019;0;-0.019
slik;0;2;0;0.02;0.02
annan;0;2;0;0.016;0.016
sønn;0;2;0;0.026;0.026
bil;0;2;0;0.022;0.022
advokat;0;2;0;0.032;0.032
libero;0;2;0;0.067;0.067
sponsor;0;2;0;0.051;0.051
lea;1;0;0.046;0;-0.046
ting;1;0;0.107;0;-0.107
organisme;1;0;0.054;0;-0.054
vare;1;0;0.036;0;-0.036
størrelse;1;0;0.031;0;-0.031
meg;1;0;0.02;0;-0.02
hybrid;1;0;0.011;0;-0.011
eva;1;0;0.024;0;-0.024
russisk;1;0;0.141;0;-0.141
italiensk;1;0;0.019;0;-0.019
barn;1;0;0.021;0;-0.021
maja;1;0;0.06;0;-0.06
femme;1;0;0.035;0;-0.035
christina;1;0;0.017;0;-0.017
singel;1;0;0.029;0;-0.029
god;1;0;0.013;0;-0.013
eneste;1;1;0.012;0.015;0.003
historie;1;0;0.013;0;-0.013
liten;1;0;0.023;0;-0.023
##ka;1;0;0.025;0;-0.025
gerd;1;0;0.08;0;-0.08
astrid;1;0;0.019;0;-0.019
fille;1;0;0.019;0;-0.019
frida;1;0;0.022;0;-0.022
heidi;1;0;0.021;0;-0.021
sofia;1;0;0.022;0;-0.022
null;1;0;0.015;0;-0.015
stor;0;1;0;0.024;0.024
romersk;0;1;0;0.022;0.022
theodor;0;1;0;0.026;0.026
noah;0;1;0;0.027;0.027
elia;0;1;0;0.024;0.024
familie;0;1;0;0.049;0.049
original;0;1;0;0.028;0.028
gud;0;1;0;0.094;0.094
##kem;0;1;0;0.021;0.021
manager;0;1;0;0.017;0.017
