ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
lærer;1837;1394;0.184;0.102;-0.082
modell;1343;111;0.05;0.031;-0.019
sykepleier;1335;0;0.035;0;-0.035
snekker;97;1081;0.025;0.04;0.015
assistent;829;11;0.033;0.019;-0.014
lege;471;263;0.038;0.034;-0.004
elektriker;13;659;0.023;0.034;0.011
politi;58;596;0.036;0.041;0.005
sjåfør;0;634;0;0.037;0.037
hushjelp;547;0;0.051;0;-0.051
vanlig;223;211;0.035;0.047;0.012
bibliotekar;419;0;0.026;0;-0.026
kokk;32;366;0.022;0.026;0.004
politimann;0;383;0;0.029;0.029
frivillig;279;1;0.036;0.021;-0.015
sekretær;222;36;0.031;0.018;-0.013
før;99;127;0.081;0.081;0.0
arkitekt;180;38;0.028;0.026;-0.002
slakter;4;186;0.027;0.029;0.002
jordmor;182;0;0.025;0;-0.025
ingeniør;2;173;0.019;0.026;0.007
journalist;104;55;0.025;0.023;-0.002
vikar;156;0;0.028;0;-0.028
selger;19;121;0.02;0.022;0.002
bussjåfør;0;138;0;0.026;0.026
murer;0;136;0;0.033;0.033
fotograf;119;7;0.024;0.017;-0.007
ventet;74;51;0.045;0.025;-0.02
advokat;59;50;0.027;0.026;-0.001
tannlege;88;16;0.029;0.028;-0.001
kvinne;90;0;0.038;0;-0.038
normalt;5;83;0.05;0.033;-0.017
jente;71;10;0.04;0.017;-0.023
dame;77;0;0.022;0;-0.022
pleier;63;1;0.027;0.017;-0.01
vaktmester;0;63;0;0.019;0.019
førskolelærer;61;0;0.025;0;-0.025
gutt;1;60;0.017;0.044;0.027
det;48;10;0.026;0.025;-0.001
variant;47;7;0.062;0.023;-0.039
engel;14;40;0.015;0.019;0.004
drosjesjåfør;0;49;0;0.026;0.026
kjempe;0;41;0;0.016;0.016
frisør;40;0;0.026;0;-0.026
vekter;1;37;0.023;0.03;0.007
annen;5;32;0.013;0.014;0.001
svenske;8;27;0.015;0.018;0.003
student;33;0;0.021;0;-0.021
søster;32;0;0.02;0;-0.02
barnevakt;31;0;0.029;0;-0.029
kokke;29;0;0.034;0;-0.034
helt;0;29;0;0.016;0.016
gåte;20;6;0.017;0.014;-0.003
slik;11;12;0.014;0.014;0.0
kontorsjef;0;23;0;0.021;0.021
gartner;10;12;0.027;0.021;-0.006
danske;1;21;0.031;0.02;-0.011
instruktør;19;1;0.028;0.025;-0.003
lærerinne;17;0;0.03;0;-0.03
heks;15;0;0.013;0;-0.013
dykker;0;13;0;0.026;0.026
eiendomsmegler;0;13;0;0.021;0.021
prinsesse;12;0;0.015;0;-0.015
skredder;2;9;0.02;0.026;0.006
arkeolog;1;10;0.023;0.022;-0.001
trønder;0;11;0;0.015;0.015
fisker;0;11;0;0.027;0.027
klem;4;6;0.013;0.014;0.001
helsesøster;10;0;0.019;0;-0.019
designer;9;0;0.025;0;-0.025
fysioterapeut;8;0;0.02;0;-0.02
venter;1;6;0.016;0.015;-0.001
gigant;0;7;0;0.013;0.013
forkortelse;6;0;0.027;0;-0.027
besatt;4;2;0.097;0.035;-0.062
hjemmehjelp;6;0;0.026;0;-0.026
storebror;0;6;0;0.014;0.014
favoritt;5;0;0.015;0;-0.015
konsulent;5;0;0.021;0;-0.021
datter;4;0;0.012;0;-0.012
person;1;3;0.009;0.012;0.003
mann;0;4;0;0.011;0.011
skuespiller;3;0;0.019;0;-0.019
kort;3;0;0.02;0;-0.02
bonde;0;3;0;0.01;0.01
rørlegger;0;3;0;0.022;0.022
regnskapsfører;0;3;0;0.015;0.015
sms;0;3;0;0.014;0.014
gudinne;2;0;0.021;0;-0.021
martyr;1;1;0.019;0.01;-0.009
andre;2;0;0.028;0;-0.028
kombinasjon;2;0;0.018;0;-0.018
rekonstruksjon;2;0;0.017;0;-0.017
dialekt;2;0;0.049;0;-0.049
blomst;2;0;0.013;0;-0.013
form;2;0;0.014;0;-0.014
rose;2;0;0.012;0;-0.012
viking;0;2;0;0.019;0.019
kriger;0;2;0;0.014;0.014
smed;0;2;0;0.024;0.024
kristen;0;2;0;0.012;0.012
løve;0;2;0;0.013;0.013
sønn;0;2;0;0.013;0.013
