ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
frisør;1849;1371;0.205;0.098;-0.107
lærling;1749;1114;0.09;0.09;0.0
fotograf;1442;1205;0.064;0.081;0.017
coach;939;337;0.052;0.055;0.003
elektriker;351;660;0.034;0.053;0.019
vekter;235;641;0.036;0.05;0.014
vikar;601;188;0.039;0.042;0.003
kokk;477;310;0.035;0.045;0.01
murer;161;486;0.048;0.065;0.017
rørlegger;235;272;0.03;0.047;0.017
regnskapsfører;314;186;0.037;0.041;0.004
musiker;139;331;0.028;0.046;0.018
oversetter;154;36;0.035;0.046;0.011
konsulent;181;0;0.03;0;-0.03
assistent;129;34;0.029;0.042;0.013
svømmer;83;57;0.045;0.031;-0.014
terapeut;102;3;0.033;0.037;0.004
håndfull;33;61;0.023;0.028;0.005
rådgiver;73;5;0.033;0.038;0.005
bestevenn;55;8;0.029;0.021;-0.008
ener;35;23;0.029;0.023;-0.006
sykepleier;48;0;0.046;0;-0.046
sjåfør;1;47;0.035;0.051;0.016
seiler;29;17;0.024;0.024;0.0
fysioterapeut;35;6;0.028;0.033;0.005
kunstner;23;15;0.021;0.017;-0.004
fyr;0;38;0;0.028;0.028
hund;18;13;0.02;0.017;-0.003
solist;26;0;0.026;0;-0.026
favoritt;19;5;0.023;0.025;0.002
veileder;12;10;0.024;0.027;0.003
nybegynner;0;20;0;0.023;0.023
engel;15;0;0.023;0;-0.023
blogger;5;10;0.014;0.014;0.0
prinsesse;12;0;0.023;0;-0.023
sjel;12;0;0.025;0;-0.025
baby;10;2;0.025;0.033;0.008
agent;6;4;0.03;0.033;0.003
vaktmester;0;10;0;0.034;0.034
faglærer;9;0;0.031;0;-0.031
jordmor;9;0;0.024;0;-0.024
mester;0;6;0;0.022;0.022
regissør;5;0;0.027;0;-0.027
misjonær;5;0;0.047;0;-0.047
husmor;5;0;0.021;0;-0.021
skytter;0;4;0;0.021;0.021
fisker;0;3;0;0.037;0.037
jeger;0;3;0;0.02;0.02
skjønnhet;2;0;0.025;0;-0.025
perle;2;0;0.017;0;-0.017
katt;1;1;0.019;0.027;0.008
guide;1;1;0.033;0.047;0.014
fryd;1;1;0.015;0.024;0.009
forfatter;0;2;0;0.015;0.015
kommentator;0;2;0;0.026;0.026
konsulenter;0;2;0;0.026;0.026
manager;0;2;0;0.027;0.027
farge;1;0;0.039;0;-0.039
forskjell;1;0;0.022;0;-0.022
menneskerett;1;0;0.018;0;-0.018
drøm;1;0;0.068;0;-0.068
helg;1;0;0.054;0;-0.054
søndag;1;0;0.024;0;-0.024
årstid;1;0;0.023;0;-0.023
oppsummering;1;0;0.021;0;-0.021
journalist;1;0;0.023;0;-0.023
stripper;1;0;0.034;0;-0.034
arkitekt;1;0;0.04;0;-0.04
skredder;1;0;0.027;0;-0.027
bruksanvisning;0;1;0;0.018;0.018
sådan;0;1;0;0.017;0.017
velsignelse;0;1;0;0.017;0.017
lillebror;0;1;0;0.048;0.048
storebror;0;1;0;0.031;0.031
blanding;0;1;0;0.025;0.025
gruppeleder;0;1;0;0.052;0.052
eiendomsmegler;0;1;0;0.022;0.022
