ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
journalist;1461;1134;0.071;0.061;-0.01
lærer;1267;1150;0.097;0.1;0.003
fotograf;1277;1002;0.062;0.056;-0.006
advokat;890;1306;0.056;0.108;0.052
modell;1354;61;0.099;0.067;-0.032
assistent;625;462;0.055;0.043;-0.012
stylist;554;52;0.068;0.055;-0.013
pedagog;544;41;0.056;0.029;-0.027
en;223;226;0.066;0.048;-0.018
psykolog;155;260;0.047;0.041;-0.006
selger;127;236;0.059;0.065;0.006
skuespiller;170;183;0.052;0.053;0.001
coach;79;161;0.043;0.043;0.0
manager;19;119;0.041;0.053;0.012
prest;13;106;0.032;0.041;0.009
forfatter;47;66;0.041;0.033;-0.008
mamma;110;2;0.053;0.029;-0.024
jurist;10;99;0.034;0.031;-0.003
leder;20;85;0.046;0.051;0.005
jente;70;17;0.148;0.031;-0.117
mann;28;57;0.026;0.042;0.016
kvinne;69;10;0.04;0.027;-0.013
professor;7;67;0.03;0.029;-0.001
trener;9;60;0.052;0.083;0.031
student;20;41;0.028;0.027;-0.001
.;34;26;0.027;0.022;-0.005
revisor;4;52;0.036;0.037;0.001
:;27;28;0.034;0.042;0.008
gutt;21;31;0.031;0.04;0.009
frivillig;5;42;0.052;0.051;-0.001
venn;15;30;0.02;0.024;0.004
model;37;5;0.045;0.055;0.01
dame;41;0;0.021;0;-0.021
kjæreste;29;11;0.02;0.026;0.006
lärare;20;16;0.055;0.043;-0.012
engel;18;16;0.025;0.021;-0.004
blogger;33;1;0.036;0.024;-0.012
administrator;0;31;0;0.036;0.036
artist;24;6;0.043;0.024;-0.019
poet;13;16;0.027;0.027;0.0
fyr;4;23;0.019;0.022;0.003
barn;5;21;0.025;0.034;0.009
gentleman;0;24;0;0.026;0.026
escort;19;4;0.029;0.03;0.001
hund;8;14;0.03;0.037;0.007
</s>;5;12;0.02;0.026;0.006
ble;14;1;0.022;0.024;0.002
person;4;9;0.021;0.018;-0.003
kaptein;0;12;0;0.037;0.037
var;10;1;0.023;0.018;-0.005
pastor;0;11;0;0.053;0.053
mor;9;1;0.024;0.04;0.016
stor;4;5;0.019;0.018;-0.001
drøm;4;4;0.06;0.026;-0.034
er;8;0;0.023;0;-0.023
e;5;2;0.023;0.021;-0.002
statsminister;2;5;0.033;0.027;-0.006
soldat;0;7;0;0.024;0.024
pappa;0;7;0;0.051;0.051
terapeut;6;0;0.033;0;-0.033
av;5;1;0.027;0.022;-0.005
direktør;1;5;0.025;0.028;0.003
spiller;1;4;0.032;0.026;-0.006
optimist;1;4;0.02;0.028;0.008
fisk;1;4;0.015;0.014;-0.001
agent;0;5;0;0.027;0.027
gang;3;1;0.016;0.015;-0.001
god;1;3;0.015;0.016;0.001
ei;2;2;0.052;0.045;-0.007
dj;0;4;0;0.03;0.03
filosof;0;4;0;0.026;0.026
kristen;0;4;0;0.054;0.054
læge;1;2;0.042;0.049;0.007
prinsesse;3;0;0.047;0;-0.047
film;2;1;0.02;0.008;-0.012
eskorte;3;0;0.021;0;-0.021
dag;2;1;0.011;0.016;0.005
dreng;2;1;0.02;0.015;-0.005
kona;3;0;0.03;0;-0.03
moderator;2;1;0.068;0.241;0.173
hest;0;3;0;0.022;0.022
ting;1;1;0.013;0.006;-0.007
tid;2;0;0.016;0;-0.016
ami;2;0;0.013;0;-0.013
admin;2;0;0.025;0;-0.025
kollega;2;0;0.024;0;-0.024
astronaut;2;0;0.026;0;-0.026
konge;0;2;0;0.037;0.037
1;0;2;0;0.051;0.051
profet;0;2;0;0.033;0.033
lege;0;2;0;0.03;0.03
følelse;1;0;0.025;0;-0.025
gave;1;0;0.015;0;-0.015
ball;1;0;0.022;0;-0.022
fotball;1;0;0.017;0;-0.017
video;1;0;0.041;0;-0.041
tekst;1;0;0.025;0;-0.025
blog;1;0;0.012;0;-0.012
foto;1;0;0.007;0;-0.007
der;1;0;0.014;0;-0.014
a;1;0;0.013;0;-0.013
af;1;0;0.016;0;-0.016
man;1;0;0.039;0;-0.039
helst;1;0;0.026;0;-0.026
f;1;0;0.014;0;-0.014
lektor;1;0;0.03;0;-0.03
skole;1;0;0.009;0;-0.009
singel;1;0;0.024;0;-0.024
stemme;1;0;0.018;0;-0.018
liten;1;0;0.028;0;-0.028
landsby;1;0;0.021;0;-0.021
vulkan;1;0;0.016;0;-0.016
religion;1;0;0.012;0;-0.012
by;1;0;0.01;0;-0.01
ø;1;0;0.01;0;-0.01
arkitekt;1;0;0.03;0;-0.03
turist;1;0;0.042;0;-0.042
guide;1;0;0.033;0;-0.033
kvinde;1;0;0.011;0;-0.011
linje;1;0;0.021;0;-0.021
stein;1;0;0.009;0;-0.009
planet;1;0;0.153;0;-0.153
asteroid;1;0;0.022;0;-0.022
levende;1;0;0.022;0;-0.022
arkeolog;1;0;0.046;0;-0.046
biolog;1;0;0.041;0;-0.041
annen;1;0;0.012;0;-0.012
kan;1;0;0.015;0;-0.015
song;1;0;0.018;0;-0.018
name;1;0;0.012;0;-0.012
søker;1;0;0.025;0;-0.025
webmaster;0;1;0;0.041;0.041
rektor;0;1;0;0.038;0.038
bjørn;0;1;0;0.025;0.025
dans;0;1;0;0.007;0.007
kjærlighet;0;1;0;0.014;0.014
og;0;1;0;0.011;0.011
2;0;1;0;0.03;0.03
3;0;1;0;0.018;0.018
20;0;1;0;0.017;0.017
mentor;0;1;0;0.031;0.031
gate;0;1;0;0.014;0.014
dør;0;1;0;0.012;0.012
gammel;0;1;0;0.019;0.019
datingside;0;1;0;0.007;0.007
ole;0;1;0;0.021;0.021
muslim;0;1;0;0.014;0.014
frø;0;1;0;0.06;0.06
rose;0;1;0;0.018;0.018
plante;0;1;0;0.016;0.016
traktor;0;1;0;0.015;0.015
kamp;0;1;0;0.039;0.039
match;0;1;0;0.02;0.02
vanlig;0;1;0;0.032;0.032
lag;0;1;0;0.029;0.029
