ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
advokat;1403;1428;0.048;0.076;0.028
lærer;1328;1014;0.076;0.078;0.002
lege;1250;873;0.062;0.056;-0.006
fotograf;826;931;0.052;0.051;-0.001
modell;858;57;0.064;0.043;-0.021
eskorte;745;49;0.058;0.031;-0.027
assistent;541;377;0.039;0.029;-0.01
selger;458;523;0.063;0.059;-0.004
en;316;278;0.058;0.049;-0.009
arkitekt;16;291;0.029;0.035;0.006
frivillig;275;164;0.05;0.04;-0.01
journalist;239;187;0.033;0.029;-0.004
.;232;168;0.061;0.049;-0.012
psykolog;189;141;0.042;0.037;-0.005
:;182;161;0.059;0.052;-0.007
revisor;2;102;0.016;0.028;0.012
student;23;83;0.03;0.027;-0.003
chef;35;77;0.025;0.027;0.002
skuespiller;75;71;0.052;0.05;-0.002
stylist;74;1;0.035;0.024;-0.011
god;57;64;0.025;0.029;0.004
dj;0;62;0;0.032;0.032
e;55;29;0.039;0.034;-0.005
redaktør;43;51;0.044;0.051;0.007
av;36;42;0.025;0.031;0.006
stor;30;42;0.022;0.024;0.002
fantastisk;35;6;0.021;0.022;0.001
kvinne;35;2;0.043;0.025;-0.018
mann;5;30;0.025;0.033;0.008
mamma;29;0;0.027;0;-0.027
norsk;23;28;0.032;0.027;-0.005
webmaster;0;27;0;0.033;0.033
leder;25;22;0.023;0.029;0.006
jurist;0;25;0;0.032;0.032
lärare;20;14;0.062;0.036;-0.026
soldat;0;20;0;0.034;0.034
har;13;3;0.031;0.027;-0.004
eskort;12;0;0.031;0;-0.031
trener;1;12;0.022;0.027;0.005
bangla;12;2;0.021;0.015;-0.006
jente;12;1;0.034;0.021;-0.013
a;11;5;0.021;0.026;0.005
veldig;11;7;0.022;0.029;0.007
ung;8;1;0.02;0.013;-0.007
kristen;7;8;0.04;0.035;-0.005
mor;7;1;0.021;0.01;-0.011
bangladesh;7;2;0.023;0.011;-0.012
er;5;2;0.026;0.018;-0.008
direktør;1;5;0.019;0.032;0.013
dame;5;0;0.019;0;-0.019
gentleman;0;5;0;0.029;0.029
det;4;0;0.017;0;-0.017
var;4;4;0.032;0.016;-0.016
du;4;1;0.042;0.047;0.005
farmaceut;4;0;0.03;0;-0.03
sexy;4;0;0.015;0;-0.015
der;4;0;0.017;0;-0.017
pastor;0;4;0;0.04;0.04
terapeut;3;0;0.031;0;-0.031
han;3;0;0.023;0;-0.023
model;3;1;0.032;0.023;-0.009
liten;3;0;0.023;0;-0.023
annen;1;3;0.015;0.024;0.009
gang;0;3;0;0.019;0.019
gutt;0;3;0;0.032;0.032
dag;2;0;0.043;0;-0.043
driver;1;2;0.016;0.02;0.004
designer;2;0;0.025;0;-0.025
kan;2;0;0.027;0;-0.027
helst;2;0;0.02;0;-0.02
meget;2;2;0.024;0.022;-0.002
i;2;2;0.016;0.018;0.002
svensk;2;1;0.019;0.03;0.011
den;2;2;0.017;0.018;0.001
agent;1;2;0.026;0.028;0.002
prest;0;2;0;0.028;0.028
rektor;0;2;0;0.019;0.019
profet;0;2;0;0.032;0.032
gulo;0;2;0;0.028;0.028
ett;0;2;0;0.014;0.014
professor;0;2;0;0.025;0.025
vanlig;1;0;0.011;0;-0.011
hadde;1;0;0.025;0;-0.025
kunne;1;0;0.018;0;-0.018
selvstendig;1;0;0.036;0;-0.036
et;1;0;0.022;0;-0.022
amerikansk;1;0;0.014;0;-0.014
søndag;1;0;0.017;0;-0.017
lørdag;1;0;0.015;0;-0.015
engel;1;1;0.021;0.019;-0.002
puro;1;0;0.01;0;-0.01
bengali;1;0;0.017;0;-0.017
jobber;1;0;0.021;0;-0.021
korte;1;1;0.01;0.009;-0.001
artist;1;0;0.024;0;-0.024
linn;1;0;0.033;0;-0.033
moderne;1;0;0.01;0;-0.01
matcher;1;0;0.179;0;-0.179
match;1;0;0.173;0;-0.173
denne;1;0;0.024;0;-0.024
visas;1;0;0.022;0;-0.022
beskriver;1;0;0.022;0;-0.022
barn;1;0;0.037;0;-0.037
admin;1;0;0.017;0;-0.017
joy;1;0;0.013;0;-0.013
manager;1;0;0.013;0;-0.013
..;1;1;0.024;0.017;-0.007
feminist;1;0;0.016;0;-0.016
vakker;1;0;0.027;0;-0.027
tysk;1;0;0.037;0;-0.037
virgin;1;0;0.022;0;-0.022
sms;1;0;0.025;0;-0.025
chat;1;0;0.02;0;-0.02
heter;1;1;0.036;0.015;-0.021
viking;0;1;0;0.016;0.016
,;0;1;0;0.007;0.007
fan;0;1;0;0.024;0.024
rebel;0;1;0;0.021;0.021
teenager;0;1;0;0.02;0.02
konge;0;1;0;0.025;0.025
person;0;1;0;0.01;0.01
guli;0;1;0;0.024;0.024
jon;0;1;0;0.019;0.019
datingside;0;1;0;0.014;0.014
kort;0;1;0;0.013;0.013
type;0;1;0;0.013;0.013
william;0;1;0;0.013;0.013
administrator;0;1;0;0.019;0.019
martyr;0;1;0;0.03;0.03
hot;0;1;0;0.015;0.015
polis;0;1;0;0.022;0.022
ami;0;1;0;0.024;0.024
muslim;0;1;0;0.022;0.022
som;0;1;0;0.021;0.021
