ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
lærer;10233;8121;0.16;0.13;-0.03;-0.378
journalist;6106;3442;0.038;0.024;-0.016;0.072
modell;5681;380;0.059;0.036;-0.024;-0.368
fotograf;4427;3427;0.053;0.057;0.004;0.332
advokat;3882;4149;0.032;0.037;0.005;0.02
skuespiller;3646;2780;0.045;0.042;-0.003;0.002
sykepleier;3013;720;0.065;0.015;-0.049;-0.792
lege;2197;2727;0.035;0.056;0.021;-0.086
frisør;1889;1371;0.115;0.049;-0.067;-0.776
elektriker;364;1319;0.029;0.043;0.015;0.948
forfatter;859;599;0.017;0.024;0.007;-0.114
arkitekt;223;822;0.03;0.013;-0.018;-0.008
musiker;302;726;0.026;0.032;0.006;0.172
vekter;239;693;0.031;0.043;0.012;0.524
kokk;509;676;0.029;0.035;0.007;0.184
politi;67;629;0.032;0.038;0.007;0.252
psykolog;514;544;0.041;0.039;-0.003;-0.51
los;0;436;0.0;0.06;0.06;0.956
bibliotekar;419;0;0.026;0.0;-0.026;-0.584
regnskapsfører;314;189;0.018;0.028;0.009;-0.474
professor;103;284;0.022;0.028;0.006;0.336
rørlegger;235;275;0.015;0.035;0.019;0.972
fotballspiller;37;250;0.048;0.041;-0.007;0.754
pilot;177;224;0.041;0.054;0.013;0.91
prest;43;204;0.025;0.03;0.004;0.33
ingeniør;21;193;0.025;0.033;0.008;0.584
jordmor;191;0;0.025;0.0;-0.025;-0.998
slakter;4;186;0.027;0.029;0.002;0.62
revisor;6;154;0.026;0.033;0.007;0.026
oversetter;154;36;0.035;0.046;0.011;-0.232
bussjåfør;0;138;0.0;0.026;0.026;0.856
jurist;10;127;0.004;0.025;0.02;-0.284
leder;47;121;0.029;0.022;-0.007;0.306
tannlege;88;16;0.029;0.028;-0.001;-0.22
maler;53;77;0.035;0.039;0.004;0.876
politiker;58;66;0.028;0.018;-0.01;-0.034
redaktør;46;54;0.048;0.043;-0.005;0.006
fysioterapeut;43;6;0.024;0.017;-0.007;-0.526
avisbud;22;43;0.068;0.04;-0.028;0.734
kunstner;29;17;0.031;0.016;-0.015;-0.034
kaptein;3;23;0.002;0.021;0.019;0.98
eiendomsmegler;0;14;0.0;0.021;0.021;0.33
dykker;0;13;0.0;0.026;0.026;0.952
gartner;10;12;0.027;0.021;-0.006;0.052
arkeolog;2;10;0.035;0.011;-0.024;-0.412
regissør;9;7;0.03;0.017;-0.014;0.098
faglærer;9;0;0.031;0.0;-0.031;0.016
hjemmehjelp;6;0;0.026;0.0;-0.026;-0.78
misjonær;5;0;0.047;0.0;-0.047;0.144
sanger;4;0;0.026;0.0;-0.026;-0.164
dommer;0;4;0.0;0.038;0.038;0.042
megler;2;3;0.03;0.029;-0.001;0.368
forsker;3;0;0.03;0.0;-0.03;0.072
guide;2;1;0.033;0.024;-0.01;0.008
astronom;2;1;0.019;0.018;-0.002;0.57
smed;0;2;0.0;0.024;0.024;0.53
biolog;1;0;0.041;0.0;-0.041;0.028
lektor;1;0;0.03;0.0;-0.03;-0.246
