ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
lærer;10233;8121;0.16;0.13;-0.03
journalist;6106;3442;0.038;0.024;-0.016
modell;5681;380;0.059;0.036;-0.024
fotograf;4427;3427;0.053;0.057;0.004
assistent;4284;2028;0.046;0.041;-0.006
advokat;3882;4149;0.032;0.037;0.005
skuespiller;3646;2780;0.045;0.042;-0.003
sykepleier;3013;720;0.065;0.015;-0.049
lege;2197;2727;0.035;0.056;0.021
barn;2281;1330;0.039;0.035;-0.004
frisør;1889;1371;0.115;0.049;-0.067
lærling;1749;1114;0.09;0.09;0.0
elektriker;364;1319;0.029;0.043;0.015
frivillig;1210;457;0.054;0.041;-0.013
f;1141;686;0.036;0.023;-0.013
snekker;97;1081;0.025;0.04;0.015
vanlig;1030;703;0.047;0.037;-0.01
coach;1018;509;0.036;0.044;0.008
mor;1008;67;0.039;0.025;-0.014
trener;64;1000;0.026;0.043;0.017
selger;773;916;0.041;0.043;0.003
pedagog;884;53;0.045;0.024;-0.021
mamma;881;273;0.055;0.035;-0.021
forfatter;859;599;0.017;0.024;0.007
vikar;844;247;0.04;0.034;-0.006
arkitekt;223;822;0.03;0.013;-0.018
eskorte;748;49;0.04;0.015;-0.024
musiker;302;726;0.026;0.032;0.006
vekter;239;693;0.031;0.043;0.012
sjåfør;5;692;0.026;0.043;0.017
kokk;509;676;0.029;0.035;0.007
politi;67;629;0.032;0.038;0.007
stylist;628;53;0.052;0.04;-0.012
murer;161;622;0.024;0.049;0.025
politimann;4;611;0.013;0.035;0.022
sønn;75;598;0.003;0.036;0.032
sekretær;568;155;0.045;0.033;-0.013
manager;416;550;0.013;0.029;0.017
en;547;509;0.04;0.035;-0.005
hushjelp;547;0;0.051;0.0;-0.051
psykolog;514;544;0.041;0.039;-0.003
k;526;86;0.028;0.019;-0.009
far;266;525;0.014;0.032;0.018
los;0;436;0.0;0.06;0.06
bibliotekar;419;0;0.026;0.0;-0.026
d;409;286;0.029;0.023;-0.006
mann;155;338;0.027;0.066;0.04
pappa;12;323;0.018;0.05;0.033
regnskapsfører;314;189;0.018;0.028;0.009
kvinne;290;14;0.045;0.032;-0.012
professor;103;284;0.022;0.028;0.006
.;276;194;0.032;0.018;-0.014
rørlegger;235;275;0.015;0.035;0.019
før;186;271;0.05;0.045;-0.005
fotballspiller;37;250;0.048;0.041;-0.007
model;246;6;0.023;0.009;-0.014
han;18;243;0.004;0.026;0.021
pilot;177;224;0.041;0.054;0.013
jente;222;32;0.07;0.028;-0.041
baby;221;14;0.028;0.022;-0.005
l;214;166;0.03;0.024;-0.006
:;209;189;0.046;0.047;0.001
prest;43;204;0.025;0.03;0.004
bror;1;203;0.002;0.026;0.023
konsulent;203;5;0.029;0.007;-0.022
produsent;103;200;0.038;0.038;0.001
ingeniør;21;193;0.025;0.033;0.008
jordmor;191;0;0.025;0.0;-0.025
t;190;175;0.021;0.024;0.003
slakter;4;186;0.027;0.029;0.002
student;135;184;0.034;0.026;-0.009
dr;184;121;0.026;0.025;-0.001
brannmann;39;183;0.038;0.053;0.015
dame;181;0;0.033;0.0;-0.033
annen;176;173;0.086;0.091;0.004
faren;53;169;0.029;0.033;0.004
konge;13;167;0.004;0.05;0.045
instruktør;167;61;0.026;0.011;-0.015
revisor;6;154;0.026;0.033;0.007
oversetter;154;36;0.035;0.046;0.011
det;77;151;0.029;0.03;0.001
gutt;32;142;0.025;0.056;0.031
bonde;19;139;0.026;0.036;0.01
bussjåfør;0;138;0.0;0.026;0.026
jurist;10;127;0.004;0.025;0.02
dj;9;126;0.008;0.024;0.015
menneske;4;122;0.03;0.022;-0.008
leder;47;121;0.029;0.022;-0.007
bas;0;112;0.0;0.034;0.034
terapeut;111;3;0.033;0.018;-0.014
jobb;110;74;0.026;0.023;-0.003
normalt;20;109;0.042;0.041;-0.002
kristen;52;98;0.018;0.04;0.022
soldat;10;91;0.005;0.03;0.025
rektor;23;90;0.024;0.025;0.001
biskop;3;89;0.018;0.038;0.021
tannlege;88;16;0.029;0.028;-0.001
tante;87;0;0.029;0.0;-0.029
sp;87;63;0.025;0.021;-0.004
kone;83;0;0.029;0.0;-0.029
svømmer;83;58;0.022;0.051;0.029
rådgiver;82;15;0.031;0.034;0.003
ung;78;20;0.02;0.017;-0.003
chef;35;77;0.025;0.027;0.002
maler;53;77;0.035;0.039;0.004
datter;77;0;0.031;0.0;-0.031
ventet;74;51;0.045;0.025;-0.02
vaktmester;0;73;0.0;0.027;0.027
alltid;72;34;0.014;0.021;0.007
god;59;67;0.017;0.011;-0.005
mrs;67;0;0.022;0.0;-0.022
politiker;58;66;0.028;0.018;-0.01
fyr;4;65;0.004;0.029;0.024
e;65;31;0.023;0.014;-0.009
gift;64;1;0.031;0.005;-0.026
spire;64;1;0.021;0.013;-0.008
pleier;63;1;0.027;0.017;-0.01
person;31;62;0.025;0.029;0.003
førskolelærer;61;0;0.025;0.0;-0.025
håndfull;33;61;0.023;0.028;0.005
engel;49;59;0.022;0.016;-0.007
artist;55;7;0.022;0.007;-0.014
bestevenn;55;8;0.029;0.021;-0.008
hund;54;43;0.025;0.027;0.003
redaktør;46;54;0.048;0.043;-0.005
organist;4;54;0.035;0.053;0.018
statsminister;13;52;0.03;0.024;-0.007
kommune;52;32;0.117;0.031;-0.085
john;1;52;0.018;0.179;0.161
hun;51;0;0.018;0.0;-0.018
henne;51;3;0.04;0.039;-0.001
pianist;50;3;0.035;0.038;0.003
dansk;49;23;0.03;0.019;-0.011
p;22;49;0.026;0.029;0.003
variant;49;7;0.044;0.011;-0.033
drosjesjåfør;0;49;0.0;0.026;0.026
stor;34;48;0.01;0.022;0.013
elev;48;48;0.009;0.019;0.01
venn;23;45;0.024;0.026;0.003
vinner;34;45;0.073;0.06;-0.013
norsk;44;37;0.029;0.028;-0.002
tolk;44;25;0.042;0.037;-0.005
av;41;43;0.026;0.026;0.001
dronning;43;1;0.036;0.009;-0.026
fysioterapeut;43;6;0.024;0.017;-0.007
avisbud;22;43;0.068;0.04;-0.028
