ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
lærer;10233;8121;0.127;0.11;-0.018
journalist;6106;3442;0.049;0.036;-0.013
advokat;3882;4149;0.038;0.057;0.019
fotograf;4427;3427;0.049;0.044;-0.004
skuespiller;3646;2780;0.048;0.044;-0.004
assistent;4284;2028;0.061;0.038;-0.023
modell;5681;380;0.064;0.039;-0.025
lege;2197;2727;0.032;0.062;0.029
sykepleier;3013;720;0.07;0.02;-0.05
barn;2281;1330;0.043;0.032;-0.012
frisør;1889;1371;0.116;0.049;-0.067
lærling;1749;1114;0.09;0.09;0.0
f;1141;686;0.036;0.023;-0.013
vanlig;1030;703;0.048;0.036;-0.013
selger;773;916;0.046;0.048;0.002
elektriker;364;1319;0.029;0.043;0.015
frivillig;1210;457;0.051;0.04;-0.011
coach;1018;509;0.032;0.041;0.01
forfatter;859;599;0.029;0.03;0.001
kokk;509;676;0.029;0.035;0.007
snekker;97;1081;0.025;0.04;0.015
mamma;881;273;0.05;0.028;-0.023
vikar;844;247;0.04;0.031;-0.009
mor;1008;67;0.032;0.021;-0.011
trener;64;1000;0.024;0.044;0.019
psykolog;514;544;0.043;0.039;-0.004
en;547;509;0.047;0.039;-0.008
arkitekt;223;822;0.027;0.021;-0.006
musiker;302;726;0.024;0.029;0.005
manager;416;550;0.021;0.028;0.006
pedagog;884;53;0.045;0.024;-0.021
vekter;239;693;0.029;0.04;0.011
eskorte;748;49;0.04;0.015;-0.024
far;266;525;0.014;0.032;0.018
murer;161;622;0.024;0.049;0.025
sekretær;568;155;0.045;0.033;-0.013
sjåfør;5;692;0.022;0.04;0.018
politi;67;629;0.032;0.038;0.006
d;409;286;0.029;0.023;-0.006
stylist;628;53;0.051;0.04;-0.012
sønn;75;598;0.006;0.03;0.024
politimann;4;611;0.013;0.035;0.022
k;526;86;0.028;0.019;-0.009
hushjelp;547;0;0.051;0.0;-0.051
rørlegger;235;275;0.015;0.035;0.019
regnskapsfører;314;189;0.018;0.028;0.009
mann;155;338;0.021;0.041;0.021
.;276;194;0.036;0.024;-0.012
før;186;271;0.053;0.049;-0.004
los;0;436;0.0;0.06;0.06
bibliotekar;419;0;0.026;0.0;-0.026
pilot;177;224;0.041;0.054;0.013
:;209;189;0.046;0.047;0.001
professor;103;284;0.02;0.028;0.008
l;214;166;0.03;0.024;-0.006
t;190;175;0.021;0.024;0.003
annen;176;173;0.07;0.059;-0.011
pappa;12;323;0.018;0.05;0.033
student;135;184;0.027;0.023;-0.004
dr;184;121;0.025;0.025;-0.001
kvinne;290;14;0.043;0.026;-0.017
produsent;103;200;0.032;0.033;0.001
fotballspiller;37;250;0.038;0.038;0.0
han;18;243;0.01;0.019;0.009
jente;222;32;0.074;0.026;-0.048
model;246;6;0.031;0.019;-0.012
prest;43;204;0.019;0.029;0.011
baby;221;14;0.028;0.022;-0.005
det;77;151;0.023;0.019;-0.004
instruktør;167;61;0.026;0.015;-0.011
faren;53;169;0.029;0.033;0.004
brannmann;39;183;0.038;0.053;0.015
ingeniør;21;193;0.025;0.033;0.008
konsulent;203;5;0.029;0.009;-0.02
bror;1;203;0.003;0.023;0.02
jordmor;191;0;0.025;0.0;-0.025
slakter;4;186;0.027;0.029;0.002
oversetter;154;36;0.035;0.046;0.011
jobb;110;74;0.026;0.023;-0.003
dame;181;0;0.025;0.0;-0.025
konge;13;167;0.008;0.052;0.044
gutt;32;142;0.021;0.047;0.026
leder;47;121;0.03;0.026;-0.004
revisor;6;154;0.026;0.033;0.006
bonde;19;139;0.021;0.031;0.01
kristen;52;98;0.025;0.047;0.022
sp;87;63;0.025;0.021;-0.004
svømmer;83;58;0.022;0.051;0.029
bussjåfør;0;138;0.0;0.026;0.026
jurist;10;127;0.009;0.028;0.019
dj;9;126;0.008;0.027;0.019
maler;53;77;0.035;0.039;0.004
normalt;20;109;0.042;0.04;-0.002
god;59;67;0.018;0.015;-0.003
menneske;4;122;0.03;0.022;-0.009
ventet;74;51;0.045;0.025;-0.02
politiker;58;66;0.028;0.023;-0.005
terapeut;111;3;0.032;0.012;-0.02
rektor;23;90;0.015;0.024;0.009
chef;35;77;0.025;0.027;0.002
bas;0;112;0.0;0.034;0.034
engel;49;59;0.019;0.021;0.002
alltid;72;34;0.014;0.021;0.006
tannlege;88;16;0.029;0.028;-0.001
soldat;10;91;0.006;0.029;0.023
redaktør;46;54;0.048;0.043;-0.004
ung;78;20;0.02;0.017;-0.003
hund;54;43;0.024;0.031;0.007
