ATTRIBUTE;GOLD;PRED
kokk;0.184;0.143
advokat;0.02;0.202
advokatsekretær;-0.91;0.087
afis-fullmektig;0.51;0.145
agronom;0.216;0.194
aksjemegler;0.368;0.143
aktivitør;-0.286;0.101
aktuar;0.412;0.156
grunnskolelærer;-0.508;0.058
ambulansearbeider;0.168;0.175
anleggsgartner;0.608;0.207
anleggsmaskinfører;0.96;0.202
apoteker;-0.344;0.168
apotektekniker;-0.912;0.172
arkeolog;-0.412;0.166
arkitekt;-0.008;0.172
arkivar;-0.42;0.14
art director;0.126;0.107
personlig assistent;-0.468;0.11
astronom;0.57;0.236
audiograf;-0.45;0.12
automatiker;0.892;0.214
avioniker;0.892;0.207
badevakt;0.012;0.074
baker;0.126;0.148
barne- og ungdomsarbeider;-0.63;0.082
barnehageassistent;-0.698;0.01
barnevernspedagog;-0.724;-0.037
bartender;-0.066;0.18
bibliotekar;-0.584;0.131
billakkerer;0.842;0.209
bilmekaniker (lette kjøretøy);0.962;0.199
bilselger;0.886;0.158
bioingeniør;-0.658;0.149
biokjemiker;-0.032;0.18
biolog;0.028;0.151
bioteknolog;-0.2;0.117
blikkenslager;0.972;0.165
blomsterdekoratør;-0.918;0.058
brannkonstabel;0.896;0.214
brønnoperatør;0.93;0.164
bussjåfør;0.856;0.208
butikkmedarbeider;-0.258;0.127
ferskvarehandler;-0.058;0.161
dansepedagog;-0.754;0.024
danser;-0.288;0.082
dataingeniør;0.638;0.182
diakon;-0.688;0.151
dirigent;0.006;0.176
dommer;0.042;0.193
dykker;0.952;0.165
dyrepleier;-0.892;0.068
tegnspråktolk;-0.866;0.065
eiendomsmegler;0.33;0.1
elektriker;0.948;0.197
elektroingeniør;0.784;0.175
energimontør;0.936;0.176
ergoterapeut;-0.772;0.08
klinisk ernæringsfysiolog;-0.904;-0.019
faglærer;0.016;0.058
provisorfarmasøyt;-0.632;0.157
brannforebygger;0.772;0.201
fengselsbetjent;0.162;0.193
fagoperatør akvakultur (fiskeoppdretter);0.656;0.096
flygeleder;0.514;0.203
flymotormekaniker;0.892;0.248
forfatter;-0.114;0.115
forsikringsrådgiver;0.05;0.081
forsker;0.072;0.137
fotballspiller;0.754;0.231
fotballtrener;0.762;0.255
fotograf;0.332;0.126
fotojournalist;0.564;0.119
fotterapeut;-0.908;0.091
frisør;-0.776;0.088
fu-operatør;0.814;0.158
fysioterapeut;-0.526;0.129
barnehagelærer;-0.812;0.007
gartner;0.052;0.155
geofysiker;0.33;0.241
geograf;-0.1;0.183
geolog;0.338;0.187
glassblåser;0.426;0.146
grafisk designer;-0.038;0.111
guide;0.008;0.12
gullsmed;-0.16;0.154
havforsker;0.292;0.194
heismontør;0.982;0.19
helsesekretær;-0.97;0.017
helsesykepleier;-0.984;-0.028
helsefagarbeider;-0.678;0.096
hms-ingeniør;0.17;0.197
hotelldirektør;0.294;0.177
hovmester;-0.126;0.209
hovslager;0.454;0.127
hudpleier;-0.986;0.001
husøkonom;-0.672;0.089
hydrolog;0.302;0.183
idrettskonsulent;0.278;0.141
idrettstrener;0.036;0.228
illustratør;-0.194;0.109
industridesigner;0.408;0.118
industrimaler;0.972;0.19
industrimekaniker;0.908;0.197
industrirørlegger;0.966;0.206
ingeniør;0.584;0.172
inspisient;0.066;0.14
interiørarkitekt;-0.722;0.087
interiørkonsulent;-0.718;0.049
isolatør;0.976;0.167
it-konsulent;0.562;0.135
jordmor;-0.998;-0.215
journalist;0.072;0.139
jurist;-0.284;0.155
kabinpersonale fly;-0.564;0.018
karriereveileder;-0.418;0.064
kateket;-0.444;0.06
kirketjener;0.382;0.156
kiropraktor;0.284;0.137
kjemiingeniør;-0.134;0.175
kjemiker;-0.134;0.217
kjole- og draktsyer;-0.756;-0.06
klesdesigner;-0.74;0.08
konditor;-0.44;0.163
konduktør;0.136;0.165
konservator;-0.372;0.164
service- og administrasjonsmedarbeider;-0.428;0.082
kosmetolog;-0.946;0.037
kostymesyer;-0.908;0.054
kostøkonom;-0.186;0.116
fagoperatør kran- og løfteoperasjoner (kranfører);0.94;0.198
kulde- og varmepumpetekniker;0.974;0.187
kunderådgiver i bank;-0.1;0.053
kunsthåndverker;0.038;0.114
kunstner;-0.034;0.145
kystskipper;0.976;0.174
laborant;-0.326;0.159
landmåler;0.45;0.19
landskapsarkitekt;-0.326;0.131
yrkessjåfør;0.91;0.193
leder;0.306;0.087
lege;-0.086;0.135
legemiddelkonsulent;-0.046;0.096
lektor;-0.246;0.132
logistikkoperatør;0.624;0.163
logoped;-0.862;0.076
los;0.956;0.177
lydtekniker;0.866;0.189
lystekniker;0.51;0.166
lærer;-0.378;0.089
maler;0.876;0.154
marinbiolog;-0.236;0.137
markedsfører;-0.15;0.148
markedssjef;0.206;0.19
maskiningeniør;0.836;0.178
maskør- og parykkmaker;-0.738;0.113
massasjeterapeut;-0.658;0.056
matematiker;-0.04;0.204
matros;0.888;0.167
mediedesigner;0.02;0.084
megler;0.368;0.08
mekaniker;0.958;0.244
meteorolog;0.088;0.168
modell;-0.368;-0.022
skipsmotormekaniker;0.978;0.251
motormekaniker;0.976;0.222
mur-og flislegger;0.98;0.245
musiker;0.172;0.138
