RUN;RUNTIME
xlmRBase_i100_r0;12.813
xlmRBase_i100_r1;18.436
xlmRBase_i100_r2;14.520
xlmRBase_i200_r0;58.709
xlmRBase_i200_r1;61.124
xlmRBase_i300_r0;78.890
xlmRLarge_i100_r0;14.739
xlmRLarge_i100_r1;23.917
xlmRLarge_i100_r2;17.381
xlmRLarge_i200_r0;44.949
xlmRLarge_i200_r1;49.677
xlmRLarge_i300_r0;21.240
mBertUncased_i100_r0;11.027
mBertUncased_i100_r1;6.760
mBertUncased_i100_r2;14.116
mBertUncased_i200_r0;8.808
mBertUncased_i200_r1;14.125
mBertUncased_i300_r0;66.074
mBertCased_i100_r0;4.582
mBertCased_i100_r1;9.284
mBertCased_i100_r2;10.779
mBertCased_i200_r0;13.446
mBertCased_i200_r1;32.689
mBertCased_i300_r0;63.387
nbBertBase_i100_r0;4.370
nbBertBase_i100_r1;18.740
nbBertBase_i100_r2;14.422
nbBertBase_i200_r0;14.735
nbBertBase_i200_r1;31.795
nbBertBase_i300_r0;23.681
nbBertLarge_i100_r0;22.364
nbBertLarge_i100_r1;19.670
nbBertLarge_i100_r2;12.572
nbBertLarge_i200_r0;55.333
nbBertLarge_i200_r1;60.598
nbBertLarge_i300_r0;103.956
norbert_i100_r0;11.163
norbert_i100_r1;15.903
norbert_i100_r2;11.527
norbert_i200_r0;43.758
norbert_i200_r1;11.975
norbert_i300_r0;26.264
norbert2_i100_r0;15.821
norbert2_i100_r1;11.676
norbert2_i100_r2;9.679
norbert2_i200_r0;42.096
norbert2_i200_r1;50.202
norbert2_i300_r0;88.813
