ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;1.014
2;112;1;1.188
3;118;1;0.933
4;92;2;0.714
5;87;1;0.653
6;94;1;1.146
7;104;2;1.888
8;105;5;3.217
9;129;1;1.859
10;138;2;2.444
11;117;1;1.480
12;125;4;3.595
13;104;1;1.355
14;95;3;3.010
15;96;1;1.869
16;92;2;1.599
17;112;1;2.301
18;119;1;2.504
19;137;4;3.890
20;138;1;2.878
21;139;1;3.371
22;161;3;4.235
23;141;1;1.977
24;118;2;2.134
25;121;1;3.335
26;130;2;3.886
27;126;2;2.466
28;133;2;4.016
29;134;4;5.437
30;130;1;2.248
31;127;1;4.035
32;136;1;3.794
33;135;1;2.188
34;149;2;5.162
35;169;2;5.667
36;171;3;6.131
37;173;4;6.175
38;170;1;2.405
39;185;6;7.489
40;192;1;5.861
41;191;1;3.233
42;172;1;3.125
43;163;1;6.181
44;161;3;3.817
45;167;1;5.612
46;146;7;5.394
47;161;1;6.045
48;178;2;6.985
49;173;2;7.279
50;168;2;3.600
51;169;5;7.875
52;162;1;6.349
53;150;4;6.954
54;157;2;6.096
55;159;1;6.320
56;145;3;7.238
57;143;1;2.689
58;150;1;6.045
59;144;1;2.753
60;139;1;6.127
61;146;1;6.488
62;163;2;7.716
63;170;1;7.501
64;185;1;8.378
65;201;1;9.090
66;207;1;9.548
67;213;5;11.870
68;214;3;11.156
69;223;2;10.274
70;217;3;11.125
71;218;4;12.109
72;206;1;9.798
73;211;2;10.078
74;210;9;8.846
75;192;9;8.203
76;189;4;5.389
77;198;6;11.605
78;199;4;11.756
79;193;2;10.214
80;179;11;14.400
81;178;1;4.070
82;155;4;5.033
83;164;1;9.514
84;164;2;10.200
85;161;4;10.092
86;152;3;9.082
87;170;5;10.332
88;170;1;8.726
89;171;1;8.921
90;163;2;9.623
91;170;3;10.836
92;167;3;4.479
93;168;1;9.408
94;165;1;3.984
95;180;8;14.025
96;196;5;12.558
97;196;2;11.735
98;195;1;4.547
99;177;2;10.889
100;176;2;4.582
