ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;0.892
2;104;2;1.491
3;118;2;1.305
4;91;3;1.041
5;89;1;0.792
6;88;1;0.786
7;94;2;1.630
8;101;3;2.515
9;108;2;2.628
10;115;1;1.979
11;137;2;2.900
12;112;6;4.075
13;119;6;5.374
14;115;5;3.537
15;133;1;2.706
16;126;1;2.797
17;120;3;3.330
18;98;3;2.140
19;107;1;2.358
20;116;1;2.714
21;124;6;5.403
22;120;1;1.951
23;121;2;3.352
24;135;2;3.544
25;151;3;4.174
26;152;1;3.345
27;136;1;3.376
28;158;2;3.901
29;178;2;4.376
30;159;1;2.244
31;140;1;1.992
32;136;2;2.308
33;145;2;4.413
34;137;1;4.237
35;136;2;2.500
36;159;3;5.303
37;160;3;5.880
38;161;1;5.163
39;142;1;5.106
40;139;2;2.947
41;136;9;6.123
42;118;5;6.741
43;116;1;2.189
44;123;3;6.117
45;123;7;8.144
46;122;1;5.578
47;128;1;5.255
48;127;5;6.933
49;128;1;4.946
50;148;1;5.726
51;149;6;8.113
52;163;5;8.204
53;157;3;7.438
54;158;2;6.880
55;171;2;7.033
56;187;1;6.975
57;193;1;7.411
58;203;3;8.424
59;210;3;8.752
60;211;1;8.033
61;213;3;9.778
62;212;6;7.387
63;226;4;10.427
64;205;4;6.034
65;202;2;5.076
66;200;4;5.532
67;209;8;11.837
68;223;1;8.958
69;224;1;9.410
70;231;3;11.029
71;245;5;13.380
72;259;2;12.222
73;241;9;10.502
74;248;6;14.750
75;255;2;13.326
76;249;2;13.397
77;255;7;15.839
78;253;2;13.140
79;252;6;9.144
80;246;3;12.954
81;253;3;13.347
82;250;1;12.012
83;246;2;12.107
84;228;8;9.388
85;210;1;5.246
86;211;2;12.249
87;220;9;16.171
88;200;17;14.031
89;199;7;8.194
90;191;2;5.454
91;205;1;13.111
92;200;9;16.415
93;198;1;4.995
94;207;18;21.137
95;208;1;13.370
96;188;2;5.888
97;185;3;13.615
98;186;1;12.936
99;185;2;5.587
100;191;4;14.116
