ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;2;1.334
2;108;2;1.572
3;118;1;0.918
4;91;1;0.471
5;88;1;0.594
6;87;3;1.614
7;96;1;1.243
8;102;1;1.601
9;103;2;2.210
10;110;1;1.772
11;128;2;2.650
12;134;1;2.339
13;149;1;2.649
14;150;1;3.193
15;143;1;3.062
16;153;2;3.079
17;131;1;1.521
18;139;1;2.674
19;117;1;1.560
20;133;2;3.491
21;130;1;1.591
22;137;1;3.206
23;143;4;4.686
24;153;2;3.483
25;151;2;2.325
26;138;1;3.888
27;139;2;3.747
28;142;1;4.052
29;143;2;4.467
30;150;2;4.249
31;152;1;4.074
32;153;1;4.512
33;167;3;5.434
34;169;3;5.397
35;191;1;5.108
36;198;1;5.108
37;194;1;3.440
38;172;1;2.942
39;173;3;6.278
40;172;1;3.347
41;187;1;6.306
42;209;1;6.346
43;191;1;3.657
44;168;1;3.219
45;146;1;5.648
46;127;1;2.617
47;125;2;2.927
48;133;1;5.741
49;130;1;2.630
50;141;1;5.899
51;142;2;6.376
52;141;2;3.320
53;140;2;3.116
54;127;2;6.193
55;133;5;7.381
56;149;3;7.086
57;128;1;5.536
58;136;2;6.006
59;137;2;6.036
60;134;3;3.461
61;133;2;2.752
62;153;1;6.254
63;140;1;6.349
64;141;8;9.506
65;142;3;7.386
66;141;1;2.936
67;155;2;7.228
68;154;1;2.866
69;135;3;3.522
70;134;4;7.924
71;137;1;6.640
72;137;1;6.869
73;133;1;2.341
74;140;3;7.415
75;139;1;2.411
76;145;1;6.509
77;146;1;6.475
78;154;1;7.006
79;155;1;7.284
80;156;1;7.497
81;165;1;7.987
82;162;8;6.662
83;176;1;8.584
84;175;3;4.529
85;181;2;8.914
86;201;3;10.054
87;200;2;10.241
88;201;1;9.185
89;186;2;9.557
90;200;1;9.222
91;201;4;10.789
92;197;6;6.204
93;206;3;10.624
94;212;1;9.923
95;211;7;13.269
96;212;3;11.200
97;203;4;11.524
98;202;1;3.742
99;210;3;10.871
100;193;15;16.805
101;200;6;11.005
102;220;3;11.240
103;221;3;11.919
104;230;4;13.413
105;223;3;11.939
106;232;5;14.377
107;231;3;13.008
108;238;2;13.334
109;232;2;11.882
110;223;5;14.113
111;219;2;12.695
112;226;1;10.911
113;235;1;13.574
114;236;3;13.025
115;234;27;19.402
116;234;5;14.745
117;233;3;6.417
118;224;18;22.634
119;225;10;17.943
120;239;17;22.357
121;240;1;13.907
122;248;16;22.959
123;257;11;19.235
124;266;2;15.471
125;275;11;20.949
126;262;48;34.224
127;250;2;17.586
128;250;26;29.311
129;251;8;19.912
130;250;5;9.230
131;266;1;16.363
132;264;1;7.373
133;255;12;23.766
134;256;1;17.138
135;268;7;21.074
136;269;9;21.080
137;269;5;19.312
138;278;14;24.494
139;262;6;10.598
140;271;4;19.163
141;271;1;18.339
142;278;7;22.304
143;279;4;21.293
144;273;20;29.794
145;273;6;23.907
146;279;2;19.766
147;294;2;23.207
148;295;1;23.213
149;295;14;28.879
150;286;1;22.007
151;273;10;26.790
152;271;5;11.395
153;270;11;14.331
154;279;2;20.905
155;288;2;22.708
156;294;5;25.183
157;296;9;28.075
158;305;15;33.503
159;304;4;12.286
160;305;6;25.590
161;304;3;12.062
162;313;3;27.787
163;329;6;27.450
164;345;1;29.017
165;344;15;20.959
166;344;10;33.029
167;341;7;15.564
168;334;4;27.801
169;332;5;13.713
170;333;12;31.237
171;331;9;15.785
172;340;4;26.633
173;349;1;28.876
174;359;9;34.011
175;368;13;38.052
176;369;11;34.532
177;375;10;34.530
178;368;1;32.120
179;359;8;32.971
180;357;2;13.433
181;359;3;28.367
182;340;8;16.753
183;348;12;36.158
184;334;13;19.307
185;325;1;27.231
186;340;4;29.472
187;342;5;34.653
188;337;4;14.066
189;322;5;13.837
190;331;3;32.654
191;317;8;16.214
192;302;13;36.592
193;301;14;18.038
194;293;22;40.690
195;308;1;26.872
196;317;1;28.387
197;319;1;33.199
198;334;6;37.883
199;343;7;39.633
200;349;7;38.621
201;358;1;37.892
202;365;3;40.030
203;366;8;45.225
204;375;1;37.091
205;373;1;16.603
206;359;1;16.481
207;361;11;45.338
208;360;4;17.779
209;351;2;36.916
210;358;2;36.957
211;355;6;18.454
212;343;3;15.781
213;358;4;43.818
214;366;3;41.201
215;367;3;43.972
216;369;4;40.666
217;368;1;16.443
218;369;5;45.636
219;371;1;38.444
220;386;10;45.842
221;371;3;18.055
222;379;1;40.863
223;378;1;16.683
224;376;12;23.944
225;385;20;59.231
226;383;3;45.375
227;398;6;45.441
228;399;8;52.713
229;390;3;49.194
230;405;1;43.502
231;394;1;17.993
232;403;10;50.343
233;413;1;49.186
234;403;1;47.721
235;400;8;23.076
236;409;3;46.269
237;418;2;47.187
238;427;4;49.906
239;436;18;65.837
240;443;1;50.224
241;437;2;50.438
242;436;18;33.106
243;444;6;53.977
244;432;6;53.064
245;441;2;53.788
246;427;1;21.511
247;433;13;62.411
248;420;5;24.156
249;418;3;22.340
250;401;5;23.115
251;402;1;53.845
252;401;6;23.313
253;387;1;18.921
254;396;5;57.217
255;396;3;57.562
256;393;3;20.633
257;400;2;51.406
258;392;13;27.138
259;391;1;19.282
260;378;6;21.998
261;380;16;65.526
262;378;8;23.792
263;375;5;21.036
264;374;1;17.884
265;380;2;52.901
266;389;5;58.524
267;390;3;52.324
268;391;2;53.296
269;397;8;57.582
270;395;4;21.937
271;392;6;22.819
272;399;7;61.098
273;398;2;20.308
274;389;1;50.546
275;404;1;51.521
276;411;3;54.298
277;417;8;58.473
278;416;1;20.626
279;425;16;66.347
280;424;1;60.690
281;423;7;24.723
282;430;2;56.701
283;417;2;21.984
284;409;5;23.609
285;418;1;57.825
286;416;5;23.877
287;417;4;58.228
288;403;1;20.658
289;405;3;63.519
290;413;5;65.330
291;421;14;71.450
292;422;2;61.388
293;423;8;65.160
294;433;7;69.631
295;434;6;65.424
296;431;8;28.341
297;440;9;73.158
298;448;1;69.381
299;448;8;73.147
300;447;4;26.138
