ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;2;1.812
2;118;2;1.831
3;91;1;0.621
4;89;1;0.756
5;88;4;2.226
6;96;1;1.441
7;97;2;2.313
8;106;2;3.028
9;114;2;3.107
10;100;3;2.753
11;122;1;2.550
12;119;2;3.248
13;120;2;2.782
14;142;3;4.649
15;122;1;1.547
16;123;2;3.595
17;117;5;5.380
18;118;1;2.668
19;120;2;4.152
20;129;1;3.495
21;110;1;1.845
22;109;1;1.845
23;118;1;3.545
24;116;1;2.406
25;123;1;4.937
26;139;1;5.546
27;137;1;2.679
28;136;2;3.093
29;133;2;2.842
30;140;1;4.065
31;119;3;3.523
32;112;2;5.027
33;113;2;5.824
34;104;1;4.179
35;111;1;5.111
36;126;3;5.527
37;115;2;7.539
38;122;1;6.332
39;125;2;5.889
40;132;1;7.097
41;139;1;5.619
42;140;1;8.590
43;158;2;7.288
44;168;1;6.916
45;184;1;7.211
46;180;5;6.745
47;178;2;4.127
48;174;3;5.023
49;157;1;6.271
50;137;1;2.648
51;133;1;5.625
52;113;2;2.998
53;120;1;5.249
54;128;1;5.907
55;146;3;7.529
56;154;3;8.283
57;135;1;6.438
58;134;5;4.699
59;115;1;2.141
60;116;4;7.916
61;123;4;8.893
62;122;2;3.422
63;128;4;8.923
64;125;1;7.109
65;123;1;2.523
66;124;1;7.068
67;133;1;6.393
68;134;1;8.405
69;131;7;7.021
70;121;3;7.894
71;122;1;8.688
72;116;4;8.627
73;111;5;5.460
74;118;1;8.032
75;117;2;7.408
76;116;2;3.247
77;110;3;7.258
78;124;4;9.623
79;131;2;7.146
80;140;1;9.318
81;141;5;12.601
82;147;2;11.148
83;154;1;8.030
84;151;5;6.475
85;152;1;11.006
86;168;4;11.325
87;155;1;11.810
88;162;1;12.071
89;158;3;5.555
90;153;1;8.933
91;152;1;9.007
92;150;2;4.324
93;157;2;8.847
94;158;1;12.034
95;167;6;12.464
96;169;3;14.792
97;170;1;14.009
98;178;1;10.628
99;179;6;18.792
100;187;3;16.756
101;183;2;12.087
102;197;6;17.529
103;198;4;19.054
104;199;1;17.497
105;211;1;12.942
106;225;2;14.224
107;226;1;19.828
108;240;1;19.913
109;249;2;22.183
110;250;2;16.318
111;251;1;22.642
112;248;2;16.804
113;249;3;17.421
114;250;4;18.371
115;252;2;17.179
116;266;1;17.570
117;281;1;17.867
118;283;2;19.459
119;290;5;28.115
120;306;1;25.725
121;294;1;26.364
122;295;4;22.317
123;296;6;30.695
124;305;2;28.853
125;292;14;21.771
126;283;1;11.550
127;280;5;14.184
128;286;1;27.736
129;295;3;30.791
130;307;3;29.502
131;304;2;23.806
132;305;4;33.041
133;292;2;29.372
134;299;7;27.758
135;299;7;34.783
136;305;1;26.254
137;317;3;32.780
138;318;2;29.031
139;304;2;13.933
140;302;4;15.075
141;311;1;24.578
142;326;4;28.366
143;332;4;30.537
144;339;3;37.421
145;328;3;29.810
146;329;8;33.655
147;328;4;17.427
148;343;3;30.951
149;341;1;15.669
150;340;1;15.803
151;337;6;19.581
152;335;2;30.213
153;331;2;30.288
154;317;15;39.918
155;326;3;37.397
156;334;8;42.665
157;333;4;17.291
158;319;1;14.549
159;334;8;43.699
160;348;6;40.478
161;357;7;45.994
162;374;4;36.875
163;373;5;21.789
164;374;2;45.528
165;359;1;35.762
166;345;8;22.504
167;353;2;38.178
168;351;4;19.268
169;333;1;32.905
170;320;2;15.502
171;332;1;35.066
172;333;1;33.099
173;342;1;42.281
174;349;5;37.919
175;358;1;44.828
176;367;16;59.153
177;375;3;42.694
178;389;2;46.435
179;404;3;52.753
180;411;1;52.999
181;404;4;44.884
182;411;4;55.851
183;409;5;25.306
184;408;2;22.080
185;410;3;44.475
186;408;6;25.470
187;402;6;45.761
188;389;4;22.144
189;388;5;22.919
190;386;1;18.919
191;395;5;55.421
192;403;6;53.321
193;412;3;56.361
194;418;2;56.075
195;435;3;59.185
196;442;4;49.662
197;449;5;64.533
198;448;4;27.252
199;457;2;62.763
200;465;1;59.263
201;463;2;26.085
202;460;2;26.068
203;445;9;56.415
204;447;9;56.411
205;441;4;53.017
206;439;3;25.515
207;438;5;27.288
208;446;6;59.911
209;453;1;63.148
210;470;1;53.816
211;478;3;56.873
212;475;8;33.474
213;485;3;57.423
214;478;2;63.160
215;487;4;58.840
216;494;32;97.734
217;495;1;70.161
218;494;1;28.657
219;502;1;70.019
220;503;11;67.789
221;504;7;64.489
222;511;1;72.336
223;512;3;78.254
224;527;1;62.485
225;518;10;71.353
226;503;1;30.398
227;518;8;69.325
228;525;4;80.464
229;532;2;80.031
230;538;1;69.956
231;544;2;79.067
232;543;2;35.048
233;551;4;84.918
234;559;6;82.626
235;569;4;74.642
236;567;6;41.851
237;551;5;39.299
238;552;1;81.306
239;561;10;94.535
240;561;4;76.179
241;563;1;72.835
242;565;1;73.532
243;572;2;75.865
244;578;4;89.514
245;586;5;90.323
246;578;4;79.635
247;577;5;42.752
248;585;10;96.050
249;572;1;38.350
250;581;3;93.206
251;580;2;40.240
252;579;4;80.760
253;581;1;78.002
254;591;5;83.737
255;592;5;84.177
256;593;9;102.807
257;592;15;95.025
258;577;5;43.260
259;592;5;84.822
260;607;3;97.824
261;593;5;44.903
262;578;8;47.803
263;577;2;40.587
264;564;1;38.300
265;565;5;95.134
266;573;1;92.570
267;575;2;83.414
268;568;1;81.712
269;566;2;81.403
270;563;6;41.009
271;548;2;36.148
272;532;2;34.777
273;545;1;78.534
274;552;1;93.833
275;550;1;35.730
276;560;6;86.753
277;545;4;83.941
278;527;6;38.720
279;533;4;94.400
280;550;1;94.541
281;557;3;84.923
282;565;3;100.572
283;566;2;101.029
284;573;7;107.545
285;582;4;106.312
286;583;2;90.853
287;580;7;48.077
288;578;3;42.821
289;575;13;53.027
290;575;7;94.896
291;574;1;39.428
292;558;2;39.002
293;566;1;92.909
294;564;2;39.352
295;558;2;86.786
296;544;1;36.638
297;553;3;87.535
298;551;5;41.100
299;544;2;86.436
300;553;4;103.956
