ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;94;3;1.550
2;116;1;1.080
3;118;2;1.185
4;92;4;1.014
5;89;1;0.575
6;87;2;1.077
7;96;1;1.169
8;112;1;1.498
9;113;2;1.957
10;128;2;2.289
11;152;5;3.988
12;141;1;2.445
13;142;1;2.402
14;120;7;4.173
15;140;3;3.643
16;147;3;3.954
17;141;8;4.915
18;142;1;3.347
19;158;2;3.720
20;137;1;2.056
21;131;1;3.341
22;132;2;3.695
23;154;1;3.930
24;155;1;4.210
25;162;1;4.513
26;162;3;5.784
27;161;3;3.911
28;158;2;3.197
29;157;1;2.788
30;164;3;5.450
31;178;2;5.559
32;159;1;2.954
33;141;3;5.223
34;148;1;3.978
35;162;1;4.458
36;163;3;5.530
37;164;2;5.551
38;180;2;5.837
39;187;4;7.106
40;202;2;6.714
41;203;3;8.002
42;185;5;6.017
43;199;5;9.026
44;201;3;8.427
45;180;1;4.119
46;198;4;8.780
47;204;2;8.161
48;224;1;8.158
49;238;2;9.301
50;234;4;6.716
51;231;1;4.823
52;238;9;12.314
53;252;1;9.141
54;267;4;11.383
55;265;4;7.628
56;272;9;15.045
57;273;5;13.352
58;260;3;12.205
59;258;4;8.037
60;247;1;11.196
61;265;2;12.018
62;273;1;11.869
63;274;4;13.889
64;272;2;7.707
65;271;2;7.695
66;272;3;14.733
67;286;1;13.924
68;284;2;8.317
69;269;2;13.369
70;275;13;18.687
71;262;1;12.618
72;285;13;19.397
73;283;4;9.038
74;290;4;15.474
75;289;5;9.967
76;282;1;13.508
77;275;1;12.840
78;274;4;7.846
79;274;11;17.515
80;275;10;16.804
81;290;2;13.384
82;305;2;14.487
83;306;2;15.425
84;307;5;17.382
85;291;2;15.431
86;270;12;13.362
87;254;1;6.900
88;253;3;7.746
89;251;3;7.798
90;267;2;14.722
91;266;11;12.075
92;251;2;14.744
93;248;1;13.250
94;249;9;17.194
95;249;1;13.608
96;251;7;16.463
97;249;2;14.180
98;232;4;14.164
99;239;3;13.227
100;253;3;14.250
