ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;94;3;1.511
2;108;2;1.405
3;116;1;1.145
4;90;4;2.152
5;87;1;0.792
6;88;1;1.048
7;110;1;1.360
8;111;1;1.473
9;118;2;2.094
10;119;4;3.102
11;133;1;2.273
12;134;7;4.676
13;133;1;1.721
14;134;1;2.499
15;148;1;2.859
16;149;6;5.189
17;148;1;2.481
18;170;1;3.506
19;171;3;4.409
20;181;7;6.143
21;182;4;5.026
22;204;3;5.123
23;183;9;6.578
24;179;4;4.147
25;188;2;4.625
26;189;3;5.373
27;203;1;4.925
28;205;2;5.427
29;218;3;6.292
30;197;4;5.025
31;206;10;9.354
32;213;1;6.107
33;211;3;5.274
34;187;1;3.908
35;180;1;5.802
36;196;4;7.331
37;218;1;6.760
38;217;6;6.580
39;224;11;12.005
40;225;3;8.256
41;222;8;10.727
42;219;3;5.471
43;235;7;10.943
44;242;3;9.576
45;244;1;8.865
46;243;1;5.181
47;251;3;10.064
48;231;3;9.635
49;247;1;9.204
50;226;2;5.462
51;227;1;8.574
52;210;1;8.280
53;210;5;9.925
54;211;3;8.900
55;218;18;15.527
56;197;23;13.739
57;211;3;9.650
58;219;7;11.810
59;215;1;4.719
60;221;5;10.856
61;209;1;4.717
62;223;3;10.915
63;231;5;11.635
64;207;2;5.395
65;213;1;9.183
66;214;2;9.668
67;230;3;10.772
68;231;2;11.099
69;230;6;7.896
70;239;8;14.188
71;253;4;12.653
72;231;1;5.542
73;191;11;9.523
74;188;1;4.630
75;189;1;9.585
76;190;2;10.289
77;189;14;10.053
78;190;3;11.060
79;186;16;10.554
80;184;7;6.450
81;186;3;11.105
82;183;2;10.213
83;184;3;10.463
84;204;6;12.391
85;206;11;14.994
86;207;1;11.131
87;205;2;5.087
88;207;4;12.517
89;208;6;13.684
90;206;19;12.935
91;185;3;5.589
92;199;1;12.025
93;198;2;5.179
94;186;4;12.975
95;184;3;12.528
96;185;7;14.186
97;202;3;13.744
98;201;2;5.618
99;210;1;12.791
100;216;2;13.873
101;223;2;14.242
102;224;1;14.232
103;224;3;16.121
104;208;34;29.638
105;210;3;15.275
106;216;2;15.182
107;228;4;16.545
108;231;9;19.505
109;229;9;19.395
110;226;1;6.331
111;213;5;17.409
112;220;12;20.425
113;219;7;9.169
114;227;1;15.353
115;234;4;17.482
116;248;11;21.606
117;248;2;17.208
118;263;1;18.187
119;263;22;28.521
120;262;5;9.828
121;259;4;8.950
122;240;1;15.570
123;241;1;15.371
124;242;4;17.237
125;258;10;21.263
126;257;2;7.864
127;254;13;13.002
128;261;10;21.687
129;270;2;19.064
130;270;7;21.362
131;284;7;22.076
132;285;8;23.109
133;286;3;21.448
134;292;4;22.165
135;280;7;11.880
136;260;1;8.129
137;251;1;21.165
138;252;2;20.288
139;231;3;8.432
140;246;2;20.019
141;244;2;20.392
142;251;8;24.217
143;257;4;21.586
144;258;1;20.640
145;267;4;22.767
146;265;2;9.169
147;264;4;10.408
148;262;1;19.830
149;258;2;20.052
150;267;2;21.688
151;255;8;23.597
152;269;10;25.534
153;252;2;20.938
154;251;1;7.632
155;263;3;21.629
156;264;5;23.397
157;265;3;22.349
158;280;9;26.495
159;289;3;24.746
160;290;8;29.566
161;284;4;26.703
162;271;3;11.119
163;269;3;11.113
164;270;3;26.113
165;277;2;25.962
166;278;1;27.882
167;279;5;30.160
168;276;1;11.034
169;288;4;28.138
170;282;4;27.920
171;284;1;26.829
172;299;5;30.394
173;305;4;32.415
174;314;4;31.531
175;321;14;38.722
176;320;5;15.981
177;314;7;34.869
178;296;2;13.544
179;283;9;34.961
180;280;6;14.565
181;281;6;31.800
182;283;4;31.692
183;280;19;21.543
184;273;3;30.074
185;259;2;28.044
186;257;2;11.140
187;267;2;28.004
188;268;20;38.632
189;269;18;37.158
190;278;1;29.321
191;285;3;32.980
192;272;10;16.892
193;271;3;12.793
194;278;2;30.965
195;284;1;31.425
196;281;3;13.212
197;295;10;36.325
198;304;1;32.378
199;291;19;22.387
200;298;5;35.335
201;306;11;39.199
202;315;12;40.563
203;316;4;37.696
204;317;15;43.205
205;316;16;22.060
206;323;11;41.260
207;322;24;48.310
208;330;4;37.327
209;329;1;14.358
210;328;5;16.158
211;322;3;15.015
212;321;1;13.827
213;322;4;39.366
214;307;3;36.866
215;305;7;37.390
216;304;5;14.587
217;311;5;37.286
218;311;24;45.504
219;312;5;36.839
220;311;2;35.041
221;304;14;40.532
222;302;5;35.898
223;303;9;37.277
224;304;1;34.268
225;305;4;37.613
226;315;1;34.876
227;317;2;36.163
228;308;2;36.145
229;307;5;15.601
230;303;2;35.018
231;310;1;36.156
232;316;6;37.098
233;301;4;15.162
234;313;5;38.031
235;322;2;38.349
236;330;13;44.739
237;339;6;41.559
238;353;14;48.545
239;354;1;40.682
240;355;13;47.835
241;371;2;42.945
242;369;6;19.835
243;367;1;16.522
244;369;3;43.374
245;368;8;20.480
246;365;2;17.249
247;366;1;42.808
248;367;2;43.693
249;368;8;47.572
250;369;10;49.627
251;370;20;55.394
252;384;4;49.072
253;385;3;48.781
254;384;10;24.102
255;374;10;50.971
256;367;1;45.365
257;368;4;47.628
258;375;38;69.045
259;390;34;69.189
260;391;3;51.413
261;393;2;52.049
262;394;4;52.993
263;379;2;20.475
264;386;3;53.146
265;385;7;23.932
266;387;5;54.606
267;385;3;21.390
268;393;1;54.049
269;392;1;20.882
270;394;23;66.554
271;392;8;24.960
272;391;4;22.047
273;392;1;54.118
274;389;1;20.058
275;387;1;19.229
276;388;6;56.376
277;389;1;54.482
278;388;9;23.692
279;387;1;18.407
280;396;2;54.904
281;382;3;55.470
282;375;14;61.002
283;383;1;53.424
284;370;7;21.627
285;369;7;56.253
286;379;1;53.271
287;372;6;55.750
288;358;2;53.872
289;344;3;18.267
290;342;7;19.948
291;343;3;53.353
292;344;2;53.194
