ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;3;2.839
2;116;1;1.371
3;118;4;2.750
4;92;3;1.276
5;89;3;1.535
6;87;4;2.460
7;94;1;1.326
8;95;3;2.737
9;96;1;2.119
10;94;4;2.723
11;104;4;3.500
12;105;1;1.772
13;129;1;2.327
14;130;6;5.086
15;144;1;2.841
16;150;2;3.499
17;158;4;4.784
18;159;1;3.031
19;140;1;2.199
20;119;1;1.867
21;134;1;3.671
22;135;1;3.618
23;133;1;2.373
24;130;1;2.377
25;129;1;2.353
26;138;1;4.672
27;118;2;3.053
28;138;2;5.563
29;129;3;6.890
30;135;2;5.332
31;134;1;2.499
32;150;2;5.339
33;165;1;5.316
34;165;1;5.201
35;171;1;5.223
36;156;2;5.803
37;157;1;4.628
38;164;4;6.788
39;178;3;7.119
40;179;1;6.059
41;201;5;8.996
42;197;1;3.792
43;198;7;9.996
44;220;4;9.097
45;235;2;8.014
46;220;2;8.402
47;240;5;10.637
48;220;14;12.590
49;227;1;7.737
50;228;1;8.102
51;235;14;16.864
52;241;1;9.303
53;255;5;12.421
54;263;6;13.551
55;271;16;20.955
56;283;7;15.193
57;263;3;8.053
58;270;22;25.032
59;284;8;16.424
60;282;5;9.911
61;279;11;13.804
62;294;10;18.413
63;293;39;33.795
64;302;1;12.555
65;296;19;25.793
66;276;13;15.590
67;291;18;24.786
68;308;8;18.920
69;306;28;27.241
70;321;6;19.374
71;308;8;14.063
72;307;2;9.226
73;316;27;34.786
74;314;14;18.549
75;322;11;23.721
76;320;1;8.911
77;314;11;23.284
78;294;3;9.388
79;279;7;11.957
80;266;5;9.955
81;267;4;17.826
82;269;8;21.244
83;278;4;18.960
84;276;11;14.810
85;291;14;26.816
86;290;16;19.434
87;288;1;8.380
88;279;45;48.783
89;288;1;17.682
90;285;11;15.295
91;284;5;20.046
92;293;12;24.932
93;296;54;55.775
94;295;29;28.298
95;282;40;35.782
96;281;19;20.852
97;279;34;31.031
98;273;21;31.964
99;272;13;26.235
100;271;13;15.661
101;270;1;7.667
102;269;13;15.207
103;269;16;27.958
104;268;56;53.989
105;270;13;25.268
106;279;10;23.987
107;288;49;51.869
108;268;9;24.212
109;270;25;36.113
110;269;3;9.370
111;267;7;12.106
112;258;1;18.822
113;258;2;19.743
114;256;8;11.982
115;257;1;17.596
116;259;15;27.318
117;260;5;22.153
118;258;8;12.185
119;258;4;21.316
120;257;2;7.759
121;257;8;23.591
122;255;27;35.878
123;255;4;20.184
124;255;18;28.785
125;248;3;18.688
126;247;4;8.486
127;256;1;17.808
128;256;45;49.526
129;258;3;20.054
130;257;2;7.672
131;266;9;24.290
132;267;5;22.241
133;266;20;33.082
134;283;2;20.483
135;284;10;27.204
136;293;49;54.483
137;278;6;11.713
138;271;49;54.709
139;272;5;24.560
140;264;10;14.291
141;281;1;23.020
142;279;28;27.757
143;279;3;24.613
144;280;5;26.032
145;279;1;8.851
146;288;11;30.005
147;289;9;29.517
148;289;44;55.842
149;298;2;25.707
150;307;9;31.750
151;307;10;33.516
152;314;2;28.295
153;307;23;43.204
154;316;14;36.937
155;315;9;34.507
156;313;5;14.009
157;321;15;37.484
158;320;13;19.506
159;321;1;28.378
160;322;3;30.204
161;321;2;12.027
162;335;3;31.427
163;333;7;15.882
164;342;15;39.335
165;325;25;46.817
166;326;2;29.909
167;318;9;34.577
168;326;13;38.046
169;327;3;31.452
170;327;2;30.831
171;341;3;32.570
172;350;6;35.082
173;357;23;49.026
174;357;11;39.943
175;356;3;15.189
176;356;20;47.669
177;364;1;33.886
178;363;23;29.359
179;361;19;26.656
180;367;7;38.095
181;353;8;17.897
182;362;5;36.631
183;361;7;17.793
184;378;8;40.956
185;384;1;37.447
186;393;5;41.125
187;402;7;43.230
188;395;1;39.820
189;394;26;33.496
190;378;13;46.643
191;369;9;42.405
192;368;2;14.073
193;375;20;50.285
194;370;29;55.649
195;369;3;14.538
196;384;1;37.376
197;386;17;49.768
198;395;2;40.077
199;394;8;20.322
200;396;1;41.180
201;405;66;90.340
202;414;2;44.489
203;408;22;59.467
204;406;17;28.659
205;404;3;18.326
206;397;12;52.075
207;406;15;54.995
208;406;26;64.469
209;407;6;49.902
210;416;4;49.593
211;424;12;57.021
212;439;23;67.316
213;448;27;72.111
214;457;2;54.109
215;466;2;55.549
216;481;9;63.614
217;472;18;71.103
218;459;5;26.749
