ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;5.067
2;118;3;4.129
3;92;1;1.002
4;90;1;1.093
5;87;2;1.822
6;94;1;1.659
7;108;1;2.518
8;109;3;4.482
9;110;1;2.229
10;124;2;4.646
11;148;1;4.681
12;157;2;3.839
13;136;4;5.271
14;150;11;12.683
15;156;1;4.671
16;152;1;2.463
17;129;1;3.674
18;130;2;3.589
19;139;2;3.879
20;146;3;6.532
21;148;4;6.884
22;160;1;4.312
23;176;5;8.436
24;185;1;4.199
25;202;1;4.695
26;211;1;5.133
27;225;1;6.184
28;233;1;7.671
29;234;4;8.623
30;213;4;6.661
31;210;6;8.785
32;222;1;6.989
33;230;5;11.075
34;229;3;7.073
35;209;1;4.293
36;207;1;4.057
37;188;1;3.832
38;170;4;6.395
39;169;7;11.579
40;171;3;10.215
41;169;15;16.500
42;163;2;7.896
43;160;3;5.066
44;159;4;11.222
45;174;2;7.081
46;183;3;8.435
47;179;7;9.230
48;180;2;8.539
49;169;4;11.422
50;166;4;6.015
51;165;4;5.981
52;174;2;8.428
53;172;4;6.223
54;178;2;8.358
55;179;1;7.246
56;182;1;7.446
57;183;6;12.321
58;183;1;10.162
59;189;7;14.233
60;190;1;10.865
61;197;4;14.081
62;196;4;7.464
63;193;3;6.243
64;207;1;9.494
65;205;4;7.251
66;208;2;10.400
67;202;1;10.479
68;217;1;10.236
69;216;8;11.563
70;197;1;4.831
71;183;1;10.618
72;182;7;9.813
73;196;4;15.132
74;197;11;19.752
75;195;8;11.386
76;215;3;13.388
77;216;10;22.682
78;215;7;11.122
79;222;13;23.624
80;223;1;14.396
81;222;3;7.924
82;221;2;6.675
83;235;1;13.519
84;232;3;7.866
85;231;7;11.421
86;248;1;13.877
87;234;1;14.237
88;230;2;6.871
89;218;3;14.490
90;220;1;12.276
91;219;5;9.244
92;219;2;16.807
93;220;6;17.277
94;221;6;18.697
95;230;4;16.841
96;239;3;16.374
97;248;2;16.437
98;246;8;23.074
99;238;12;26.143
100;253;9;23.917
