ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;2;1.333;1.333;0:00:01
2;118;5;2.529;3.862;0:00:03
3;92;1;0.405;4.267;0:00:04
4;88;2;0.951;5.218;0:00:05
5;94;2;1.568;6.786;0:00:06
6;95;1;1.346;8.132;0:00:08
7;109;2;2.131;10.263;0:00:10
8;133;3;3.022;13.285;0:00:13
9;111;11;5.740;19.025;0:00:19
10;112;3;2.954;21.979;0:00:21
11;113;4;3.374;25.353;0:00:25
12;120;1;2.959;28.312;0:00:28
13;148;5;4.684;32.996;0:00:32
14;120;7;4.634;37.63;0:00:37
15;115;1;3.023;40.653;0:00:40
16;112;1;1.509;42.162;0:00:42
17;113;6;5.382;47.544;0:00:47
18;114;1;3.299;50.843;0:00:50
19;113;1;1.654;52.497;0:00:52
20;114;1;2.536;55.033;0:00:55
21;111;3;3.684;58.717;0:00:58
22;126;1;3.757;62.474;0:01:02
23;150;1;3.019;65.493;0:01:05
24;133;1;2.891;68.384;0:01:08
25;136;1;3.113;71.497;0:01:11
26;135;3;2.450;73.947;0:01:13
27;159;1;3.247;77.194;0:01:17
28;156;3;2.595;79.789;0:01:19
29;165;3;4.390;84.179;0:01:24
30;144;1;2.048;86.227;0:01:26
31;141;2;2.555;88.782;0:01:28
32;120;1;2.029;90.811;0:01:30
33;122;1;4.284;95.095;0:01:35
34;114;2;5.142;100.237;0:01:40
35;111;3;2.897;103.134;0:01:43
36;112;1;4.429;107.563;0:01:47
37;119;2;5.233;112.796;0:01:52
38;117;4;3.833;116.629;0:01:56
39;139;1;5.273;121.902;0:02:01
40;119;2;2.978;124.88;0:02:04
41;117;3;3.270;128.15;0:02:08
42;104;2;2.627;130.777;0:02:10
43;111;1;5.628;136.405;0:02:16
44;107;3;6.626;143.031;0:02:23
45;107;3;6.992;150.023;0:02:30
46;105;1;5.602;155.625;0:02:35
47;120;2;6.216;161.841;0:02:41
48;121;7;8.559;170.4;0:02:50
49;122;1;6.787;177.187;0:02:57
50;130;1;6.848;184.035;0:03:04
51;133;2;8.171;192.206;0:03:12
52;111;1;6.970;199.176;0:03:19
53;108;4;7.359;206.535;0:03:26
54;107;1;2.464;208.999;0:03:28
55;100;2;2.645;211.644;0:03:31
56;101;3;5.812;217.456;0:03:37
57;102;10;9.340;226.796;0:03:46
58;103;5;7.420;234.216;0:03:54
59;102;1;2.524;236.74;0:03:56
60;108;4;7.391;244.131;0:04:04
61;106;2;2.765;246.896;0:04:06
62;124;2;6.440;253.336;0:04:13
63;139;1;6.396;259.732;0:04:19
64;138;1;7.086;266.818;0:04:26
65;137;4;3.885;270.703;0:04:30
66;125;1;6.818;277.521;0:04:37
67;124;5;8.480;286.001;0:04:46
68;125;2;7.146;293.147;0:04:53
69;106;2;6.742;299.889;0:04:59
70;105;1;2.331;302.22;0:05:02
71;112;2;6.064;308.284;0:05:08
72;113;3;6.754;315.038;0:05:15
73;121;4;7.761;322.799;0:05:22
74;135;3;7.813;330.612;0:05:30
75;141;5;9.257;339.869;0:05:39
76;138;2;3.463;343.332;0:05:43
77;158;4;8.748;352.08;0:05:52
78;140;6;5.730;357.81;0:05:57
79;138;5;8.932;366.742;0:06:06
80;145;3;7.789;374.531;0:06:14
81;146;1;7.128;381.659;0:06:21
82;153;2;8.265;389.924;0:06:29
83;163;5;10.190;400.114;0:06:40
84;164;1;8.775;408.889;0:06:48
85;150;7;6.586;415.475;0:06:55
86;137;1;8.721;424.196;0:07:04
87;135;3;4.160;428.356;0:07:08
88;143;3;8.926;437.282;0:07:17
89;144;6;10.651;447.933;0:07:27
90;140;2;8.849;456.782;0:07:36
91;147;1;8.840;465.622;0:07:45
92;146;2;9.647;475.269;0:07:55
93;146;1;9.002;484.271;0:08:04
94;147;2;9.634;493.905;0:08:13
95;146;8;12.539;506.444;0:08:26
96;147;5;11.966;518.41;0:08:38
97;144;5;10.672;529.082;0:08:49
98;143;3;9.307;538.389;0:08:58
99;150;2;9.983;548.372;0:09:08
100;145;10;12.832;561.204;0:09:21
101;144;1;3.377;564.581;0:09:24
102;152;1;8.426;573.007;0:09:33
103;175;3;10.319;583.326;0:09:43
104;182;1;11.666;594.992;0:09:54
105;184;1;10.901;605.893;0:10:05
106;177;2;12.449;618.342;0:10:18
107;175;2;4.687;623.029;0:10:23
108;176;5;12.398;635.427;0:10:35
109;155;11;8.658;644.085;0:10:44
