ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;0.998;0.998;0:00:00
2;116;1;1.277;2.275;0:00:02
3;118;6;3.235;5.51;0:00:05
4;92;2;0.672;6.182;0:00:06
5;87;4;1.543;7.725;0:00:07
6;88;1;1.125;8.85;0:00:08
7;110;1;1.412;10.262;0:00:10
8;125;1;1.548;11.81;0:00:11
9;114;1;1.768;13.578;0:00:13
10;90;4;2.191;15.769;0:00:15
11;91;1;1.395;17.164;0:00:17
12;92;2;2.004;19.168;0:00:19
13;115;2;2.407;21.575;0:00:21
14;112;1;1.518;23.093;0:00:23
15;121;1;2.615;25.708;0:00:25
16;124;2;3.019;28.727;0:00:28
17;125;1;2.628;31.355;0:00:31
18;139;1;2.805;34.16;0:00:34
19;152;1;2.951;37.111;0:00:37
20;162;3;4.356;41.467;0:00:41
21;142;3;2.987;44.454;0:00:44
22;138;1;1.935;46.389;0:00:46
23;118;7;4.460;50.849;0:00:50
24;133;1;3.376;54.225;0:00:54
25;134;4;5.247;59.472;0:00:59
26;147;4;5.137;64.609;0:01:04
27;145;1;2.253;66.862;0:01:06
28;147;2;4.623;71.485;0:01:11
29;148;1;4.153;75.638;0:01:15
30;164;1;4.693;80.331;0:01:20
31;161;3;3.693;84.024;0:01:24
32;158;5;6.810;90.834;0:01:30
33;165;1;4.470;95.304;0:01:35
34;179;1;5.062;100.366;0:01:40
35;178;1;2.932;103.298;0:01:43
36;179;3;5.853;109.151;0:01:49
37;194;8;9.120;118.271;0:01:58
38;197;1;6.463;124.734;0:02:04
39;184;1;5.880;130.614;0:02:10
40;185;4;7.517;138.131;0:02:18
41;205;5;8.539;146.67;0:02:26
42;194;2;7.110;153.78;0:02:33
43;192;2;4.208;157.988;0:02:37
44;193;1;6.284;164.272;0:02:44
45;178;1;6.181;170.453;0:02:50
46;177;1;3.333;173.786;0:02:53
47;174;2;3.986;177.772;0:02:57
48;194;6;9.600;187.372;0:03:07
49;192;4;5.445;192.817;0:03:12
50;194;2;7.572;200.389;0:03:20
51;174;1;3.359;203.748;0:03:23
52;181;5;9.114;212.862;0:03:32
53;176;3;7.928;220.79;0:03:40
54;174;2;3.817;224.607;0:03:44
55;173;3;4.357;228.964;0:03:48
56;180;1;7.001;235.965;0:03:55
57;189;2;8.161;244.126;0:04:04
58;172;1;7.575;251.701;0:04:11
59;178;3;8.074;259.775;0:04:19
60;186;4;8.925;268.7;0:04:28
61;187;2;8.541;277.241;0:04:37
62;186;1;8.150;285.391;0:04:45
63;187;5;9.636;295.027;0:04:55
64;187;1;7.634;302.661;0:05:02
65;185;2;4.425;307.086;0:05:07
66;184;1;3.865;310.951;0:05:10
67;186;1;7.678;318.629;0:05:18
68;194;1;7.948;326.577;0:05:26
69;201;3;9.990;336.567;0:05:36
70;225;3;10.392;346.959;0:05:46
71;239;2;10.827;357.786;0:05:57
72;240;5;13.199;370.985;0:06:10
73;247;8;15.462;386.447;0:06:26
74;206;1;5.011;391.458;0:06:31
75;204;1;4.714;396.172;0:06:36
76;213;3;12.234;408.406;0:06:48
77;223;1;11.664;420.07;0:07:00
78;216;3;12.697;432.767;0:07:12
79;213;1;4.932;437.699;0:07:17
80;202;5;12.399;450.098;0:07:30
81;193;4;11.983;462.081;0:07:42
82;194;1;9.629;471.71;0:07:51
83;192;1;3.945;475.655;0:07:55
84;191;2;4.221;479.876;0:07:59
85;200;2;9.101;488.977;0:08:08
86;208;2;9.752;498.729;0:08:18
87;185;8;7.519;506.248;0:08:26
88;187;7;12.275;518.523;0:08:38
89;188;7;12.585;531.108;0:08:51
90;208;2;11.708;542.816;0:09:02
91;209;5;13.413;556.229;0:09:16
92;208;1;4.842;561.071;0:09:21
93;223;2;13.784;574.855;0:09:34
94;210;3;6.445;581.3;0:09:41
95;203;1;11.927;593.227;0:09:53
96;223;1;14.019;607.246;0:10:07
97;222;5;15.230;622.476;0:10:22
98;231;11;19.443;641.919;0:10:41
99;230;4;7.689;649.608;0:10:49
100;212;2;5.991;655.599;0:10:55
101;213;2;13.551;669.15;0:11:09
102;214;7;17.444;686.594;0:11:26
103;221;1;13.874;700.468;0:11:40
104;241;2;15.244;715.712;0:11:55
105;249;9;21.293;737.005;0:12:17
106;234;1;14.723;751.728;0:12:31
107;228;7;18.630;770.358;0:12:50
108;226;5;8.034;778.392;0:12:58
109;227;2;14.434;792.826;0:13:12
110;209;3;6.773;799.599;0:13:19
111;208;3;6.683;806.282;0:13:26
112;205;4;17.159;823.441;0:13:43
113;207;2;14.826;838.267;0:13:58
114;208;3;15.378;853.645;0:14:13
115;215;4;17.815;871.46;0:14:31
116;196;3;6.936;878.396;0:14:38
117;193;6;8.297;886.693;0:14:46
118;191;3;6.281;892.974;0:14:52
119;189;2;14.654;907.628;0:15:07
120;196;1;12.753;920.381;0:15:20
121;204;4;15.286;935.667;0:15:35
122;205;5;17.444;953.111;0:15:53
123;212;2;16.052;969.163;0:16:09
124;225;3;19.299;988.462;0:16:28
125;245;3;17.769;1006.231;0:16:46
126;244;1;7.054;1013.285;0:16:53
127;253;2;18.600;1031.885;0:17:11
128;254;1;18.003;1049.888;0:17:29
129;261;2;20.881;1070.769;0:17:50
130;270;1;22.148;1092.917;0:18:12
131;259;3;10.109;1103.026;0:18:23
132;241;5;21.055;1124.081;0:18:44
133;239;6;21.428;1145.509;0:19:05
134;230;1;17.983;1163.492;0:19:23
135;228;1;7.343;1170.835;0:19:30
136;226;6;9.460;1180.295;0:19:40
137;224;8;20.658;1200.953;0:20:00
138;233;5;18.431;1219.384;0:20:19
139;241;3;18.010;1237.394;0:20:37
140;224;1;17.595;1254.989;0:20:54
141;223;1;6.749;1261.738;0:21:01
142;203;2;6.433;1268.171;0:21:08
143;204;2;18.655;1286.826;0:21:26
144;197;1;17.034;1303.86;0:21:43
145;199;1;16.874;1320.734;0:22:00
146;200;1;15.291;1336.025;0:22:16
147;200;4;17.512;1353.537;0:22:33
148;185;9;9.765;1363.302;0:22:43
149;186;1;15.675;1378.977;0:22:58
150;187;1;17.985;1396.962;0:23:16
151;196;2;17.003;1413.965;0:23:33
152;197;2;17.100;1431.065;0:23:51
153;206;4;19.750;1450.815;0:24:10
154;207;1;18.776;1469.591;0:24:29
155;222;5;24.443;1494.034;0:24:54
156;232;2;21.531;1515.565;0:25:15
157;223;6;25.277;1540.842;0:25:40
158;220;6;10.364;1551.206;0:25:51
159;221;4;23.875;1575.081;0:26:15
160;222;1;20.846;1595.927;0:26:35
161;234;7;27.009;1622.936;0:27:02
162;221;1;8.069;1631.005;0:27:11
163;212;1;21.829;1652.834;0:27:32
164;221;1;20.844;1673.678;0:27:53
165;230;1;21.644;1695.322;0:28:15
166;238;8;26.232;1721.554;0:28:41
167;221;1;8.387;1729.941;0:28:49
168;235;2;24.410;1754.351;0:29:14
169;242;1;25.693;1780.044;0:29:40
170;243;4;25.923;1805.967;0:30:05
