ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;0.930;0.93;0:00:00
2;118;2;1.243;2.173;0:00:02
3;90;2;0.696;2.869;0:00:02
4;87;1;0.641;3.51;0:00:03
5;94;2;1.564;5.074;0:00:05
6;112;1;1.521;6.595;0:00:06
7;113;2;1.975;8.57;0:00:08
8;137;1;1.991;10.561;0:00:10
9;144;7;5.014;15.575;0:00:15
10;140;2;2.825;18.4;0:00:18
11;138;3;2.515;20.915;0:00:20
12;117;2;1.935;22.85;0:00:22
13;116;3;2.248;25.098;0:00:25
14;131;2;2.760;27.858;0:00:27
15;138;3;3.914;31.772;0:00:31
16;117;1;1.670;33.442;0:00:33
17;106;1;2.853;36.295;0:00:36
18;103;2;1.840;38.135;0:00:38
19;102;1;1.420;39.555;0:00:39
20;103;4;4.007;43.562;0:00:43
21;104;4;4.431;47.993;0:00:47
22;97;1;1.583;49.576;0:00:49
23;96;3;2.248;51.824;0:00:51
24;99;1;2.857;54.681;0:00:54
25;123;1;2.917;57.598;0:00:57
26;136;1;3.146;60.744;0:01:00
27;137;1;3.400;64.144;0:01:04
28;134;1;1.853;65.997;0:01:05
29;142;2;4.421;70.418;0:01:10
30;128;5;5.807;76.225;0:01:16
31;138;3;4.879;81.104;0:01:21
32;145;1;4.037;85.141;0:01:25
33;124;1;2.076;87.217;0:01:27
34;125;2;4.557;91.774;0:01:31
35;132;2;4.919;96.693;0:01:36
36;140;2;5.427;102.12;0:01:42
37;137;3;5.752;107.872;0:01:47
38;143;1;4.967;112.839;0:01:52
39;152;1;5.411;118.25;0:01:58
40;138;1;5.242;123.492;0:02:03
41;137;1;2.622;126.114;0:02:06
42;134;1;2.410;128.524;0:02:08
43;147;1;5.039;133.563;0:02:13
44;154;1;5.648;139.211;0:02:19
45;152;2;3.091;142.302;0:02:22
46;153;2;7.012;149.314;0:02:29
47;173;6;9.012;158.326;0:02:38
48;180;3;8.173;166.499;0:02:46
49;188;4;8.951;175.45;0:02:55
50;189;2;8.739;184.189;0:03:04
51;190;1;7.973;192.162;0:03:12
52;189;1;8.081;200.243;0:03:20
53;203;3;9.149;209.392;0:03:29
54;202;4;5.814;215.206;0:03:35
55;218;1;9.247;224.453;0:03:44
56;225;3;11.112;235.565;0:03:55
57;205;2;5.245;240.81;0:04:00
58;206;1;9.222;250.032;0:04:10
59;203;1;4.759;254.791;0:04:14
60;212;4;10.828;265.619;0:04:25
61;211;1;9.270;274.889;0:04:34
62;207;1;4.358;279.247;0:04:39
63;206;1;4.073;283.32;0:04:43
64;205;4;5.908;289.228;0:04:49
65;214;2;9.888;299.116;0:04:59
66;208;2;10.330;309.446;0:05:09
67;209;1;10.182;319.628;0:05:19
68;190;1;4.304;323.932;0:05:23
69;197;5;11.641;335.573;0:05:35
70;198;2;10.375;345.948;0:05:45
71;212;2;11.362;357.31;0:05:57
72;212;2;11.225;368.535;0:06:08
73;213;3;12.984;381.519;0:06:21
74;199;4;6.409;387.928;0:06:27
75;208;9;15.683;403.611;0:06:43
76;204;1;5.268;408.879;0:06:48
77;219;1;12.481;421.36;0:07:01
78;205;1;5.209;426.569;0:07:06
79;204;5;7.161;433.73;0:07:13
80;201;3;12.368;446.098;0:07:26
81;210;3;13.050;459.148;0:07:39
82;201;5;13.847;472.995;0:07:52
83;213;1;11.140;484.135;0:08:04
84;204;2;12.715;496.85;0:08:16
85;213;3;11.913;508.763;0:08:28
86;228;4;13.440;522.203;0:08:42
87;211;2;13.248;535.451;0:08:55
88;212;1;11.990;547.441;0:09:07
89;221;5;15.682;563.123;0:09:23
90;228;1;14.074;577.197;0:09:37
91;226;1;13.600;590.797;0:09:50
92;228;1;13.835;604.632;0:10:04
93;225;1;5.722;610.354;0:10:10
94;224;3;7.033;617.387;0:10:17
95;233;5;16.331;633.718;0:10:33
96;227;8;18.900;652.618;0:10:52
97;218;6;17.193;669.811;0:11:09
98;217;1;5.459;675.27;0:11:15
99;224;3;15.932;691.202;0:11:31
100;231;8;18.740;709.942;0:11:49
