ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;2;1.812;1.812;0:00:01
2;118;2;1.831;3.643;0:00:03
3;91;1;0.621;4.264;0:00:04
4;89;1;0.756;5.02;0:00:05
5;88;4;2.226;7.246;0:00:07
6;96;1;1.441;8.687;0:00:08
7;97;2;2.313;11.0;0:00:11
8;106;2;3.028;14.028;0:00:14
9;114;2;3.107;17.135;0:00:17
10;100;3;2.753;19.888;0:00:19
11;122;1;2.550;22.438;0:00:22
12;119;2;3.248;25.686;0:00:25
13;120;2;2.782;28.468;0:00:28
14;142;3;4.649;33.117;0:00:33
15;122;1;1.547;34.664;0:00:34
16;123;2;3.595;38.259;0:00:38
17;117;5;5.380;43.639;0:00:43
18;118;1;2.668;46.307;0:00:46
19;120;2;4.152;50.459;0:00:50
20;129;1;3.495;53.954;0:00:53
21;110;1;1.845;55.799;0:00:55
22;109;1;1.845;57.644;0:00:57
23;118;1;3.545;61.189;0:01:01
24;116;1;2.406;63.595;0:01:03
25;123;1;4.937;68.532;0:01:08
26;139;1;5.546;74.078;0:01:14
27;137;1;2.679;76.757;0:01:16
28;136;2;3.093;79.85;0:01:19
29;133;2;2.842;82.692;0:01:22
30;140;1;4.065;86.757;0:01:26
31;119;3;3.523;90.28;0:01:30
32;112;2;5.027;95.307;0:01:35
33;113;2;5.824;101.131;0:01:41
34;104;1;4.179;105.31;0:01:45
35;111;1;5.111;110.421;0:01:50
36;126;3;5.527;115.948;0:01:55
37;115;2;7.539;123.487;0:02:03
38;122;1;6.332;129.819;0:02:09
39;125;2;5.889;135.708;0:02:15
40;132;1;7.097;142.805;0:02:22
41;139;1;5.619;148.424;0:02:28
42;140;1;8.590;157.014;0:02:37
43;158;2;7.288;164.302;0:02:44
44;168;1;6.916;171.218;0:02:51
45;184;1;7.211;178.429;0:02:58
46;180;5;6.745;185.174;0:03:05
47;178;2;4.127;189.301;0:03:09
48;174;3;5.023;194.324;0:03:14
49;157;1;6.271;200.595;0:03:20
50;137;1;2.648;203.243;0:03:23
51;133;1;5.625;208.868;0:03:28
52;113;2;2.998;211.866;0:03:31
53;120;1;5.249;217.115;0:03:37
54;128;1;5.907;223.022;0:03:43
55;146;3;7.529;230.551;0:03:50
56;154;3;8.283;238.834;0:03:58
57;135;1;6.438;245.272;0:04:05
58;134;5;4.699;249.971;0:04:09
59;115;1;2.141;252.112;0:04:12
60;116;4;7.916;260.028;0:04:20
61;123;4;8.893;268.921;0:04:28
62;122;2;3.422;272.343;0:04:32
63;128;4;8.923;281.266;0:04:41
64;125;1;7.109;288.375;0:04:48
65;123;1;2.523;290.898;0:04:50
66;124;1;7.068;297.966;0:04:57
67;133;1;6.393;304.359;0:05:04
68;134;1;8.405;312.764;0:05:12
69;131;7;7.021;319.785;0:05:19
70;121;3;7.894;327.679;0:05:27
71;122;1;8.688;336.367;0:05:36
72;116;4;8.627;344.994;0:05:44
73;111;5;5.460;350.454;0:05:50
74;118;1;8.032;358.486;0:05:58
75;117;2;7.408;365.894;0:06:05
76;116;2;3.247;369.141;0:06:09
77;110;3;7.258;376.399;0:06:16
78;124;4;9.623;386.022;0:06:26
79;131;2;7.146;393.168;0:06:33
80;140;1;9.318;402.486;0:06:42
81;141;5;12.601;415.087;0:06:55
82;147;2;11.148;426.235;0:07:06
83;154;1;8.030;434.265;0:07:14
84;151;5;6.475;440.74;0:07:20
85;152;1;11.006;451.746;0:07:31
86;168;4;11.325;463.071;0:07:43
87;155;1;11.810;474.881;0:07:54
88;162;1;12.071;486.952;0:08:06
89;158;3;5.555;492.507;0:08:12
90;153;1;8.933;501.44;0:08:21
91;152;1;9.007;510.447;0:08:30
92;150;2;4.324;514.771;0:08:34
93;157;2;8.847;523.618;0:08:43
94;158;1;12.034;535.652;0:08:55
95;167;6;12.464;548.116;0:09:08
96;169;3;14.792;562.908;0:09:22
97;170;1;14.009;576.917;0:09:36
98;178;1;10.628;587.545;0:09:47
99;179;6;18.792;606.337;0:10:06
100;187;3;16.756;623.093;0:10:23
101;183;2;12.087;635.18;0:10:35
102;197;6;17.529;652.709;0:10:52
103;198;4;19.054;671.763;0:11:11
104;199;1;17.497;689.26;0:11:29
105;211;1;12.942;702.202;0:11:42
106;225;2;14.224;716.426;0:11:56
107;226;1;19.828;736.254;0:12:16
108;240;1;19.913;756.167;0:12:36
109;249;2;22.183;778.35;0:12:58
110;250;2;16.318;794.668;0:13:14
111;251;1;22.642;817.31;0:13:37
112;248;2;16.804;834.114;0:13:54
113;249;3;17.421;851.535;0:14:11
114;250;4;18.371;869.906;0:14:29
115;252;2;17.179;887.085;0:14:47
116;266;1;17.570;904.655;0:15:04
117;281;1;17.867;922.522;0:15:22
118;283;2;19.459;941.981;0:15:41
119;290;5;28.115;970.096;0:16:10
120;306;1;25.725;995.821;0:16:35
121;294;1;26.364;1022.185;0:17:02
122;295;4;22.317;1044.502;0:17:24
123;296;6;30.695;1075.197;0:17:55
124;305;2;28.853;1104.05;0:18:24
125;292;14;21.771;1125.821;0:18:45
126;283;1;11.550;1137.371;0:18:57
127;280;5;14.184;1151.555;0:19:11
128;286;1;27.736;1179.291;0:19:39
129;295;3;30.791;1210.082;0:20:10
130;307;3;29.502;1239.584;0:20:39
131;304;2;23.806;1263.39;0:21:03
132;305;4;33.041;1296.431;0:21:36
133;292;2;29.372;1325.803;0:22:05
134;299;7;27.758;1353.561;0:22:33
135;299;7;34.783;1388.344;0:23:08
136;305;1;26.254;1414.598;0:23:34
137;317;3;32.780;1447.378;0:24:07
138;318;2;29.031;1476.409;0:24:36
139;304;2;13.933;1490.342;0:24:50
140;302;4;15.075;1505.417;0:25:05
141;311;1;24.578;1529.995;0:25:29
142;326;4;28.366;1558.361;0:25:58
143;332;4;30.537;1588.898;0:26:28
144;339;3;37.421;1626.319;0:27:06
145;328;3;29.810;1656.129;0:27:36
146;329;8;33.655;1689.784;0:28:09
147;328;4;17.427;1707.211;0:28:27
148;343;3;30.951;1738.162;0:28:58
149;341;1;15.669;1753.831;0:29:13
150;340;1;15.803;1769.634;0:29:29
151;337;6;19.581;1789.215;0:29:49
152;335;2;30.213;1819.428;0:30:19
153;331;2;30.288;1849.716;0:30:49
154;317;15;39.918;1889.634;0:31:29
155;326;3;37.397;1927.031;0:32:07
156;334;8;42.665;1969.696;0:32:49
157;333;4;17.291;1986.987;0:33:06
158;319;1;14.549;2001.536;0:33:21
159;334;8;43.699;2045.235;0:34:05
160;348;6;40.478;2085.713;0:34:45
161;357;7;45.994;2131.707;0:35:31
162;374;4;36.875;2168.582;0:36:08
163;373;5;21.789;2190.371;0:36:30
164;374;2;45.528;2235.899;0:37:15
165;359;1;35.762;2271.661;0:37:51
166;345;8;22.504;2294.165;0:38:14
167;353;2;38.178;2332.343;0:38:52
168;351;4;19.268;2351.611;0:39:11
169;333;1;32.905;2384.516;0:39:44
170;320;2;15.502;2400.018;0:40:00
171;332;1;35.066;2435.084;0:40:35
172;333;1;33.099;2468.183;0:41:08
173;342;1;42.281;2510.464;0:41:50
174;349;5;37.919;2548.383;0:42:28
175;358;1;44.828;2593.211;0:43:13
176;367;16;59.153;2652.364;0:44:12
177;375;3;42.694;2695.058;0:44:55
178;389;2;46.435;2741.493;0:45:41
179;404;3;52.753;2794.246;0:46:34
180;411;1;52.999;2847.245;0:47:27
181;404;4;44.884;2892.129;0:48:12
182;411;4;55.851;2947.98;0:49:07
183;409;5;25.306;2973.286;0:49:33
184;408;2;22.080;2995.366;0:49:55
185;410;3;44.475;3039.841;0:50:39
186;408;6;25.470;3065.311;0:51:05
187;402;6;45.761;3111.072;0:51:51
188;389;4;22.144;3133.216;0:52:13
189;388;5;22.919;3156.135;0:52:36
190;386;1;18.919;3175.054;0:52:55
191;395;5;55.421;3230.475;0:53:50
192;403;6;53.321;3283.796;0:54:43
193;412;3;56.361;3340.157;0:55:40
194;418;2;56.075;3396.232;0:56:36
195;435;3;59.185;3455.417;0:57:35
196;442;4;49.662;3505.079;0:58:25
197;449;5;64.533;3569.612;0:59:29
198;448;4;27.252;3596.864;0:59:56
199;457;2;62.763;3659.627;1:00:59
200;465;1;59.263;3718.89;1:01:58
201;463;2;26.085;3744.975;1:02:24
202;460;2;26.068;3771.043;1:02:51
203;445;9;56.415;3827.458;1:03:47
204;447;9;56.411;3883.869;1:04:43
205;441;4;53.017;3936.886;1:05:36
206;439;3;25.515;3962.401;1:06:02
207;438;5;27.288;3989.689;1:06:29
208;446;6;59.911;4049.6;1:07:29
209;453;1;63.148;4112.748;1:08:32
210;470;1;53.816;4166.564;1:09:26
211;478;3;56.873;4223.437;1:10:23
212;475;8;33.474;4256.911;1:10:56
213;485;3;57.423;4314.334;1:11:54
214;478;2;63.160;4377.494;1:12:57
215;487;4;58.840;4436.334;1:13:56
216;494;32;97.734;4534.068;1:15:34
217;495;1;70.161;4604.229;1:16:44
218;494;1;28.657;4632.886;1:17:12
219;502;1;70.019;4702.905;1:18:22
220;503;11;67.789;4770.694;1:19:30
221;504;7;64.489;4835.183;1:20:35
222;511;1;72.336;4907.519;1:21:47
223;512;3;78.254;4985.773;1:23:05
224;527;1;62.485;5048.258;1:24:08
225;518;10;71.353;5119.611;1:25:19
226;503;1;30.398;5150.009;1:25:50
227;518;8;69.325;5219.334;1:26:59
228;525;4;80.464;5299.798;1:28:19
229;532;2;80.031;5379.829;1:29:39
230;538;1;69.956;5449.785;1:30:49
231;544;2;79.067;5528.852;1:32:08
232;543;2;35.048;5563.9;1:32:43
233;551;4;84.918;5648.818;1:34:08
234;559;6;82.626;5731.444;1:35:31
235;569;4;74.642;5806.086;1:36:46
236;567;6;41.851;5847.937;1:37:27
237;551;5;39.299;5887.236;1:38:07
238;552;1;81.306;5968.542;1:39:28
239;561;10;94.535;6063.077;1:41:03
240;561;4;76.179;6139.256;1:42:19
