ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;102;3;1.624;1.624;0:00:01
2;116;2;1.526;3.15;0:00:03
3;118;5;2.366;5.516;0:00:05
4;91;1;0.453;5.969;0:00:05
5;88;2;1.005;6.974;0:00:06
6;87;1;0.741;7.715;0:00:07
7;102;1;1.261;8.976;0:00:08
8;111;1;1.582;10.558;0:00:10
9;112;1;2.014;12.572;0:00:12
10;118;2;2.479;15.051;0:00:15
11;119;3;3.341;18.392;0:00:18
12;102;3;3.012;21.404;0:00:21
13;96;1;2.125;23.529;0:00:23
14;116;6;4.357;27.886;0:00:27
15;117;9;6.108;33.994;0:00:33
16;114;7;4.139;38.133;0:00:38
17;122;2;3.762;41.895;0:00:41
18;121;18;8.832;50.727;0:00:50
19;122;1;2.744;53.471;0:00:53
20;136;2;3.998;57.469;0:00:57
21;138;1;3.211;60.68;0:01:00
22;135;1;3.209;63.889;0:01:03
23;141;1;3.474;67.363;0:01:07
24;150;1;3.746;71.109;0:01:11
25;157;1;3.756;74.865;0:01:14
26;164;2;4.370;79.235;0:01:19
27;152;3;4.936;84.171;0:01:24
28;148;1;4.130;88.301;0:01:28
29;149;4;5.201;93.502;0:01:33
30;159;2;4.778;98.28;0:01:38
31;173;3;5.550;103.83;0:01:43
32;171;6;5.508;109.338;0:01:49
33;179;1;4.829;114.167;0:01:54
34;185;9;8.799;122.966;0:02:02
35;170;1;4.768;127.734;0:02:07
36;166;1;2.863;130.597;0:02:10
37;147;1;2.534;133.131;0:02:13
38;156;2;5.173;138.304;0:02:18
39;146;2;5.368;143.672;0:02:23
40;143;1;2.800;146.472;0:02:26
41;141;14;8.351;154.823;0:02:34
42;147;2;5.366;160.189;0:02:40
43;154;5;7.024;167.213;0:02:47
44;155;5;7.641;174.854;0:02:54
45;154;1;3.489;178.343;0:02:58
46;151;3;6.752;185.095;0:03:05
47;147;1;3.134;188.229;0:03:08
48;144;5;4.576;192.805;0:03:12
49;164;4;6.812;199.617;0:03:19
50;158;4;7.289;206.906;0:03:26
51;159;4;7.186;214.092;0:03:34
52;155;2;6.209;220.301;0:03:40
53;156;5;7.556;227.857;0:03:47
54;153;1;3.089;230.946;0:03:50
55;150;4;4.226;235.172;0:03:55
56;156;5;7.610;242.782;0:04:02
57;163;8;9.228;252.01;0:04:12
58;170;1;6.663;258.673;0:04:18
59;184;14;13.180;271.853;0:04:31
60;164;3;4.504;276.357;0:04:36
61;152;2;6.866;283.223;0:04:43
62;149;5;4.629;287.852;0:04:47
63;143;2;6.485;294.337;0:04:54
64;143;5;7.990;302.327;0:05:02
65;149;2;6.406;308.733;0:05:08
66;148;1;6.066;314.799;0:05:14
67;147;2;6.181;320.98;0:05:20
68;144;4;6.859;327.839;0:05:27
69;132;2;5.232;333.071;0:05:33
70;133;3;5.590;338.661;0:05:38
71;134;3;5.807;344.468;0:05:44
72;136;2;5.713;350.181;0:05:50
73;137;4;6.950;357.131;0:05:57
74;135;2;2.814;359.945;0:05:59
75;136;5;6.572;366.517;0:06:06
76;134;1;2.110;368.627;0:06:08
77;142;2;5.358;373.985;0:06:13
78;133;4;6.146;380.131;0:06:20
79;134;13;9.284;389.415;0:06:29
80;141;1;5.133;394.548;0:06:34
81;135;1;5.172;399.72;0:06:39
82;155;1;5.728;405.448;0:06:45
83;155;1;6.449;411.897;0:06:51
84;156;1;6.013;417.91;0:06:57
85;155;3;3.653;421.563;0:07:01
86;156;1;6.175;427.738;0:07:07
87;163;2;6.910;434.648;0:07:14
88;165;1;7.024;441.672;0:07:21
89;163;7;6.034;447.706;0:07:27
90;156;2;7.191;454.897;0:07:34
91;157;1;6.414;461.311;0:07:41
92;156;4;8.056;469.367;0:07:49
93;157;1;6.926;476.293;0:07:56
94;158;1;7.190;483.483;0:08:03
95;178;4;8.710;492.193;0:08:12
96;179;2;8.891;501.084;0:08:21
97;178;6;10.111;511.195;0:08:31
98;192;3;9.455;520.65;0:08:40
99;193;9;11.709;532.359;0:08:52
100;194;3;9.528;541.887;0:09:01
101;210;2;9.719;551.606;0:09:11
102;226;3;10.841;562.447;0:09:22
103;224;4;6.706;569.153;0:09:29
104;224;4;12.174;581.327;0:09:41
105;210;1;9.726;591.053;0:09:51
106;209;1;4.665;595.718;0:09:55
107;210;1;9.730;605.448;0:10:05
108;230;2;11.127;616.575;0:10:16
109;227;3;6.168;622.743;0:10:22
110;228;3;12.000;634.743;0:10:34
111;214;7;7.946;642.689;0:10:42
112;229;7;14.131;656.82;0:10:56
113;241;1;11.974;668.794;0:11:08
114;238;2;12.220;681.014;0:11:21
115;223;8;14.696;695.71;0:11:35
116;224;3;12.384;708.094;0:11:48
117;225;2;11.918;720.012;0:12:00
118;240;11;16.693;736.705;0:12:16
119;239;1;6.140;742.845;0:12:22
120;240;16;20.107;762.952;0:12:42
121;256;2;14.624;777.576;0:12:57
122;273;4;15.315;792.891;0:13:12
123;274;3;16.624;809.515;0:13:29
124;273;1;7.586;817.101;0:13:37
125;274;6;18.165;835.266;0:13:55
126;282;3;17.504;852.77;0:14:12
127;281;4;16.964;869.734;0:14:29
128;294;9;20.388;890.122;0:14:50
129;295;3;18.895;909.017;0:15:09
130;281;3;16.653;925.67;0:15:25
131;268;14;22.087;947.757;0:15:47
132;265;5;9.641;957.398;0:15:57
133;264;4;9.374;966.772;0:16:06
134;266;1;15.608;982.38;0:16:22
135;273;1;16.819;999.199;0:16:39
136;282;1;18.327;1017.526;0:16:57
137;288;1;18.825;1036.351;0:17:16
138;297;2;18.203;1054.554;0:17:34
139;285;1;17.396;1071.95;0:17:51
140;299;1;18.754;1090.704;0:18:10
141;300;4;21.413;1112.117;0:18:32
142;301;11;26.447;1138.564;0:18:58
143;308;3;22.495;1161.059;0:19:21
144;300;5;12.963;1174.022;0:19:34
145;314;4;24.519;1198.541;0:19:58
146;313;3;12.269;1210.81;0:20:10
147;306;1;20.873;1231.683;0:20:31
148;318;4;22.959;1254.642;0:20:54
149;324;1;22.581;1277.223;0:21:17
150;333;2;22.631;1299.854;0:21:39
151;348;13;31.404;1331.258;0:22:11
152;347;1;12.434;1343.692;0:22:23
153;360;3;26.027;1369.719;0:22:49
154;359;1;13.565;1383.284;0:23:03
155;366;14;34.952;1418.236;0:23:38
156;376;1;28.512;1446.748;0:24:06
157;383;4;28.841;1475.589;0:24:35
158;384;3;31.196;1506.785;0:25:06
159;393;4;30.619;1537.404;0:25:37
160;395;2;29.710;1567.114;0:26:07
161;401;8;35.225;1602.339;0:26:42
162;402;1;31.777;1634.116;0:27:14
163;372;2;16.066;1650.182;0:27:30
164;380;1;31.633;1681.815;0:28:01
165;389;5;32.759;1714.574;0:28:34
166;388;4;17.947;1732.521;0:28:52
167;402;8;36.317;1768.838;0:29:28
168;391;6;19.313;1788.151;0:29:48
169;380;3;16.887;1805.038;0:30:05
170;381;2;33.287;1838.325;0:30:38
171;390;2;32.900;1871.225;0:31:11
172;399;3;34.886;1906.111;0:31:46
173;385;2;17.751;1923.862;0:32:03
174;393;6;39.646;1963.508;0:32:43
175;379;10;39.239;2002.747;0:33:22
176;381;6;38.399;2041.146;0:34:01
177;380;7;37.852;2078.998;0:34:38
178;395;3;35.835;2114.833;0:35:14
179;388;6;37.956;2152.789;0:35:52
180;395;4;39.424;2192.213;0:36:32
181;389;21;47.073;2239.286;0:37:19
182;387;2;35.603;2274.889;0:37:54
183;384;12;23.655;2298.544;0:38:18
184;378;6;36.339;2334.883;0:38:54
185;378;2;37.166;2372.049;0:39:32
186;376;1;16.410;2388.459;0:39:48
187;377;5;37.580;2426.039;0:40:26
188;376;5;18.426;2444.465;0:40:44
189;377;4;37.455;2481.92;0:41:21
190;368;3;34.625;2516.545;0:41:56
191;367;2;16.112;2532.657;0:42:12
192;368;29;50.055;2582.712;0:43:02
193;380;5;38.638;2621.35;0:43:41
194;389;4;37.032;2658.382;0:44:18
195;396;10;41.670;2700.052;0:45:00
196;397;5;42.844;2742.896;0:45:42
197;383;7;40.372;2783.268;0:46:23
198;374;5;38.066;2821.334;0:47:01
199;381;6;40.865;2862.199;0:47:42
200;383;5;39.281;2901.48;0:48:21
201;381;4;19.915;2921.395;0:48:41
202;395;7;42.606;2964.001;0:49:24
203;383;4;38.827;3002.828;0:50:02
204;384;11;45.193;3048.021;0:50:48
205;382;3;19.229;3067.25;0:51:07
206;381;4;19.998;3087.248;0:51:27
207;387;2;42.639;3129.887;0:52:09
208;386;9;25.773;3155.66;0:52:35
209;399;2;41.368;3197.028;0:53:17
210;393;12;47.185;3244.213;0:54:04
211;390;8;22.239;3266.452;0:54:26
212;388;10;22.915;3289.367;0:54:49
213;389;12;48.287;3337.654;0:55:37
214;390;1;39.573;3377.227;0:56:17
215;398;3;41.053;3418.28;0:56:58
216;397;14;25.996;3444.276;0:57:24
217;403;20;51.945;3496.221;0:58:16
218;412;7;45.530;3541.751;0:59:01
219;411;2;19.915;3561.666;0:59:21
220;403;5;44.314;3605.98;1:00:05
221;403;4;45.443;3651.423;1:00:51
222;409;1;41.877;3693.3;1:01:33
223;408;13;26.862;3720.162;1:02:00
224;415;3;45.509;3765.671;1:02:45
225;424;2;43.954;3809.625;1:03:29
226;430;3;47.517;3857.142;1:04:17
227;420;33;63.467;3920.609;1:05:20
228;428;10;51.476;3972.085;1:06:12
229;417;14;28.392;4000.477;1:06:40
230;404;2;46.529;4047.006;1:07:27
231;419;13;50.767;4097.773;1:08:17
232;407;1;19.838;4117.611;1:08:37
233;415;4;48.935;4166.546;1:09:26
234;402;5;22.235;4188.781;1:09:48
235;416;2;48.845;4237.626;1:10:37
236;415;3;21.585;4259.211;1:10:59
237;417;7;53.460;4312.671;1:11:52
238;415;38;43.351;4356.022;1:12:36
239;424;6;51.119;4407.141;1:13:27
240;415;6;51.225;4458.366;1:14:18
241;408;3;48.570;4506.936;1:15:06
242;409;4;52.961;4559.897;1:15:59
243;418;1;48.535;4608.432;1:16:48
244;417;1;21.395;4629.827;1:17:09
245;418;26;67.634;4697.461;1:18:17
246;425;2;54.254;4751.715;1:19:11
247;418;9;58.315;4810.03;1:20:10
248;414;1;53.405;4863.435;1:21:03
249;414;25;68.264;4931.699;1:22:11
