ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;2;1.145;1.145;0:00:01
2;116;1;1.033;2.178;0:00:02
3;118;1;0.794;2.972;0:00:02
4;91;2;0.566;3.538;0:00:03
5;88;1;0.546;4.084;0:00:04
6;94;13;5.598;9.682;0:00:09
7;108;5;2.807;12.489;0:00:12
8;109;1;1.473;13.962;0:00:13
9;137;2;2.234;16.196;0:00:16
10;138;1;2.229;18.425;0:00:18
11;112;1;1.482;19.907;0:00:19
12;110;27;11.151;31.058;0:00:31
13;111;1;1.943;33.001;0:00:33
14;112;2;2.332;35.333;0:00:35
15;132;2;2.867;38.2;0:00:38
16;133;6;4.758;42.958;0:00:42
17;130;1;1.843;44.801;0:00:44
18;146;1;2.800;47.601;0:00:47
19;153;1;3.183;50.784;0:00:50
20;159;1;3.306;54.09;0:00:54
21;160;1;3.409;57.499;0:00:57
22;156;1;3.592;61.091;0:01:01
23;157;3;4.484;65.575;0:01:05
24;179;3;5.141;70.716;0:01:10
25;180;5;6.305;77.021;0:01:17
26;161;3;3.978;80.999;0:01:20
27;185;4;5.895;86.894;0:01:26
28;186;1;4.598;91.492;0:01:31
29;184;4;4.441;95.933;0:01:35
30;183;7;7.610;103.543;0:01:43
31;181;2;3.314;106.857;0:01:46
32;159;3;3.265;110.122;0:01:50
33;181;2;5.114;115.236;0:01:55
34;190;3;6.258;121.494;0:02:01
35;197;1;5.678;127.172;0:02:07
36;178;1;5.646;132.818;0:02:12
37;158;2;5.776;138.594;0:02:18
38;159;5;6.664;145.258;0:02:25
39;165;2;5.955;151.213;0:02:31
40;161;3;4.036;155.249;0:02:35
41;174;1;5.504;160.753;0:02:40
42;172;1;3.377;164.13;0:02:44
43;170;3;4.250;168.38;0:02:48
44;176;4;7.102;175.482;0:02:55
45;198;3;7.540;183.022;0:03:03
46;212;1;7.137;190.159;0:03:10
47;210;1;4.119;194.278;0:03:14
48;225;4;9.380;203.658;0:03:23
49;226;9;12.491;216.149;0:03:36
50;226;1;8.984;225.133;0:03:45
51;241;12;14.772;239.905;0:03:59
52;220;3;10.095;250.0;0:04:10
53;219;1;5.123;255.123;0:04:15
54;207;2;9.428;264.551;0:04:24
55;185;4;9.560;274.111;0:04:34
56;173;2;8.022;282.133;0:04:42
57;183;4;9.171;291.304;0:04:51
58;197;1;8.083;299.387;0:04:59
59;175;5;6.297;305.684;0:05:05
60;188;3;9.219;314.903;0:05:14
61;187;18;12.307;327.21;0:05:27
62;184;4;5.624;332.834;0:05:32
63;194;3;8.921;341.755;0:05:41
64;195;7;10.773;352.528;0:05:52
65;196;8;11.397;363.925;0:06:03
66;197;4;9.759;373.684;0:06:13
67;199;3;9.641;383.325;0:06:23
68;208;4;10.652;393.977;0:06:33
69;216;1;9.724;403.701;0:06:43
70;225;8;12.858;416.559;0:06:56
71;226;1;10.649;427.208;0:07:07
72;207;1;5.128;432.336;0:07:12
73;206;3;5.884;438.22;0:07:18
74;202;10;9.010;447.23;0:07:27
75;214;3;11.554;458.784;0:07:38
76;209;1;5.060;463.844;0:07:43
77;210;6;13.433;477.277;0:07:57
78;209;4;6.989;484.266;0:08:04
79;216;2;11.753;496.019;0:08:16
80;217;3;12.744;508.763;0:08:28
81;225;8;15.654;524.417;0:08:44
82;232;22;22.570;546.987;0:09:06
83;239;1;13.170;560.157;0:09:20
84;245;3;14.604;574.761;0:09:34
85;246;13;19.929;594.69;0:09:54
86;242;2;7.526;602.216;0:10:02
87;250;3;14.017;616.233;0:10:16
88;249;3;7.274;623.507;0:10:23
89;255;2;14.153;637.66;0:10:37
90;261;10;18.051;655.711;0:10:55
91;260;8;16.870;672.581;0:11:12
92;269;2;14.132;686.713;0:11:26
93;279;4;15.607;702.32;0:11:42
94;286;1;14.955;717.275;0:11:57
95;275;5;9.686;726.961;0:12:06
96;276;3;16.053;743.014;0:12:23
97;275;6;17.944;760.958;0:12:40
98;258;1;14.305;775.263;0:12:55
99;259;8;18.016;793.279;0:13:13
100;260;3;15.765;809.044;0:13:29
101;261;7;18.040;827.084;0:13:47
102;271;6;17.756;844.84;0:14:04
103;286;2;16.260;861.1;0:14:21
104;285;5;18.199;879.299;0:14:39
105;271;10;19.982;899.281;0:14:59
106;279;6;18.800;918.081;0:15:18
107;280;2;16.584;934.665;0:15:34
