ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;5.515;5.515;0:00:05
2;116;1;2.617;8.132;0:00:08
3;91;3;3.185;11.317;0:00:11
4;92;3;3.813;15.13;0:00:15
5;87;1;1.090;16.22;0:00:16
6;94;3;3.350;19.57;0:00:19
7;109;2;3.047;22.617;0:00:22
8;123;1;3.040;25.657;0:00:25
9;124;1;3.077;28.734;0:00:28
10;113;5;6.512;35.246;0:00:35
11;114;2;4.704;39.95;0:00:39
12;110;5;5.430;45.38;0:00:45
13;111;6;6.913;52.293;0:00:52
14;118;1;2.954;55.247;0:00:55
15;138;4;6.172;61.419;0:01:01
16;162;1;3.953;65.372;0:01:05
17;178;1;5.728;71.1;0:01:11
18;193;2;5.842;76.942;0:01:16
19;194;1;4.296;81.238;0:01:21
20;208;3;7.082;88.32;0:01:28
21;230;1;5.429;93.749;0:01:33
22;238;3;8.474;102.223;0:01:42
23;244;1;5.763;107.986;0:01:47
24;222;1;4.038;112.024;0:01:52
25;200;6;8.174;120.198;0:02:00
26;180;2;4.011;124.209;0:02:04
27;178;1;3.007;127.216;0:02:07
28;187;1;5.235;132.451;0:02:12
29;201;6;10.526;142.977;0:02:22
30;214;2;7.568;150.545;0:02:30
31;229;5;10.208;160.753;0:02:40
32;218;4;11.990;172.743;0:02:52
33;199;4;7.134;179.877;0:02:59
34;179;2;4.967;184.844;0:03:04
35;180;3;8.289;193.133;0:03:13
36;178;1;4.066;197.199;0:03:17
37;174;5;7.488;204.687;0:03:24
38;173;2;4.518;209.205;0:03:29
39;174;3;9.615;218.82;0:03:38
40;172;5;11.762;230.582;0:03:50
41;180;1;7.420;238.002;0:03:58
42;194;1;8.561;246.563;0:04:06
43;214;2;8.820;255.383;0:04:15
44;211;2;5.227;260.61;0:04:20
45;198;1;7.640;268.25;0:04:28
46;179;4;6.606;274.856;0:04:34
47;186;3;8.968;283.824;0:04:43
48;185;1;4.100;287.924;0:04:47
49;184;1;3.985;291.909;0:04:51
50;181;2;4.777;296.686;0:04:56
51;196;5;11.354;308.04;0:05:08
52;211;1;8.592;316.632;0:05:16
53;204;7;14.921;331.553;0:05:31
54;205;2;11.228;342.781;0:05:42
55;192;11;18.792;361.573;0:06:01
56;192;4;13.996;375.569;0:06:15
57;207;3;13.314;388.883;0:06:28
58;207;5;14.849;403.732;0:06:43
59;209;3;14.565;418.297;0:06:58
60;209;3;12.079;430.376;0:07:10
61;215;1;11.757;442.133;0:07:22
62;214;3;7.194;449.327;0:07:29
63;199;2;10.916;460.243;0:07:40
64;197;4;7.685;467.928;0:07:47
65;195;2;5.083;473.011;0:07:53
66;196;1;8.120;481.131;0:08:01
67;210;11;18.854;499.985;0:08:19
68;225;8;15.858;515.843;0:08:35
69;223;1;4.863;520.706;0:08:40
70;224;1;12.504;533.21;0:08:53
71;212;3;12.043;545.253;0:09:05
72;229;1;13.856;559.109;0:09:19
73;238;6;15.905;575.014;0:09:35
74;238;10;20.716;595.73;0:09:55
75;226;2;12.560;608.29;0:10:08
76;225;5;9.936;618.226;0:10:18
77;212;10;19.729;637.955;0:10:37
78;209;2;6.129;644.084;0:10:44
79;211;2;11.458;655.542;0:10:55
80;207;1;4.984;660.526;0:11:00
81;214;3;12.388;672.914;0:11:12
82;213;3;6.960;679.874;0:11:19
83;214;1;10.563;690.437;0:11:30
84;229;7;17.372;707.809;0:11:47
85;221;2;13.233;721.042;0:12:01
86;221;2;13.210;734.252;0:12:14
87;235;1;13.102;747.354;0:12:27
88;232;7;11.601;758.955;0:12:38
89;233;3;14.127;773.082;0:12:53
90;234;3;14.173;787.255;0:13:07
91;215;1;5.826;793.081;0:13:13
92;202;3;13.703;806.784;0:13:26
93;202;2;15.703;822.487;0:13:42
94;211;1;11.773;834.26;0:13:54
95;209;7;11.149;845.409;0:14:05
96;221;2;14.128;859.537;0:14:19
97;219;2;13.824;873.361;0:14:33
98;218;3;7.607;880.968;0:14:40
99;233;1;12.996;893.964;0:14:53
100;249;12;24.741;918.705;0:15:18
101;236;1;14.649;933.354;0:15:33
102;220;2;14.649;948.003;0:15:48
103;219;1;5.697;953.7;0:15:53
104;217;3;7.147;960.847;0:16:00
105;216;3;6.958;967.805;0:16:07
106;217;8;20.606;988.411;0:16:28
107;226;5;16.300;1004.711;0:16:44
108;235;9;24.093;1028.804;0:17:08
109;232;10;14.312;1043.116;0:17:23
110;234;8;20.961;1064.077;0:17:44
111;225;4;15.606;1079.683;0:17:59
112;205;1;4.261;1083.944;0:18:03
113;214;8;18.755;1102.699;0:18:22
114;223;3;14.453;1117.152;0:18:37
115;237;13;25.467;1142.619;0:19:02
116;238;4;19.417;1162.036;0:19:22
117;236;5;9.291;1171.327;0:19:31
118;237;5;17.988;1189.315;0:19:49
119;244;2;15.976;1205.291;0:20:05
120;237;8;22.332;1227.623;0:20:27
121;238;9;23.269;1250.892;0:20:50
122;258;1;17.201;1268.093;0:21:08
123;257;9;15.088;1283.181;0:21:23
124;273;1;18.046;1301.227;0:21:41
125;252;9;15.565;1316.792;0:21:56
126;258;11;28.521;1345.313;0:22:25
127;255;13;19.234;1364.547;0:22:44
128;241;1;6.315;1370.862;0:22:50
129;240;4;9.570;1380.432;0:23:00
130;260;2;18.400;1398.832;0:23:18
131;268;10;27.254;1426.086;0:23:46
132;268;2;22.928;1449.014;0:24:09
133;253;22;39.486;1488.5;0:24:48
134;252;5;10.344;1498.844;0:24:58
135;259;12;27.234;1526.078;0:25:26
136;240;37;42.522;1568.6;0:26:08
137;249;5;20.943;1589.543;0:26:29
138;247;5;10.141;1599.684;0:26:39
139;246;10;15.169;1614.853;0:26:54
140;253;3;19.166;1634.019;0:27:14
141;254;19;39.549;1673.568;0:27:53
142;260;15;33.119;1706.687;0:28:26
143;261;10;30.629;1737.316;0:28:57
144;276;4;22.689;1760.005;0:29:20
145;275;4;10.599;1770.604;0:29:30
146;277;50;73.401;1844.005;0:30:44
147;269;4;24.276;1868.281;0:31:08
148;271;8;28.777;1897.058;0:31:37
149;270;4;10.910;1907.968;0:31:47
150;279;7;27.911;1935.879;0:32:15
151;288;5;26.616;1962.495;0:32:42
152;288;1;22.106;1984.601;0:33:04
153;301;14;36.199;2020.8;0:33:40
154;302;3;29.571;2050.371;0:34:10
155;302;8;35.989;2086.36;0:34:46
156;316;2;30.659;2117.019;0:35:17
157;315;5;14.334;2131.353;0:35:31
158;316;1;25.029;2156.382;0:35:56
159;310;9;34.366;2190.748;0:36:30
160;319;20;45.910;2236.658;0:37:16
161;317;5;14.932;2251.59;0:37:31
162;311;2;28.254;2279.844;0:37:59
163;310;3;12.613;2292.457;0:38:12
164;311;5;30.093;2322.55;0:38:42
165;310;2;11.521;2334.071;0:38:54
166;310;2;27.892;2361.963;0:39:21
167;312;3;28.993;2390.956;0:39:50
168;321;3;29.201;2420.157;0:40:20
169;330;10;37.862;2458.019;0:40:58
170;337;2;30.281;2488.3;0:41:28
171;328;4;32.913;2521.213;0:42:01
172;314;4;14.227;2535.44;0:42:15
173;323;10;38.219;2573.659;0:42:53
174;338;12;42.258;2615.917;0:43:35
175;347;2;32.859;2648.776;0:44:08
176;346;12;25.238;2674.014;0:44:34
177;347;6;38.006;2712.02;0:45:12
178;348;1;32.897;2744.917;0:45:44
179;357;4;38.599;2783.516;0:46:23
180;357;8;45.031;2828.547;0:47:08
181;363;15;50.337;2878.884;0:47:58
182;372;5;40.960;2919.844;0:48:39
183;379;7;43.623;2963.467;0:49:23
184;379;2;39.758;3003.225;0:50:03
185;364;3;39.884;3043.109;0:50:43
186;379;14;51.893;3095.002;0:51:35
187;385;35;76.802;3171.804;0:52:51
188;394;15;58.745;3230.549;0:53:50
189;403;10;51.079;3281.628;0:54:41
190;390;9;26.991;3308.619;0:55:08
191;382;1;41.035;3349.654;0:55:49
192;368;22;40.312;3389.966;0:56:29
193;374;23;65.257;3455.223;0:57:35
194;373;17;34.674;3489.897;0:58:09
195;388;6;46.156;3536.053;0:58:56
196;397;3;44.234;3580.287;0:59:40
197;397;5;47.759;3628.046;1:00:28
198;389;3;45.173;3673.219;1:01:13
199;383;14;60.902;3734.121;1:02:14
200;380;31;49.677;3783.798;1:03:03
