COUNT;HORN RULES (filtered)
57/72;kvinne & elektriker ---> FALSE
44/72;kvinne & rørlegger ---> FALSE
33/72;kvinne & advokat ---> FALSE
29/72;fotograf & kvinne ---> FALSE
28/72;mann & modell ---> FALSE
26/72;sykepleier & mann ---> FALSE
17/72;forfatter & kvinne ---> FALSE
11/72;frisør & Australia & mann ---> FALSE
10/72;frisør & Europa & mann ---> FALSE
10/72;frisør & mann ---> FALSE
9/72;sykepleier & kvinne ---> FALSE
9/72;frisør & kvinne ---> FALSE
8/72;Kristiansand & mann & modell ---> FALSE
8/72;kvinne & mellom 40 og 50 & advokat ---> FALSE
8/72;mellom 30 og 40 & kvinne & advokat ---> FALSE
7/72;frisør & Asia & mann ---> FALSE
7/72;frisør & Afrika & mann ---> FALSE
7/72;fotograf & kvinne & mellom 40 og 50 ---> FALSE
7/72;forfatter & mann ---> FALSE
6/72;fotograf & kvinne & mellom 50 og 60 ---> FALSE
6/72;yngre enn 20 & fotograf & kvinne ---> FALSE
6/72;kvinne & modell ---> FALSE
6/72;mellom 20 og 30 & kvinne & advokat ---> FALSE
6/72;fotograf & kvinne & eldre enn 60 ---> FALSE
5/72;frisør & Sør Amerika & mann ---> FALSE
5/72;frisør & Kristiansand & mann ---> FALSE
5/72;frisør & Stavanger & mann ---> FALSE
5/72;forfatter & kvinne & eldre enn 60 ---> FALSE
5/72;kvinne & eldre enn 60 & advokat ---> FALSE
5/72;mellom 20 og 30 & forfatter ---> kvinne
5/72;Kristiansand & kvinne & mellom 40 og 50 ---> FALSE
5/72;yngre enn 20 & kvinne & elektriker ---> FALSE
5/72;yngre enn 20 & kvinne & rørlegger ---> FALSE
5/72;mellom 20 og 30 & fotograf & kvinne ---> FALSE
4/72;frisør & Oslo & mann ---> FALSE
4/72;mellom 20 og 30 & Oslo ---> kvinne
4/72;kvinne & rørlegger ---> Afrika
4/72;kvinne & rørlegger ---> Kristiansand
4/72;kvinne & eldre enn 60 ---> sykepleier
4/72;sykepleier & mann & mellom 40 og 50 ---> FALSE
4/72;kvinne & eldre enn 60 ---> modell
4/72;kvinne & rørlegger ---> Stavanger
4/72;Oslo & mann & modell ---> FALSE
4/72;fotograf & mellom 30 og 40 & kvinne ---> FALSE
4/72;sykepleier & mellom 30 og 40 & mann ---> FALSE
4/72;frisør & mann ---> Afrika
4/72;Sør Amerika & kvinne & advokat ---> FALSE
4/72;kvinne & mellom 40 og 50 & rørlegger ---> FALSE
4/72;yngre enn 20 & kvinne & advokat ---> FALSE
4/72;Sør Amerika & mann & modell ---> FALSE
4/72;Australia & mann & modell ---> FALSE
4/72;frisør & Nord Amerika & mann ---> FALSE
3/72;Bodø & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
3/72;Stavanger & mellom 30 og 40 & Australia & kvinne ---> FALSE
3/72;Tromsø & kvinne & mellom 50 og 60 ---> modell
3/72;frisør & mellom 30 og 40 & mann ---> FALSE
3/72;mellom 20 og 30 & frisør & mann ---> FALSE
3/72;Stavanger & Asia & kvinne ---> FALSE
3/72;Sør Amerika & mellom 40 og 50 ---> kvinne
3/72;Stavanger & Nord Amerika & kvinne & eldre enn 60 ---> FALSE
3/72;Stavanger & kvinne & mellom 40 og 50 ---> frisør
3/72;yngre enn 20 & Australia & kvinne ---> FALSE
3/72;yngre enn 20 & Bergen & kvinne ---> FALSE
3/72;Asia & kvinne & eldre enn 60 ---> frisør
3/72;Bergen & Nord Amerika & kvinne ---> modell
3/72;Tromsø & kvinne & mellom 40 og 50 ---> modell
3/72;frisør & Ålesund & mann ---> FALSE
3/72;yngre enn 20 & Ålesund & kvinne ---> FALSE
3/72;forfatter & Bergen & kvinne ---> FALSE
3/72;mellom 20 og 30 & Bergen & Sør Amerika & kvinne ---> FALSE
3/72;Nord Amerika & kvinne & mellom 50 og 60 ---> sykepleier
3/72;Stavanger & kvinne & advokat ---> FALSE
3/72;kvinne & mellom 50 og 60 & advokat ---> FALSE
3/72;Ålesund & kvinne & advokat ---> FALSE
3/72;kvinne & eldre enn 60 ---> FALSE
3/72;mann & modell ---> eldre enn 60
3/72;mellom 20 og 30 & Stavanger ---> kvinne
3/72;Europa & mann & modell ---> FALSE
3/72;sykepleier & Kristiansand & mann ---> FALSE
3/72;Australia & mann & modell ---> eldre enn 60
3/72;Australia & kvinne & mellom 40 og 50 ---> FALSE
3/72;fotograf & Tromsø & kvinne ---> FALSE
3/72;mellom 30 og 40 & Australia & kvinne ---> modell
3/72;forfatter & Europa & mann ---> FALSE
3/72;mellom 20 og 30 & sykepleier & mann ---> FALSE
3/72;sykepleier & Trondheim & mann ---> FALSE
3/72;sykepleier & mann & mellom 50 og 60 ---> FALSE
3/72;forfatter & Tromsø & mann ---> FALSE
3/72;frisør & Tromsø & mann ---> eldre enn 60
3/72;frisør & mellom 30 og 40 ---> kvinne
3/72;Stavanger & Asia & kvinne & mellom 50 og 60 ---> FALSE
3/72;sykepleier & mellom 40 og 50 ---> kvinne
3/72;mellom 30 og 40 & Afrika ---> mann
3/72;kvinne & mellom 50 og 60 ---> Nord Amerika
3/72;kvinne & mellom 50 og 60 ---> modell
3/72;forfatter & mann & eldre enn 60 ---> FALSE
3/72;fotograf & Afrika ---> mann
3/72;frisør & mann ---> yngre enn 20
3/72;Stavanger & mellom 30 og 40 & kvinne ---> FALSE
3/72;Sør Amerika & kvinne & elektriker ---> FALSE
3/72;Asia & mann & modell ---> FALSE
3/72;Tromsø & kvinne & rørlegger ---> FALSE
3/72;Afrika & mann & modell ---> FALSE
3/72;Europa & modell ---> kvinne
3/72;mann & mellom 40 og 50 & modell ---> FALSE
3/72;mellom 20 og 30 & kvinne ---> modell
3/72;Ålesund & kvinne ---> modell
3/72;sykepleier & Afrika & mann ---> FALSE
3/72;mellom 30 og 40 & mann & modell ---> FALSE
3/72;sykepleier & Australia & mann ---> Bergen
3/72;sykepleier & Australia & mann ---> eldre enn 60
2/72;frisør & Australia & mann ---> mellom 50 og 60
2/72;frisør & Nord Amerika & mann ---> yngre enn 20
2/72;frisør & Tromsø & mann ---> Nord Amerika
2/72;yngre enn 20 & frisør & mann ---> FALSE
2/72;Afrika & kvinne & eldre enn 60 ---> modell
2/72;Asia & kvinne & mellom 50 og 60 ---> modell
2/72;Bergen & kvinne & mellom 50 og 60 ---> modell
2/72;Kristiansand & Australia ---> mann
2/72;Kristiansand & mellom 30 og 40 & kvinne ---> modell
2/72;Stavanger & mellom 30 og 40 & Europa & kvinne ---> modell
2/72;Sør Amerika & eldre enn 60 ---> mann
2/72;frisør & mann & eldre enn 60 ---> Tromsø
2/72;Bergen & Nord Amerika & kvinne ---> FALSE
2/72;Kristiansand & Afrika & kvinne & mellom 40 og 50 ---> FALSE
2/72;Oslo & mellom 30 og 40 & kvinne ---> FALSE
2/72;Trondheim & mellom 30 og 40 & Afrika & kvinne ---> FALSE
2/72;frisør & Bergen & Australia & mann ---> FALSE
2/72;Sør Amerika & kvinne & mellom 40 og 50 ---> frisør
2/72;frisør & Bodø & mann ---> FALSE
2/72;mellom 20 og 30 & Stavanger & Afrika & kvinne ---> FALSE
2/72;Bergen & Afrika & kvinne ---> frisør
2/72;yngre enn 20 & Asia & kvinne ---> frisør
2/72;Ålesund & Nord Amerika & kvinne ---> yngre enn 20
2/72;Bergen & Australia & kvinne ---> FALSE
2/72;frisør & mann & mellom 40 og 50 ---> FALSE
2/72;Kristiansand & Australia & kvinne ---> modell
2/72;Kristiansand & kvinne & eldre enn 60 ---> frisør
