COUNT;HORN RULES (filtered)
6/10;kvinne & elektriker ---> FALSE
6/10;kvinne & rørlegger ---> Stavanger
5/10;kvinne & modell ---> FALSE
5/10;sykepleier & Bergen & mann ---> FALSE
4/10;kvinne & rørlegger ---> Nord Amerika
4/10;forfatter & Trondheim & mann ---> FALSE
4/10;frisør & Tromsø & mann ---> Australia
4/10;frisør & Tromsø & mann ---> eldre enn 60
3/10;kvinne & rørlegger ---> mellom 40 og 50
3/10;Australia & eldre enn 60 ---> mann
3/10;Stavanger & Sør Amerika ---> elektriker
3/10;Stavanger & Sør Amerika ---> mann
3/10;forfatter & Oslo ---> mann
3/10;forfatter & Tromsø & mann ---> Nord Amerika
3/10;forfatter & Tromsø & mann ---> eldre enn 60
3/10;fotograf & Nord Amerika ---> kvinne
3/10;fotograf & mellom 40 og 50 ---> Afrika
3/10;fotograf & mellom 40 og 50 ---> Stavanger
3/10;fotograf & mellom 40 og 50 ---> kvinne
3/10;fotograf & Ålesund ---> kvinne
3/10;frisør & Bergen ---> kvinne
3/10;frisør & Tromsø ---> kvinne
3/10;frisør & Trondheim ---> Asia
3/10;frisør & Trondheim ---> mann
3/10;frisør & Trondheim ---> yngre enn 20
3/10;frisør & mellom 40 og 50 ---> kvinne
3/10;kvinne & elektriker ---> Nord Amerika
3/10;kvinne & elektriker ---> Stavanger
3/10;kvinne & elektriker ---> mellom 20 og 30
3/10;mellom 30 og 40 & Europa & kvinne ---> frisør
3/10;sykepleier & mann & mellom 40 og 50 ---> Asia
3/10;yngre enn 20 & Sør Amerika & kvinne ---> Tromsø
3/10;yngre enn 20 & Sør Amerika & kvinne ---> fotograf
3/10;Afrika & kvinne & eldre enn 60 ---> FALSE
3/10;Asia & kvinne & modell ---> FALSE
3/10;Europa & mellom 40 og 50 ---> FALSE
3/10;Nord Amerika & kvinne & modell ---> FALSE
3/10;Oslo & Afrika & kvinne ---> FALSE
3/10;Oslo & advokat ---> FALSE
3/10;Tromsø & kvinne & advokat ---> FALSE
3/10;fotograf & Oslo & mann ---> FALSE
3/10;frisør & Oslo & Europa & kvinne & eldre enn 60 ---> FALSE
3/10;frisør & Ålesund & mann & mellom 50 og 60 ---> FALSE
3/10;kvinne & mellom 40 og 50 & advokat ---> FALSE
3/10;kvinne & mellom 50 og 60 & modell ---> FALSE
3/10;mellom 20 og 30 & Stavanger & mann & rørlegger ---> FALSE
3/10;mellom 20 og 30 & Sør Amerika & kvinne ---> FALSE
3/10;mellom 20 og 30 & Tromsø & Afrika & kvinne & modell ---> FALSE
3/10;mellom 20 og 30 & sykepleier & Tromsø & Asia & mann ---> FALSE
3/10;mellom 30 og 40 & kvinne & advokat ---> FALSE
3/10;sykepleier & Stavanger & mann ---> FALSE
3/10;sykepleier & Trondheim & mann ---> FALSE
3/10;sykepleier & mellom 30 og 40 & mann ---> FALSE
3/10;Ålesund & Europa & kvinne ---> FALSE
3/10;Ålesund & Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
3/10;Ålesund & kvinne & advokat ---> FALSE
2/10;Afrika & mellom 50 og 60 ---> advokat
2/10;Afrika & mellom 50 og 60 ---> mann
2/10;Bodø & Asia ---> mann
2/10;Bodø & Asia ---> mellom 30 og 40
2/10;Bodø & Asia ---> modell
2/10;Tromsø & Afrika & kvinne ---> frisør
2/10;Tromsø & Afrika & kvinne ---> mellom 30 og 40
2/10;forfatter & Bodø & mann ---> Afrika
2/10;forfatter & Bodø & mann ---> eldre enn 60
2/10;forfatter & Kristiansand ---> Afrika
2/10;forfatter & Kristiansand ---> kvinne
2/10;forfatter & Kristiansand ---> mellom 20 og 30
2/10;fotograf & Nord Amerika & mann ---> Trondheim
2/10;frisør & Bergen ---> mann
2/10;frisør & mellom 30 og 40 ---> Afrika
2/10;frisør & mellom 30 og 40 ---> Tromsø
2/10;frisør & mellom 30 og 40 ---> kvinne
2/10;kvinne & rørlegger ---> Afrika
2/10;mellom 20 og 30 & Oslo ---> Asia
2/10;mellom 20 og 30 & Oslo ---> kvinne
2/10;mellom 20 og 30 & Oslo ---> sykepleier
2/10;yngre enn 20 & fotograf ---> mann
2/10;Europa & kvinne & eldre enn 60 ---> FALSE
2/10;Kristiansand & mellom 40 og 50 ---> FALSE
2/10;Stavanger & Australia & kvinne & mellom 50 og 60 & advokat ---> FALSE
2/10;forfatter & mellom 30 og 40 & Tromsø & Australia & mann ---> FALSE
2/10;forfatter & Ålesund & Sør Amerika & mann & mellom 40 og 50 ---> FALSE
2/10;fotograf & Australia & mann ---> FALSE
2/10;fotograf & Europa & mann ---> FALSE
2/10;fotograf & Kristiansand & mann ---> FALSE
2/10;frisør & Bodø & mann ---> FALSE
2/10;frisør & Ålesund & Sør Amerika & mann & mellom 50 og 60 ---> FALSE
2/10;mellom 20 og 30 & forfatter & Trondheim & mann ---> FALSE
2/10;mellom 20 og 30 & sykepleier & Stavanger & Afrika & mann ---> FALSE
2/10;sykepleier & Kristiansand & mellom 30 og 40 & Asia & mann ---> FALSE
2/10;sykepleier & Ålesund & mann ---> FALSE
2/10;yngre enn 20 & frisør & Stavanger & Afrika & mann ---> FALSE
2/10;yngre enn 20 & sykepleier & Oslo & Asia & mann ---> FALSE
2/10;Bergen & kvinne ---> mellom 20 og 30
2/10;Kristiansand & kvinne & eldre enn 60 ---> Nord Amerika
2/10;Kristiansand & kvinne & eldre enn 60 ---> sykepleier
2/10;frisør & Afrika ---> Kristiansand
2/10;frisør & Afrika ---> kvinne
2/10;frisør & Afrika ---> mellom 20 og 30
2/10;frisør & Bergen & mann ---> Sør Amerika
2/10;frisør & Nord Amerika ---> Oslo
2/10;frisør & Nord Amerika ---> kvinne
2/10;frisør & Nord Amerika ---> mellom 40 og 50
2/10;kvinne & advokat ---> Australia
2/10;kvinne & advokat ---> Stavanger
2/10;kvinne & advokat ---> mellom 20 og 30
2/10;yngre enn 20 & Afrika ---> mann
2/10;yngre enn 20 & kvinne ---> Australia
2/10;yngre enn 20 & kvinne ---> Kristiansand
2/10;yngre enn 20 & kvinne ---> frisør
2/10;Bodø & Nord Amerika ---> FALSE
2/10;Kristiansand & mellom 30 og 40 & Australia & mann & rørlegger ---> FALSE
2/10;Oslo & Nord Amerika & mann & advokat ---> FALSE
2/10;Stavanger & Asia & kvinne & mellom 50 og 60 ---> FALSE
2/10;Stavanger & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
2/10;forfatter & Bergen & Europa & mann ---> FALSE
2/10;forfatter & Kristiansand & mann ---> FALSE
2/10;forfatter & Trondheim & mann & mellom 50 og 60 ---> FALSE
