COUNT;HORN RULES (filtered)
3/3;kvinne & elektriker ---> FALSE
2/3;kvinne & eldre enn 60 ---> FALSE
2/3;yngre enn 20 & kvinne ---> FALSE
2/3;mann & modell ---> Australia
2/3;mann & modell ---> eldre enn 60
2/3;kvinne & advokat ---> FALSE
1/3;Bodø & Nord Amerika & kvinne ---> mellom 40 og 50
1/3;Bodø & Nord Amerika & kvinne ---> sykepleier
1/3;Kristiansand & Afrika & mann ---> eldre enn 60
1/3;Oslo & kvinne ---> sykepleier
1/3;Asia & mellom 40 og 50 ---> FALSE
1/3;Tromsø & Europa & mann & modell ---> FALSE
1/3;Trondheim & mellom 30 og 40 ---> FALSE
1/3;fotograf & Tromsø & Afrika & mann ---> FALSE
1/3;mellom 20 og 30 & frisør & Ålesund & Sør Amerika & kvinne ---> FALSE
1/3;kvinne & rørlegger ---> Afrika
1/3;kvinne & rørlegger ---> Kristiansand
1/3;kvinne & rørlegger ---> mellom 50 og 60
1/3;mann & modell ---> Bergen
1/3;sykepleier & mann ---> eldre enn 60
1/3;Ålesund & kvinne & mellom 40 og 50 ---> Nord Amerika
1/3;Ålesund & kvinne & mellom 40 og 50 ---> modell
1/3;Trondheim & mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
1/3;frisør & kvinne ---> FALSE
1/3;mellom 20 og 30 & Bergen & Sør Amerika & kvinne ---> FALSE
1/3;mellom 20 og 30 & Trondheim & Europa & kvinne ---> FALSE
1/3;Nord Amerika & kvinne & mellom 50 og 60 & modell ---> Tromsø
1/3;frisør ---> mann
1/3;kvinne & eldre enn 60 ---> Asia
1/3;kvinne & eldre enn 60 ---> Kristiansand
1/3;kvinne & eldre enn 60 ---> sykepleier
1/3;mann & modell ---> Tromsø
1/3;mellom 20 og 30 & Stavanger ---> Australia
1/3;mellom 20 og 30 & Stavanger ---> kvinne
1/3;mellom 20 og 30 & Stavanger ---> sykepleier
1/3;mellom 30 og 40 & kvinne ---> Europa
1/3;yngre enn 20 & kvinne ---> Kristiansand
1/3;yngre enn 20 & kvinne ---> Sør Amerika
1/3;yngre enn 20 & kvinne ---> modell
1/3;Oslo & Afrika & kvinne & mellom 40 og 50 ---> FALSE
1/3;forfatter & Sør Amerika & mann ---> FALSE
1/3;mellom 20 og 30 & forfatter & Bodø & Asia & mann ---> FALSE
1/3;mellom 20 og 30 & forfatter & Trondheim & Afrika & mann ---> FALSE
1/3;sykepleier & mann ---> FALSE
