COUNT;HORN RULES (filtered)
10/10;kvinne & elektriker ---> FALSE
9/10;kvinne & advokat ---> FALSE
6/10;kvinne & eldre enn 60 ---> sykepleier
5/10;mellom 20 og 30 & forfatter ---> kvinne
5/10;sykepleier & mann & mellom 40 og 50 ---> FALSE
4/10;kvinne & eldre enn 60 ---> FALSE
4/10;kvinne & rørlegger ---> Afrika
4/10;forfatter & Sør Amerika & mann ---> FALSE
3/10;kvinne & rørlegger ---> Kristiansand
3/10;frisør ---> mann
3/10;Kristiansand & Sør Amerika & mann & rørlegger ---> mellom 30 og 40
3/10;Stavanger & Australia ---> mann
3/10;Tromsø & kvinne ---> sykepleier
3/10;forfatter & Asia ---> mann
3/10;forfatter & Australia & mann ---> Bodø
3/10;forfatter & Australia & mann ---> mellom 40 og 50
3/10;forfatter & Stavanger ---> kvinne
3/10;frisør & Europa ---> mann
3/10;kvinne & eldre enn 60 ---> Afrika
3/10;kvinne & eldre enn 60 ---> Stavanger
3/10;kvinne & rørlegger ---> Stavanger
3/10;mellom 20 og 30 & fotograf ---> mann
3/10;mellom 30 og 40 & Australia & kvinne ---> modell
3/10;mellom 30 og 40 & Australia & kvinne ---> Ålesund
3/10;mellom 30 og 40 & Sør Amerika ---> mann
3/10;mellom 40 og 50 & modell ---> kvinne
3/10;mellom 50 og 60 & modell ---> Australia
3/10;mellom 50 og 60 & modell ---> kvinne
3/10;sykepleier & Kristiansand ---> kvinne
3/10;sykepleier & Oslo & mann ---> Europa
3/10;sykepleier & Oslo & mann ---> eldre enn 60
3/10;yngre enn 20 & Sør Amerika & kvinne ---> Trondheim
3/10;yngre enn 20 & Sør Amerika & kvinne ---> modell
3/10;yngre enn 20 & kvinne & modell ---> Sør Amerika
3/10;yngre enn 20 & kvinne & modell ---> Trondheim
3/10;Kristiansand & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
3/10;Kristiansand & mann & modell ---> FALSE
3/10;Kristiansand & mellom 30 og 40 & Afrika & mann & rørlegger ---> FALSE
3/10;Oslo & Australia ---> FALSE
3/10;Oslo & mann & modell ---> FALSE
3/10;forfatter & Europa & mann ---> FALSE
3/10;fotograf & Oslo & Australia & mann ---> FALSE
3/10;fotograf & kvinne & mellom 40 og 50 ---> FALSE
3/10;fotograf & kvinne & mellom 50 og 60 ---> FALSE
3/10;fotograf & mellom 30 og 40 & Europa ---> FALSE
3/10;frisør & Bodø & Sør Amerika & kvinne ---> FALSE
3/10;frisør & Stavanger & kvinne & mellom 40 og 50 ---> FALSE
3/10;frisør & kvinne & mellom 50 og 60 ---> FALSE
3/10;mellom 20 og 30 & sykepleier & mann ---> FALSE
3/10;sykepleier & Trondheim & mann ---> FALSE
3/10;sykepleier & mann & mellom 50 og 60 ---> FALSE
3/10;yngre enn 20 & Nord Amerika & kvinne ---> FALSE
3/10;yngre enn 20 & fotograf & kvinne ---> FALSE
3/10;Ålesund & Afrika & mann & mellom 40 og 50 & modell ---> FALSE
2/10;yngre enn 20 & kvinne ---> FALSE
2/10;mann & modell ---> Australia
2/10;mann & modell ---> eldre enn 60
2/10;Bergen & Sør Amerika ---> mann
2/10;Bodø & Europa & kvinne & mellom 50 og 60 ---> sykepleier
2/10;Kristiansand & Europa & mann ---> elektriker
2/10;Kristiansand & Europa & mann ---> mellom 40 og 50
2/10;Nord Amerika & mann & modell ---> mellom 40 og 50
2/10;Stavanger & Afrika & kvinne & mellom 40 og 50 ---> forfatter
2/10;forfatter & Stavanger & mann ---> Asia
2/10;forfatter & Stavanger & mann ---> eldre enn 60
2/10;forfatter & mellom 40 og 50 ---> Afrika
2/10;forfatter & mellom 40 og 50 ---> kvinne
2/10;kvinne & rørlegger ---> Asia
2/10;mellom 30 og 40 & Sør Amerika & kvinne ---> sykepleier
2/10;mellom 30 og 40 & Sør Amerika & kvinne ---> Ålesund
2/10;yngre enn 20 ---> mann
2/10;Bodø & Asia & mann & mellom 40 og 50 & modell ---> FALSE
2/10;Europa & mann & modell ---> FALSE
2/10;Oslo & Sør Amerika & mann & mellom 50 og 60 & modell ---> FALSE
2/10;forfatter & Afrika & mann & mellom 50 og 60 ---> FALSE
2/10;forfatter & Kristiansand & Australia & mann & mellom 50 og 60 ---> FALSE
2/10;fotograf & Stavanger & mellom 30 og 40 & kvinne ---> FALSE
2/10;mellom 20 og 30 & fotograf & Ålesund & Nord Amerika & kvinne ---> FALSE
2/10;sykepleier & Afrika & mann & mellom 50 og 60 ---> FALSE
2/10;sykepleier & Oslo & Nord Amerika & mann & mellom 40 og 50 ---> FALSE
2/10;Asia & kvinne & mellom 50 og 60 ---> Oslo
2/10;Asia & kvinne & mellom 50 og 60 ---> modell
2/10;Stavanger & mellom 30 og 40 & kvinne ---> Australia
2/10;Stavanger & mellom 30 og 40 & kvinne ---> forfatter
2/10;Tromsø & Asia ---> mann
2/10;Tromsø & Asia ---> mellom 50 og 60
2/10;Tromsø & Asia ---> rørlegger
2/10;Tromsø & Europa & mellom 50 og 60 ---> forfatter
2/10;Tromsø & Europa & mellom 50 og 60 ---> kvinne
2/10;forfatter & Kristiansand & mann ---> Europa
2/10;forfatter & Kristiansand & mann ---> eldre enn 60
2/10;forfatter & mellom 50 og 60 ---> kvinne
2/10;frisør & Asia & kvinne ---> Stavanger
2/10;yngre enn 20 & Bergen ---> mann
2/10;Bodø & Australia & kvinne & mellom 40 og 50 ---> FALSE
2/10;Kristiansand & mellom 30 og 40 & Afrika & kvinne ---> FALSE
2/10;forfatter & Trondheim & mellom 30 og 40 & Australia & kvinne ---> FALSE
2/10;fotograf & Oslo & Nord Amerika & mann ---> FALSE
2/10;frisør & Bergen & Europa & mann ---> FALSE
2/10;frisør & Stavanger & Afrika & mann ---> FALSE
2/10;frisør & Sør Amerika & kvinne ---> FALSE
2/10;frisør & kvinne & mellom 40 og 50 ---> FALSE
2/10;frisør & mellom 30 og 40 & kvinne ---> FALSE
2/10;kvinne & rørlegger ---> FALSE
2/10;mellom 20 og 30 & Oslo & Europa & kvinne ---> FALSE
2/10;sykepleier & Bodø & mann ---> FALSE
2/10;sykepleier & Kristiansand & mann ---> FALSE
2/10;sykepleier & Trondheim & Europa & mann ---> FALSE
1/10;Bodø & Nord Amerika & kvinne ---> mellom 40 og 50
1/10;Bodø & Nord Amerika & kvinne ---> sykepleier
1/10;Kristiansand & Afrika & mann ---> eldre enn 60
1/10;Oslo & kvinne ---> sykepleier
1/10;Asia & mellom 40 og 50 ---> FALSE
1/10;Tromsø & Europa & mann & modell ---> FALSE
1/10;Trondheim & mellom 30 og 40 ---> FALSE
1/10;fotograf & Tromsø & Afrika & mann ---> FALSE
1/10;mellom 20 og 30 & frisør & Ålesund & Sør Amerika & kvinne ---> FALSE
1/10;kvinne & rørlegger ---> mellom 50 og 60
1/10;mann & modell ---> Bergen
1/10;sykepleier & mann ---> eldre enn 60
1/10;Ålesund & kvinne & mellom 40 og 50 ---> Nord Amerika
1/10;Ålesund & kvinne & mellom 40 og 50 ---> modell
1/10;Trondheim & mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
1/10;frisør & kvinne ---> FALSE
1/10;mellom 20 og 30 & Bergen & Sør Amerika & kvinne ---> FALSE
1/10;mellom 20 og 30 & Trondheim & Europa & kvinne ---> FALSE
1/10;Nord Amerika & kvinne & mellom 50 og 60 & modell ---> Tromsø
1/10;kvinne & eldre enn 60 ---> Asia
1/10;kvinne & eldre enn 60 ---> Kristiansand
1/10;mann & modell ---> Tromsø
1/10;mellom 20 og 30 & Stavanger ---> Australia
1/10;mellom 20 og 30 & Stavanger ---> kvinne
1/10;mellom 20 og 30 & Stavanger ---> sykepleier
1/10;mellom 30 og 40 & kvinne ---> Europa
1/10;yngre enn 20 & kvinne ---> Kristiansand
1/10;yngre enn 20 & kvinne ---> Sør Amerika
1/10;yngre enn 20 & kvinne ---> modell
1/10;Oslo & Afrika & kvinne & mellom 40 og 50 ---> FALSE
1/10;mellom 20 og 30 & forfatter & Bodø & Asia & mann ---> FALSE
1/10;mellom 20 og 30 & forfatter & Trondheim & Afrika & mann ---> FALSE
1/10;sykepleier & mann ---> FALSE
