COUNT;HORN RULES (filtered)
9/9;kvinne & elektriker ---> FALSE
8/9;kvinne & advokat ---> FALSE
3/9;kvinne & eldre enn 60 ---> FALSE
3/9;kvinne & rørlegger ---> Afrika
3/9;kvinne & rørlegger ---> Kristiansand
3/9;kvinne & eldre enn 60 ---> sykepleier
3/9;Kristiansand & mann & modell ---> FALSE
3/9;sykepleier & mann & mellom 50 og 60 ---> FALSE
2/9;yngre enn 20 & kvinne ---> FALSE
2/9;mann & modell ---> Australia
2/9;mann & modell ---> eldre enn 60
2/9;frisør ---> mann
2/9;kvinne & eldre enn 60 ---> Asia
2/9;kvinne & eldre enn 60 ---> Kristiansand
2/9;yngre enn 20 & kvinne ---> modell
2/9;forfatter & Sør Amerika & mann ---> FALSE
2/9;Bergen & Sør Amerika ---> mann
2/9;mellom 20 og 30 & forfatter ---> kvinne
2/9;fotograf & Oslo & Nord Amerika & mann ---> FALSE
2/9;frisør & kvinne & mellom 40 og 50 ---> FALSE
2/9;frisør & mellom 30 og 40 & kvinne ---> FALSE
2/9;sykepleier & Kristiansand & mann ---> FALSE
2/9;sykepleier & mann & mellom 40 og 50 ---> FALSE
2/9;Australia & mann & modell ---> eldre enn 60
2/9;Kristiansand & mellom 30 og 40 & Afrika & mann & rørlegger ---> FALSE
2/9;forfatter & Australia & mann ---> Bodø
2/9;mellom 30 og 40 & Australia & kvinne ---> modell
2/9;fotograf & kvinne & mellom 50 og 60 ---> FALSE
2/9;frisør & kvinne & mellom 50 og 60 ---> FALSE
2/9;mellom 20 og 30 & sykepleier & mann ---> FALSE
2/9;sykepleier & mellom 30 og 40 & mann ---> FALSE
1/9;Bodø & Nord Amerika & kvinne ---> mellom 40 og 50
1/9;Bodø & Nord Amerika & kvinne ---> sykepleier
1/9;Kristiansand & Afrika & mann ---> eldre enn 60
1/9;Oslo & kvinne ---> sykepleier
1/9;Asia & mellom 40 og 50 ---> FALSE
1/9;Tromsø & Europa & mann & modell ---> FALSE
1/9;Trondheim & mellom 30 og 40 ---> FALSE
1/9;fotograf & Tromsø & Afrika & mann ---> FALSE
1/9;mellom 20 og 30 & frisør & Ålesund & Sør Amerika & kvinne ---> FALSE
1/9;kvinne & rørlegger ---> mellom 50 og 60
1/9;mann & modell ---> Bergen
1/9;sykepleier & mann ---> eldre enn 60
1/9;Ålesund & kvinne & mellom 40 og 50 ---> Nord Amerika
1/9;Ålesund & kvinne & mellom 40 og 50 ---> modell
1/9;Trondheim & mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
1/9;frisør & kvinne ---> FALSE
1/9;mellom 20 og 30 & Bergen & Sør Amerika & kvinne ---> FALSE
1/9;mellom 20 og 30 & Trondheim & Europa & kvinne ---> FALSE
1/9;Nord Amerika & kvinne & mellom 50 og 60 & modell ---> Tromsø
1/9;mann & modell ---> Tromsø
1/9;mellom 20 og 30 & Stavanger ---> Australia
1/9;mellom 20 og 30 & Stavanger ---> kvinne
1/9;mellom 20 og 30 & Stavanger ---> sykepleier
1/9;mellom 30 og 40 & kvinne ---> Europa
1/9;yngre enn 20 & kvinne ---> Kristiansand
1/9;yngre enn 20 & kvinne ---> Sør Amerika
1/9;Oslo & Afrika & kvinne & mellom 40 og 50 ---> FALSE
1/9;mellom 20 og 30 & forfatter & Bodø & Asia & mann ---> FALSE
1/9;mellom 20 og 30 & forfatter & Trondheim & Afrika & mann ---> FALSE
1/9;sykepleier & mann ---> FALSE
1/9;Bodø & Europa & kvinne & mellom 50 og 60 ---> sykepleier
1/9;Kristiansand & Europa & mann ---> elektriker
1/9;Kristiansand & Europa & mann ---> mellom 40 og 50
1/9;Nord Amerika & mann & modell ---> mellom 40 og 50
1/9;Stavanger & Afrika & kvinne & mellom 40 og 50 ---> forfatter
1/9;forfatter & Stavanger & mann ---> Asia
1/9;forfatter & Stavanger & mann ---> eldre enn 60
1/9;forfatter & mellom 40 og 50 ---> Afrika
1/9;forfatter & mellom 40 og 50 ---> kvinne
1/9;kvinne & rørlegger ---> Asia
1/9;mellom 30 og 40 & Sør Amerika & kvinne ---> sykepleier
1/9;mellom 30 og 40 & Sør Amerika & kvinne ---> Ålesund
1/9;yngre enn 20 ---> mann
1/9;Bodø & Asia & mann & mellom 40 og 50 & modell ---> FALSE
1/9;Europa & mann & modell ---> FALSE
1/9;Oslo & Sør Amerika & mann & mellom 50 og 60 & modell ---> FALSE
1/9;forfatter & Afrika & mann & mellom 50 og 60 ---> FALSE
1/9;forfatter & Kristiansand & Australia & mann & mellom 50 og 60 ---> FALSE
1/9;fotograf & Stavanger & mellom 30 og 40 & kvinne ---> FALSE
1/9;mellom 20 og 30 & fotograf & Ålesund & Nord Amerika & kvinne ---> FALSE
1/9;sykepleier & Afrika & mann & mellom 50 og 60 ---> FALSE
1/9;sykepleier & Oslo & Nord Amerika & mann & mellom 40 og 50 ---> FALSE
1/9;Asia & kvinne & mellom 50 og 60 ---> Oslo
1/9;Asia & kvinne & mellom 50 og 60 ---> modell
1/9;Stavanger & mellom 30 og 40 & kvinne ---> Australia
1/9;Stavanger & mellom 30 og 40 & kvinne ---> forfatter
