COUNT;HORN RULES (filtered)
10/10;mann & frisør ---> FALSE
10/10;mann & sykepleier ---> FALSE
7/10;kvinne & rørlegger ---> Australia
7/10;kvinne & rørlegger ---> yngre enn 20
4/10;sveiser & kvinne ---> yngre enn 20
3/10;kvinne & rørlegger ---> FALSE
3/10;arkitekt & Stavanger ---> mann
3/10;Bodø & Asia ---> kvinne
3/10;Bodø & Asia ---> mellom 30 og 40
3/10;Bodø & Asia ---> sykepleier
3/10;Bodø & Nord Amerika & mann ---> eldre enn 60
3/10;Bodø & Nord Amerika & mann ---> sveiser
3/10;Oslo & Australia & mann ---> elektriker
3/10;Oslo & Australia & mann ---> mellom 30 og 40
3/10;Stavanger & psykolog ---> mann
3/10;Trondheim & Nord Amerika ---> kvinne
3/10;Trondheim & Nord Amerika ---> mellom 20 og 30
3/10;Trondheim & Nord Amerika ---> politiker
3/10;Trondheim & Sør Amerika & mann ---> elektriker
3/10;Trondheim & Sør Amerika & mann ---> mellom 50 og 60
3/10;arkitekt & Afrika & kvinne ---> Kristiansand
3/10;arkitekt & Afrika & kvinne ---> yngre enn 20
3/10;arkitekt & Australia & kvinne ---> Trondheim
3/10;arkitekt & Australia & kvinne ---> mellom 20 og 30
3/10;arkitekt & Ålesund ---> Europa
3/10;arkitekt & Ålesund ---> kvinne
3/10;arkitekt & Ålesund ---> yngre enn 20
3/10;elektriker & Trondheim & Australia & mann ---> mellom 30 og 40
3/10;kvinne & rørlegger ---> Tromsø
3/10;mann & mellom 40 og 50 & psykolog ---> Stavanger
3/10;mann & mellom 40 og 50 & psykolog ---> Sør Amerika
3/10;mellom 20 og 30 & Bodø ---> Australia
3/10;mellom 20 og 30 & Bodø ---> kvinne
3/10;mellom 20 og 30 & Bodø ---> politiker
3/10;mellom 20 og 30 & Oslo & kvinne ---> Nord Amerika
3/10;mellom 20 og 30 & Oslo & kvinne ---> sykepleier
3/10;politiker & mellom 30 og 40 ---> kvinne
3/10;politiker & mellom 40 og 50 ---> kvinne
3/10;yngre enn 20 & Oslo ---> Nord Amerika
3/10;yngre enn 20 & Oslo ---> arkitekt
3/10;yngre enn 20 & Oslo ---> kvinne
3/10;yngre enn 20 & arkitekt ---> kvinne
3/10;Ålesund & kvinne & mellom 50 og 60 ---> politiker
3/10;Bodø & kvinne & mellom 50 og 60 ---> FALSE
3/10;Kristiansand & kvinne & mellom 50 og 60 ---> FALSE
3/10;Oslo & Europa ---> FALSE
3/10;Oslo & mellom 30 og 40 & Sør Amerika & mann & psykolog ---> FALSE
3/10;Tromsø & Asia ---> FALSE
3/10;Tromsø & Australia & mann & eldre enn 60 ---> FALSE
3/10;Tromsø & Nord Amerika & kvinne & mellom 50 og 60 ---> FALSE
3/10;arkitekt & Bergen & Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
3/10;arkitekt & Europa & kvinne & mellom 40 og 50 ---> FALSE
3/10;arkitekt & Oslo & kvinne & eldre enn 60 ---> FALSE
3/10;arkitekt & mellom 30 og 40 & kvinne ---> FALSE
3/10;elektriker & kvinne & eldre enn 60 ---> FALSE
3/10;elektriker & kvinne & mellom 40 og 50 ---> FALSE
3/10;elektriker & kvinne & mellom 50 og 60 ---> FALSE
3/10;elektriker & mellom 30 og 40 & kvinne ---> FALSE
3/10;mann & eldre enn 60 & psykolog ---> FALSE
3/10;mellom 20 og 30 & Australia & mann & psykolog ---> FALSE
3/10;mellom 20 og 30 & arkitekt & Kristiansand & kvinne ---> FALSE
3/10;mellom 20 og 30 & elektriker & Ålesund & Europa & kvinne ---> FALSE
3/10;sveiser & Nord Amerika & kvinne ---> FALSE
3/10;sveiser & mellom 30 og 40 & Australia & kvinne ---> FALSE
3/10;Ålesund & mann & psykolog ---> FALSE
2/10;mann & psykolog ---> FALSE
2/10;Oslo & mann ---> rørlegger
2/10;arkitekt & Europa ---> Tromsø
2/10;arkitekt & Europa ---> kvinne
2/10;arkitekt & Europa ---> mellom 20 og 30
2/10;kvinne & mellom 40 og 50 ---> Nord Amerika
2/10;kvinne & rørlegger ---> Trondheim
2/10;mellom 20 og 30 & politiker & Sør Amerika & kvinne ---> Kristiansand
2/10;sveiser & eldre enn 60 ---> Bergen
2/10;sveiser & eldre enn 60 ---> mann
2/10;sveiser & kvinne ---> Bodø
2/10;Kristiansand & mann & psykolog ---> FALSE
2/10;Stavanger & mann & psykolog ---> FALSE
2/10;Tromsø & mann & psykolog ---> FALSE
2/10;arkitekt & Oslo & kvinne & mellom 50 og 60 ---> FALSE
2/10;elektriker & Oslo & Afrika ---> FALSE
2/10;politiker & mann ---> FALSE
2/10;Bergen & Asia & mann ---> mellom 40 og 50
2/10;Bergen & Asia & mann ---> rørlegger
2/10;Kristiansand & Sør Amerika ---> kvinne
2/10;Oslo & Europa ---> eldre enn 60
2/10;Oslo & Europa ---> kvinne
2/10;Oslo & Europa ---> sykepleier
2/10;Sør Amerika & psykolog ---> Kristiansand
2/10;Sør Amerika & psykolog ---> kvinne
2/10;Sør Amerika & psykolog ---> mellom 20 og 30
