COUNT;HORN RULES (filtered)
9/9;kvinne & elektriker ---> FALSE
9/9;kvinne & rørlegger ---> FALSE
9/9;mann & modell ---> FALSE
9/9;sykepleier & mann ---> FALSE
4/9;frisør & mann ---> Afrika
4/9;Sør Amerika & kvinne & advokat ---> FALSE
3/9;forfatter & mann & eldre enn 60 ---> FALSE
3/9;mellom 20 og 30 & forfatter ---> kvinne
2/9;frisør ---> kvinne
2/9;yngre enn 20 & Kristiansand & Australia & mann ---> FALSE
2/9;frisør & mann ---> mellom 50 og 60
2/9;kvinne & mellom 50 og 60 ---> Nord Amerika
2/9;yngre enn 20 & forfatter & mann ---> FALSE
2/9;forfatter & mellom 30 og 40 & mann ---> FALSE
2/9;mellom 30 og 40 & kvinne & advokat ---> FALSE
2/9;fotograf & Afrika ---> mann
2/9;frisør & mann ---> yngre enn 20
2/9;Stavanger & kvinne & advokat ---> FALSE
2/9;forfatter & Europa & mann ---> FALSE
2/9;fotograf & kvinne & mellom 40 og 50 ---> FALSE
2/9;fotograf & kvinne & mellom 50 og 60 ---> FALSE
2/9;kvinne & mellom 40 og 50 & advokat ---> FALSE
2/9;mellom 20 og 30 & Tromsø & Nord Amerika & kvinne ---> FALSE
1/9;frisør ---> Stavanger
1/9;mellom 50 og 60 ---> advokat
1/9;mellom 50 og 60 ---> mann
1/9;Bodø & Europa & mann ---> FALSE
1/9;yngre enn 20 & Oslo & Nord Amerika & kvinne & advokat ---> FALSE
1/9;yngre enn 20 & forfatter & Australia & mann ---> FALSE
1/9;kvinne & mellom 50 og 60 ---> Bodø
1/9;kvinne & mellom 50 og 60 ---> sykepleier
1/9;Kristiansand & Asia & kvinne & advokat ---> FALSE
1/9;Oslo & Nord Amerika & mann & eldre enn 60 ---> FALSE
1/9;forfatter & mellom 40 og 50 ---> FALSE
1/9;fotograf & Bodø & Australia & mann ---> FALSE
1/9;fotograf & Ålesund & Sør Amerika & kvinne ---> FALSE
1/9;mellom 20 og 30 & fotograf & Oslo & kvinne ---> FALSE
1/9;yngre enn 20 & fotograf & Bodø & Nord Amerika & mann ---> FALSE
1/9;Australia ---> kvinne
1/9;fotograf & Bodø & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/9;fotograf & Kristiansand & Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/9;fotograf & Tromsø & kvinne ---> FALSE
