COUNT;HORN RULES (filtered)
8/10;forfatter & mann ---> FALSE
8/10;sykepleier & mann ---> FALSE
7/10;kvinne & mellom 40 og 50 & advokat ---> FALSE
7/10;mellom 20 og 30 & kvinne & advokat ---> FALSE
6/10;mellom 30 og 40 & kvinne & advokat ---> FALSE
6/10;fotograf & kvinne & eldre enn 60 ---> FALSE
6/10;kvinne & mellom 40 og 50 & rørlegger ---> FALSE
6/10;mellom 20 og 30 & fotograf & kvinne ---> FALSE
5/10;kvinne & eldre enn 60 & advokat ---> FALSE
5/10;yngre enn 20 & kvinne & advokat ---> FALSE
5/10;yngre enn 20 & kvinne & elektriker ---> FALSE
5/10;Oslo & kvinne & elektriker ---> FALSE
5/10;Tromsø & kvinne & rørlegger ---> FALSE
4/10;Sør Amerika & kvinne & elektriker ---> FALSE
4/10;mellom 30 og 40 & Afrika ---> mann
3/10;yngre enn 20 & Bodø & kvinne ---> FALSE
3/10;kvinne & eldre enn 60 & rørlegger ---> FALSE
3/10;Australia & mellom 50 og 60 ---> Bodø
3/10;Australia & mellom 50 og 60 ---> advokat
3/10;Australia & mellom 50 og 60 ---> mann
3/10;Oslo & eldre enn 60 ---> Asia
3/10;Oslo & eldre enn 60 ---> mann
3/10;Oslo & eldre enn 60 ---> rørlegger
3/10;Tromsø & mellom 40 og 50 ---> mann
3/10;Trondheim & Europa & mann ---> fotograf
3/10;Trondheim & Europa & mann ---> mellom 30 og 40
3/10;Trondheim & mellom 40 og 50 ---> Australia
3/10;Trondheim & mellom 40 og 50 ---> frisør
3/10;Trondheim & mellom 40 og 50 ---> kvinne
3/10;fotograf & Afrika ---> mann
3/10;frisør & Asia & mann ---> Tromsø
3/10;frisør & Asia & mann ---> yngre enn 20
3/10;mellom 20 og 30 & Stavanger ---> Sør Amerika
3/10;mellom 20 og 30 & Stavanger ---> frisør
3/10;mellom 20 og 30 & Stavanger ---> kvinne
3/10;mellom 30 og 40 & Asia & kvinne ---> Tromsø
3/10;mellom 30 og 40 & Asia & kvinne ---> modell
3/10;mellom 30 og 40 & Nord Amerika ---> mann
3/10;mellom 30 og 40 & Sør Amerika & kvinne ---> Oslo
