COUNT;HORN RULES (filtered)
4/6;forfatter & mann ---> FALSE
4/6;sykepleier & mann ---> FALSE
3/6;mellom 30 og 40 & kvinne & advokat ---> FALSE
3/6;fotograf & kvinne & eldre enn 60 ---> FALSE
3/6;kvinne & mellom 40 og 50 & rørlegger ---> FALSE
3/6;mellom 20 og 30 & fotograf & kvinne ---> FALSE
3/6;kvinne & mellom 40 og 50 & advokat ---> FALSE
3/6;mellom 20 og 30 & kvinne & advokat ---> FALSE
2/6;Sør Amerika & kvinne & elektriker ---> FALSE
2/6;yngre enn 20 & Bodø & kvinne ---> FALSE
2/6;kvinne & eldre enn 60 & rørlegger ---> FALSE
2/6;mellom 30 og 40 & Afrika ---> mann
2/6;kvinne & eldre enn 60 & advokat ---> FALSE
2/6;yngre enn 20 & kvinne & advokat ---> FALSE
2/6;yngre enn 20 & kvinne & elektriker ---> FALSE
2/6;Oslo & kvinne & elektriker ---> FALSE
2/6;Tromsø & kvinne & rørlegger ---> FALSE
1/6;Bergen ---> Europa
1/6;Bergen ---> fotograf
1/6;Bergen ---> mann
1/6;Bergen ---> mellom 50 og 60
1/6;Tromsø & eldre enn 60 ---> kvinne
1/6;Tromsø & kvinne & mellom 40 og 50 ---> Asia
1/6;Tromsø & kvinne & mellom 40 og 50 ---> modell
1/6;Oslo & mellom 50 og 60 ---> FALSE
1/6;Stavanger & Nord Amerika & kvinne & eldre enn 60 & advokat ---> FALSE
1/6;Stavanger & mellom 30 og 40 & kvinne ---> FALSE
1/6;fotograf & mellom 30 og 40 & kvinne ---> FALSE
1/6;frisør & Tromsø & Europa & kvinne & mellom 50 og 60 ---> FALSE
1/6;mellom 20 og 30 & Asia & kvinne & rørlegger ---> FALSE
1/6;mellom 20 og 30 & fotograf & Nord Amerika & kvinne ---> FALSE
1/6;mellom 30 og 40 & Europa & kvinne & elektriker ---> FALSE
1/6;sykepleier & Sør Amerika & mann ---> FALSE
1/6;yngre enn 20 & Asia ---> FALSE
1/6;yngre enn 20 & Tromsø & Sør Amerika & kvinne & advokat ---> FALSE
1/6;yngre enn 20 & Trondheim & mann & modell ---> FALSE
1/6;yngre enn 20 & kvinne & rørlegger ---> FALSE
1/6;Ålesund & Afrika & kvinne & mellom 50 og 60 & elektriker ---> FALSE
1/6;Europa & mellom 50 og 60 ---> Kristiansand
1/6;Europa & mellom 50 og 60 ---> kvinne
1/6;Europa & mellom 50 og 60 ---> sykepleier
1/6;Oslo ---> Asia
1/6;Oslo ---> forfatter
1/6;Oslo ---> kvinne
1/6;Oslo ---> yngre enn 20
1/6;advokat ---> mann
1/6;advokat ---> mellom 40 og 50
1/6;Asia & kvinne & mellom 40 og 50 & rørlegger ---> FALSE
1/6;Bodø & Nord Amerika & kvinne & advokat ---> FALSE
