COUNT;HORN RULES (filtered)
1/1;Afrika & kvinne & mellom 40 og 50 ---> Kristiansand
1/1;Afrika & kvinne & mellom 40 og 50 ---> sykepleier
1/1;Afrika & mann & sykepleier ---> yngre enn 20
1/1;Asia & mann & sykepleier ---> Stavanger
1/1;Asia & mann & sykepleier ---> eldre enn 60
1/1;Bergen & kvinne & mellom 50 og 60 ---> Europa
1/1;Bergen & kvinne & mellom 50 og 60 ---> frisør
1/1;Bodø & Sør Amerika ---> mann
1/1;Kristiansand & Nord Amerika ---> mann
1/1;Kristiansand & kvinne & mellom 40 og 50 ---> Afrika
1/1;Kristiansand & kvinne & mellom 40 og 50 ---> sykepleier
1/1;Nord Amerika & kvinne & mellom 40 og 50 ---> Bergen
1/1;Nord Amerika & kvinne & mellom 40 og 50 ---> sykepleier
1/1;Nord Amerika & mellom 50 og 60 ---> frisør
1/1;Nord Amerika & mellom 50 og 60 ---> kvinne
1/1;Nord Amerika & mellom 50 og 60 ---> Ålesund
1/1;Oslo & kvinne & mellom 50 og 60 & sykepleier ---> Afrika
1/1;Stavanger & mann & sykepleier ---> eldre enn 60
1/1;Tromsø & Sør Amerika ---> frisør
1/1;Tromsø & Sør Amerika ---> kvinne
1/1;Tromsø & Sør Amerika ---> mellom 40 og 50
1/1;eldre enn 60 & frisør ---> Bodø
1/1;eldre enn 60 & frisør ---> mann
1/1;mellom 20 og 30 & frisør ---> kvinne
1/1;Australia & mann & sykepleier ---> FALSE
1/1;Bergen & Asia & mann & mellom 50 og 60 & frisør ---> FALSE
1/1;Bergen & Australia & mann & frisør ---> FALSE
1/1;Europa & mann & sykepleier ---> FALSE
1/1;Kristiansand & Afrika & mann & frisør ---> FALSE
1/1;Kristiansand & mellom 30 og 40 & Australia & mann & frisør ---> FALSE
1/1;Oslo & Europa & mann & mellom 40 og 50 & frisør ---> FALSE
1/1;Tromsø & Asia & kvinne ---> FALSE
1/1;Tromsø & Australia & mann & mellom 50 og 60 & frisør ---> FALSE
1/1;arkitekt & kvinne ---> FALSE
1/1;elektriker & kvinne ---> FALSE
1/1;kvinne & psykolog ---> FALSE
1/1;kvinne & rørlegger ---> FALSE
1/1;mellom 20 og 30 & Bergen & Sør Amerika & kvinne ---> FALSE
1/1;mellom 20 og 30 & Stavanger & Nord Amerika & kvinne ---> FALSE
1/1;mellom 20 og 30 & Trondheim & Asia & kvinne ---> FALSE
1/1;politiker & kvinne ---> FALSE
1/1;sveiser & kvinne ---> FALSE
