COUNT;HORN RULES (filtered)
10/10;fotograf & kvinne ---> FALSE
9/10;kvinne & elektriker ---> FALSE
9/10;kvinne & rørlegger ---> FALSE
8/10;forfatter & kvinne ---> FALSE
8/10;frisør & Australia & mann ---> FALSE
7/10;frisør & Europa & mann ---> FALSE
7/10;frisør & Nord Amerika & mann ---> FALSE
7/10;kvinne & advokat ---> FALSE
5/10;frisør & Afrika & mann ---> FALSE
5/10;frisør & Sør Amerika & mann ---> FALSE
4/10;frisør & Asia & mann ---> eldre enn 60
4/10;Australia & mann & modell ---> FALSE
3/10;Bergen & mellom 30 og 40 & kvinne ---> Afrika
3/10;Bergen & mellom 30 og 40 & kvinne ---> sykepleier
3/10;Bodø & Nord Amerika & kvinne ---> modell
3/10;mellom 20 og 30 & Bodø ---> mann
3/10;mellom 20 og 30 & Tromsø & Asia & kvinne ---> modell
3/10;mellom 20 og 30 & sykepleier & mann ---> Tromsø
3/10;mellom 30 og 40 & Europa & kvinne ---> frisør
3/10;sykepleier & Australia & mann ---> Bergen
3/10;sykepleier & Australia & mann ---> eldre enn 60
3/10;sykepleier & Europa ---> kvinne
3/10;sykepleier & Europa ---> mellom 50 og 60
3/10;sykepleier & Oslo & mann ---> mellom 30 og 40
3/10;yngre enn 20 & Bodø & kvinne ---> Europa
3/10;yngre enn 20 & Bodø & kvinne ---> modell
3/10;yngre enn 20 & Europa & kvinne ---> modell
3/10;Ålesund & mann & modell ---> mellom 50 og 60
3/10;Asia & kvinne & mellom 50 og 60 ---> FALSE
3/10;Bergen & mann & modell ---> FALSE
3/10;Bodø & Afrika & mann & modell ---> FALSE
3/10;Europa & mann & modell ---> FALSE
3/10;Kristiansand & mann & modell ---> FALSE
3/10;Kristiansand & mellom 30 og 40 & kvinne ---> FALSE
3/10;Oslo & Asia & kvinne ---> FALSE
3/10;Oslo & mann & modell ---> FALSE
3/10;Stavanger & Afrika & mann & mellom 40 og 50 & modell ---> FALSE
3/10;Stavanger & mellom 30 og 40 & kvinne ---> FALSE
3/10;Sør Amerika & mann & modell ---> FALSE
3/10;Tromsø & Sør Amerika & kvinne & eldre enn 60 ---> FALSE
3/10;Trondheim & Asia ---> FALSE
3/10;Trondheim & mann & modell ---> FALSE
3/10;Trondheim & mellom 30 og 40 & Afrika & kvinne ---> FALSE
3/10;mellom 20 og 30 & Australia & mann & modell ---> FALSE
3/10;sykepleier & mann & mellom 40 og 50 ---> FALSE
3/10;yngre enn 20 & Kristiansand ---> FALSE
3/10;Ålesund & Afrika & kvinne & eldre enn 60 ---> FALSE
2/10;Stavanger & kvinne & mellom 40 og 50 ---> Europa
2/10;Stavanger & kvinne & mellom 40 og 50 ---> frisør
2/10;frisør & Asia & mann ---> Bodø
2/10;mellom 40 og 50 & modell ---> kvinne
2/10;sykepleier & Nord Amerika ---> Tromsø
2/10;sykepleier & Nord Amerika ---> kvinne
2/10;sykepleier & Sør Amerika ---> Stavanger
2/10;sykepleier & Sør Amerika ---> kvinne
2/10;sykepleier & Sør Amerika ---> mellom 50 og 60
2/10;sykepleier & mellom 40 og 50 ---> kvinne
2/10;yngre enn 20 & Asia & kvinne ---> Bodø
2/10;yngre enn 20 & Asia & kvinne ---> frisør
2/10;yngre enn 20 & Kristiansand ---> mann
2/10;Asia & mann & mellom 50 og 60 & modell ---> FALSE
2/10;Bergen & mann & eldre enn 60 & modell ---> FALSE
