COUNT;HORN RULES (filtered)
3/3;frisør & kvinne ---> FALSE
3/3;kvinne & advokat ---> FALSE
3/3;kvinne & elektriker ---> FALSE
3/3;kvinne & rørlegger ---> FALSE
2/3;Bergen & Europa ---> mann
2/3;yngre enn 20 & mann & modell ---> FALSE
1/3;Asia & mellom 50 og 60 ---> Kristiansand
1/3;Asia & mellom 50 og 60 ---> mann
1/3;Asia & mellom 50 og 60 ---> sykepleier
1/3;Australia & kvinne & mellom 50 og 60 ---> modell
1/3;Bergen & Afrika & kvinne ---> mellom 50 og 60
1/3;Bergen & Afrika & kvinne ---> modell
1/3;Bergen & modell ---> kvinne
1/3;Bodø & Sør Amerika ---> kvinne
1/3;Bodø & Sør Amerika ---> modell
1/3;Nord Amerika & kvinne & mellom 40 og 50 ---> sykepleier
1/3;Nord Amerika & mellom 50 og 60 ---> kvinne
1/3;Oslo & Nord Amerika & kvinne ---> mellom 30 og 40
1/3;Oslo & Nord Amerika & kvinne ---> modell
1/3;Oslo & Sør Amerika & kvinne ---> sykepleier
1/3;Oslo & mellom 50 og 60 ---> Europa
1/3;Oslo & mellom 50 og 60 ---> mann
1/3;Oslo & mellom 50 og 60 ---> modell
1/3;Tromsø & kvinne & eldre enn 60 ---> Afrika
1/3;Trondheim & kvinne & mellom 50 og 60 ---> Sør Amerika
1/3;Trondheim & kvinne & mellom 50 og 60 ---> modell
1/3;Trondheim & mellom 30 og 40 ---> mann
1/3;Trondheim & modell ---> kvinne
1/3;forfatter & Bodø ---> mann
1/3;forfatter & Kristiansand & Sør Amerika & mann ---> eldre enn 60
1/3;forfatter & Ålesund & kvinne ---> Afrika
1/3;fotograf ---> mann
1/3;mellom 20 og 30 & Asia & kvinne ---> modell
1/3;mellom 30 og 40 & Europa ---> mann
1/3;sykepleier & Kristiansand ---> mann
1/3;sykepleier & kvinne & mellom 40 og 50 ---> Nord Amerika
1/3;sykepleier & mellom 30 og 40 & kvinne ---> Afrika
1/3;Asia & kvinne & mellom 40 og 50 ---> FALSE
1/3;Oslo & kvinne & mellom 40 og 50 ---> FALSE
1/3;Stavanger & kvinne & mellom 40 og 50 ---> FALSE
1/3;Tromsø & kvinne & mellom 40 og 50 ---> FALSE
1/3;forfatter & Nord Amerika & kvinne ---> FALSE
1/3;forfatter & Trondheim & Australia & mann ---> FALSE
1/3;mellom 20 og 30 & Tromsø & kvinne ---> FALSE
1/3;sykepleier & Stavanger & kvinne ---> FALSE
1/3;sykepleier & Trondheim & Nord Amerika & mann ---> FALSE
1/3;sykepleier & Ålesund & kvinne ---> FALSE
1/3;yngre enn 20 & Bodø & Europa & mann & modell ---> FALSE
1/3;yngre enn 20 & Oslo & Asia & kvinne ---> FALSE
1/3;yngre enn 20 & sykepleier & Trondheim & Afrika & mann ---> FALSE
1/3;Ålesund & Nord Amerika & kvinne ---> FALSE
1/3;Ålesund & kvinne & mellom 50 og 60 ---> FALSE
1/3;Afrika & mann & modell ---> mellom 40 og 50
1/3;Afrika & mann & modell ---> Ålesund
1/3;Asia & mellom 40 og 50 ---> Bodø
1/3;Asia & mellom 40 og 50 ---> mann
1/3;Bergen & Europa ---> sykepleier
1/3;Bergen & mann & modell ---> mellom 30 og 40
1/3;Kristiansand & Asia & kvinne ---> sykepleier
1/3;Kristiansand & Asia & kvinne ---> yngre enn 20
1/3;Kristiansand & Europa & kvinne ---> modell
1/3;Kristiansand & Europa & kvinne ---> yngre enn 20
1/3;Nord Amerika & mann & modell ---> mellom 20 og 30
1/3;Nord Amerika & mann & modell ---> Ålesund
1/3;Tromsø & Asia ---> mann
1/3;Tromsø & Asia ---> mellom 20 og 30
1/3;Tromsø & Asia ---> sykepleier
1/3;Trondheim & mellom 30 og 40 & kvinne ---> Afrika
1/3;Trondheim & mellom 30 og 40 & kvinne ---> forfatter
1/3;forfatter & Australia & mann ---> Tromsø
1/3;forfatter & Australia & mann ---> mellom 40 og 50
1/3;forfatter & Sør Amerika ---> mann
1/3;kvinne & mellom 50 og 60 ---> modell
1/3;mellom 20 og 30 & Asia ---> mann
1/3;mellom 20 og 30 & forfatter & kvinne ---> Afrika
1/3;mellom 20 og 30 & forfatter & kvinne ---> Bergen
1/3;mellom 30 og 40 & Australia & kvinne ---> Bergen
1/3;mellom 30 og 40 & Australia & kvinne ---> modell
1/3;mellom 30 og 40 & Nord Amerika & kvinne ---> Tromsø
1/3;mellom 30 og 40 & Nord Amerika & kvinne ---> modell
1/3;mellom 30 og 40 & Tromsø & kvinne & modell ---> Nord Amerika
1/3;sykepleier & mellom 30 og 40 ---> mann
1/3;yngre enn 20 & sykepleier ---> kvinne
1/3;Ålesund & kvinne ---> Australia
1/3;Ålesund & kvinne ---> modell
1/3;Afrika & kvinne & eldre enn 60 ---> FALSE
1/3;Australia & mann & modell ---> FALSE
1/3;Stavanger & mellom 30 og 40 & kvinne ---> FALSE
1/3;forfatter & Asia ---> FALSE
1/3;fotograf & Australia & kvinne ---> FALSE
1/3;fotograf & kvinne & eldre enn 60 ---> FALSE
1/3;mellom 20 og 30 & Europa & kvinne ---> FALSE
1/3;mellom 20 og 30 & Stavanger & kvinne & modell ---> FALSE
1/3;mellom 20 og 30 & fotograf & Bodø & Nord Amerika & kvinne ---> FALSE
1/3;mellom 20 og 30 & sykepleier & Kristiansand & Australia & kvinne ---> FALSE
1/3;yngre enn 20 & Trondheim & Nord Amerika & kvinne ---> FALSE
1/3;yngre enn 20 & fotograf & kvinne ---> FALSE
1/3;Australia & mann & modell ---> eldre enn 60
1/3;Australia & mann & modell ---> Ålesund
1/3;Bergen & mellom 40 og 50 ---> mann
1/3;Kristiansand & Australia ---> advokat
1/3;Kristiansand & Australia ---> mann
1/3;Kristiansand & Australia ---> yngre enn 20
1/3;Kristiansand & kvinne & eldre enn 60 ---> Europa
1/3;Kristiansand & kvinne & eldre enn 60 ---> modell
1/3;Oslo & Asia & kvinne ---> modell
1/3;Oslo & kvinne & mellom 40 og 50 ---> Asia
1/3;Oslo & kvinne & mellom 40 og 50 ---> modell
1/3;Oslo & kvinne & mellom 50 og 60 ---> Asia
1/3;Oslo & kvinne & mellom 50 og 60 ---> modell
1/3;Stavanger & Europa & kvinne ---> eldre enn 60
1/3;Stavanger & Europa & kvinne ---> sykepleier
1/3;sykepleier & mellom 40 og 50 ---> Sør Amerika
1/3;sykepleier & mellom 40 og 50 ---> kvinne
1/3;yngre enn 20 & sykepleier & mann ---> Kristiansand
1/3;yngre enn 20 & sykepleier & mann ---> Nord Amerika
1/3;Europa & kvinne & mellom 40 og 50 ---> FALSE
1/3;Europa & kvinne & mellom 50 og 60 ---> FALSE
1/3;Kristiansand & Sør Amerika & mann & mellom 50 og 60 & modell ---> FALSE
1/3;Oslo & mellom 30 og 40 & kvinne ---> FALSE
1/3;Tromsø & Sør Amerika & kvinne ---> FALSE
1/3;Trondheim & Asia & mann & modell ---> FALSE
1/3;forfatter & Kristiansand & mellom 30 og 40 & kvinne ---> FALSE
1/3;forfatter & Stavanger & kvinne ---> FALSE
1/3;mellom 20 og 30 & Tromsø & Asia & kvinne ---> FALSE
1/3;mellom 30 og 40 & Bodø & Asia & kvinne & modell ---> FALSE
1/3;yngre enn 20 & Bergen & Asia & kvinne ---> FALSE
1/3;yngre enn 20 & Stavanger & kvinne ---> FALSE
1/3;Ålesund & kvinne ---> FALSE
