COUNT;HORN RULES (filtered)
9/10;frisør & kvinne ---> FALSE
9/10;kvinne & elektriker ---> FALSE
9/10;kvinne & rørlegger ---> FALSE
7/10;kvinne & advokat ---> FALSE
5/10;sykepleier & kvinne & mellom 40 og 50 ---> Nord Amerika
4/10;fotograf ---> mann
4/10;Kristiansand & mann & modell ---> FALSE
3/10;Stavanger & kvinne ---> modell
3/10;mellom 20 og 30 & kvinne ---> modell
3/10;sykepleier & Tromsø ---> kvinne
3/10;Kristiansand & kvinne & mellom 40 og 50 ---> FALSE
3/10;Asia & mellom 50 og 60 ---> Kristiansand
3/10;Asia & mellom 50 og 60 ---> mann
3/10;Asia & mellom 50 og 60 ---> sykepleier
3/10;Australia & kvinne & mellom 50 og 60 ---> modell
3/10;Bergen & Afrika & kvinne ---> mellom 50 og 60
3/10;Bergen & Afrika & kvinne ---> modell
3/10;Bergen & modell ---> kvinne
3/10;Bodø & Sør Amerika ---> kvinne
3/10;Bodø & Sør Amerika ---> modell
3/10;Nord Amerika & kvinne & mellom 40 og 50 ---> sykepleier
3/10;Nord Amerika & mellom 50 og 60 ---> kvinne
3/10;Oslo & Nord Amerika & kvinne ---> mellom 30 og 40
3/10;Oslo & Nord Amerika & kvinne ---> modell
3/10;Oslo & Sør Amerika & kvinne ---> sykepleier
3/10;Oslo & mellom 50 og 60 ---> Europa
3/10;Oslo & mellom 50 og 60 ---> mann
3/10;Oslo & mellom 50 og 60 ---> modell
3/10;Tromsø & kvinne & eldre enn 60 ---> Afrika
3/10;Trondheim & kvinne & mellom 50 og 60 ---> Sør Amerika
3/10;Trondheim & kvinne & mellom 50 og 60 ---> modell
3/10;Trondheim & mellom 30 og 40 ---> mann
3/10;Trondheim & modell ---> kvinne
3/10;forfatter & Bodø ---> mann
3/10;forfatter & Kristiansand & Sør Amerika & mann ---> eldre enn 60
3/10;forfatter & Ålesund & kvinne ---> Afrika
3/10;mellom 20 og 30 & Asia & kvinne ---> modell
3/10;mellom 30 og 40 & Europa ---> mann
3/10;sykepleier & Kristiansand ---> mann
3/10;sykepleier & mellom 30 og 40 & kvinne ---> Afrika
3/10;Asia & kvinne & mellom 40 og 50 ---> FALSE
3/10;Oslo & kvinne & mellom 40 og 50 ---> FALSE
3/10;Stavanger & kvinne & mellom 40 og 50 ---> FALSE
3/10;Tromsø & kvinne & mellom 40 og 50 ---> FALSE
3/10;forfatter & Nord Amerika & kvinne ---> FALSE
3/10;forfatter & Trondheim & Australia & mann ---> FALSE
3/10;mellom 20 og 30 & Tromsø & kvinne ---> FALSE
3/10;sykepleier & Stavanger & kvinne ---> FALSE
3/10;sykepleier & Trondheim & Nord Amerika & mann ---> FALSE
3/10;sykepleier & Ålesund & kvinne ---> FALSE
3/10;yngre enn 20 & Bodø & Europa & mann & modell ---> FALSE
3/10;yngre enn 20 & Oslo & Asia & kvinne ---> FALSE
3/10;yngre enn 20 & sykepleier & Trondheim & Afrika & mann ---> FALSE
3/10;Ålesund & Nord Amerika & kvinne ---> FALSE
3/10;Ålesund & kvinne & mellom 50 og 60 ---> FALSE
2/10;Oslo & kvinne ---> modell
2/10;Ålesund & kvinne ---> modell
2/10;Bergen & kvinne ---> Australia
2/10;Bergen & kvinne ---> mellom 30 og 40
2/10;Bergen & kvinne ---> modell
2/10;Bodø & kvinne ---> Australia
2/10;Bodø & kvinne ---> yngre enn 20
2/10;Kristiansand & Asia ---> forfatter
2/10;Kristiansand & Asia ---> kvinne
2/10;Stavanger & kvinne ---> Europa
2/10;Stavanger & kvinne ---> sykepleier
2/10;Stavanger & mann & modell ---> Asia
2/10;Stavanger & mann & modell ---> mellom 50 og 60
2/10;forfatter & Afrika ---> kvinne
2/10;forfatter & Afrika ---> Ålesund
2/10;forfatter & Oslo & kvinne ---> Sør Amerika
2/10;forfatter & Stavanger & Asia & mann ---> mellom 40 og 50
2/10;forfatter & Tromsø & kvinne ---> Asia
2/10;forfatter & Trondheim & kvinne ---> Asia
2/10;forfatter & Trondheim & kvinne ---> mellom 30 og 40
2/10;sykepleier & Australia ---> Bodø
2/10;sykepleier & Australia ---> kvinne
2/10;sykepleier & Australia ---> yngre enn 20
2/10;sykepleier & Tromsø ---> Asia
2/10;sykepleier & Tromsø ---> eldre enn 60
2/10;yngre enn 20 & Afrika ---> Bergen
2/10;yngre enn 20 & Afrika ---> frisør
2/10;yngre enn 20 & Afrika ---> mann
2/10;Oslo & mann & modell ---> FALSE
2/10;Sør Amerika & mann & modell ---> FALSE
2/10;Tromsø & mann & modell ---> FALSE
2/10;fotograf & kvinne ---> FALSE
2/10;kvinne & mellom 50 og 60 ---> FALSE
2/10;mellom 20 og 30 & Tromsø & Australia & kvinne ---> FALSE
2/10;mellom 20 og 30 & Trondheim & Afrika & kvinne ---> FALSE
2/10;mellom 20 og 30 & forfatter & kvinne ---> FALSE
2/10;sykepleier & Stavanger & Europa & mann ---> FALSE
2/10;sykepleier & Trondheim & Nord Amerika & mann & eldre enn 60 ---> FALSE
