COUNT;HORN RULES (filtered)
8/9;frisør & kvinne ---> FALSE
8/9;kvinne & elektriker ---> FALSE
8/9;kvinne & rørlegger ---> FALSE
6/9;kvinne & advokat ---> FALSE
3/9;mellom 20 og 30 & kvinne ---> modell
3/9;Ålesund & kvinne ---> modell
2/9;Oslo & kvinne ---> modell
2/9;Stavanger & kvinne ---> modell
2/9;kvinne & mellom 50 og 60 ---> modell
2/9;sykepleier & Tromsø ---> kvinne
2/9;Tromsø & kvinne ---> modell
2/9;Ålesund & kvinne ---> Australia
2/9;Kristiansand & kvinne & mellom 40 og 50 ---> FALSE
2/9;fotograf ---> mann
2/9;sykepleier & kvinne & mellom 40 og 50 ---> Nord Amerika
2/9;Kristiansand & mann & modell ---> FALSE
2/9;fotograf & kvinne ---> FALSE
2/9;Australia & mann & modell ---> Ålesund
2/9;Europa & modell ---> kvinne
2/9;Bergen & Europa ---> mann
2/9;yngre enn 20 & mann & modell ---> FALSE
1/9;Afrika & kvinne ---> modell
1/9;Oslo & kvinne ---> eldre enn 60
1/9;Trondheim & kvinne ---> Asia
1/9;Trondheim & kvinne ---> forfatter
1/9;Trondheim & kvinne ---> yngre enn 20
1/9;kvinne & mellom 40 og 50 ---> modell
1/9;kvinne & mellom 50 og 60 ---> Nord Amerika
1/9;kvinne & mellom 50 og 60 ---> Stavanger
1/9;mann & modell ---> Europa
1/9;mann & modell ---> Tromsø
1/9;mann & modell ---> mellom 20 og 30
1/9;sykepleier & Tromsø ---> Europa
1/9;sykepleier & Tromsø ---> yngre enn 20
1/9;fotograf & mellom 30 og 40 & Bodø & kvinne ---> FALSE
1/9;Ålesund & Europa & kvinne & modell ---> FALSE
1/9;Afrika ---> kvinne
1/9;Afrika ---> modell
1/9;Bergen ---> kvinne
1/9;Bergen ---> modell
1/9;Oslo & kvinne ---> Sør Amerika
1/9;Tromsø & kvinne ---> Australia
1/9;Tromsø & kvinne ---> mellom 50 og 60
1/9;forfatter & kvinne ---> Asia
1/9;forfatter & kvinne ---> Bodø
1/9;kvinne & eldre enn 60 ---> Afrika
1/9;kvinne & eldre enn 60 ---> Trondheim
1/9;kvinne & eldre enn 60 ---> modell
1/9;sykepleier & eldre enn 60 ---> mann
1/9;sykepleier & eldre enn 60 ---> Ålesund
1/9;Bodø & Sør Amerika & kvinne ---> FALSE
1/9;Nord Amerika & mann & mellom 50 og 60 & modell ---> FALSE
1/9;Stavanger & kvinne ---> FALSE
1/9;Trondheim & Australia & kvinne & mellom 40 og 50 ---> FALSE
1/9;mellom 20 og 30 & sykepleier & Europa & mann ---> FALSE
1/9;sykepleier & Bodø & kvinne & mellom 50 og 60 ---> FALSE
1/9;kvinne & mellom 40 og 50 ---> Europa
1/9;kvinne & mellom 40 og 50 ---> sykepleier
1/9;mellom 30 og 40 & kvinne ---> Kristiansand
