COUNT;HORN RULES (filtered)
1/1;Afrika & kvinne & advokat ---> mellom 40 og 50
1/1;Asia & kvinne & eldre enn 60 ---> sykepleier
1/1;Asia & kvinne & eldre enn 60 ---> Ålesund
1/1;Bodø & Europa & mann & mellom 40 og 50 ---> rørlegger
1/1;Europa & mellom 50 og 60 ---> advokat
1/1;Europa & mellom 50 og 60 ---> mann
1/1;Europa & mellom 50 og 60 ---> Ålesund
1/1;Kristiansand & Asia & kvinne ---> sykepleier
1/1;Kristiansand & Asia & kvinne ---> yngre enn 20
1/1;Tromsø & Afrika ---> eldre enn 60
1/1;Trondheim & Nord Amerika & kvinne ---> eldre enn 60
1/1;Trondheim & Nord Amerika & kvinne ---> psykolog
1/1;frisør ---> kvinne
1/1;mellom 30 og 40 & Sør Amerika ---> mann
1/1;psykolog & Stavanger ---> kvinne
1/1;yngre enn 20 & Oslo & kvinne ---> Nord Amerika
1/1;yngre enn 20 & Oslo & kvinne ---> modell
1/1;yngre enn 20 & Ålesund & kvinne ---> Afrika
1/1;Asia & mann & mellom 40 og 50 ---> FALSE
1/1;Bergen & Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
1/1;Bodø & kvinne & advokat ---> FALSE
1/1;Bodø & kvinne & eldre enn 60 ---> FALSE
1/1;Europa & kvinne & advokat ---> FALSE
1/1;Tromsø & Europa ---> FALSE
1/1;Tromsø & Nord Amerika & kvinne ---> FALSE
1/1;kvinne & elektriker ---> FALSE
1/1;kvinne & mellom 50 og 60 & advokat ---> FALSE
1/1;kvinne & rørlegger ---> FALSE
1/1;mann & modell ---> FALSE
1/1;mellom 20 og 30 & kvinne & advokat ---> FALSE
1/1;mellom 20 og 30 & psykolog & Trondheim & Afrika & mann ---> FALSE
1/1;mellom 30 og 40 & Nord Amerika & mann ---> FALSE
1/1;musiker & kvinne ---> FALSE
1/1;psykolog & Kristiansand & mann & mellom 40 og 50 ---> FALSE
1/1;psykolog & mann & mellom 50 og 60 ---> FALSE
1/1;psykolog & mellom 30 og 40 & mann ---> FALSE
1/1;psykolog & Ålesund & mann ---> FALSE
1/1;sykepleier & mann ---> FALSE
1/1;yngre enn 20 & Bodø & Sør Amerika & kvinne ---> FALSE
1/1;yngre enn 20 & Stavanger & kvinne & advokat ---> FALSE
