COUNT;HORN RULES (filtered)
6/6;fotograf & kvinne ---> FALSE
6/6;frisør & mann ---> FALSE
6/6;kvinne & elektriker ---> FALSE
6/6;kvinne & rørlegger ---> FALSE
6/6;mann & modell ---> FALSE
6/6;sykepleier & mann ---> FALSE
2/6;kvinne & advokat ---> FALSE
2/6;Ålesund & Nord Amerika & kvinne ---> eldre enn 60
2/6;Ålesund & Nord Amerika & kvinne ---> modell
2/6;forfatter & kvinne & eldre enn 60 ---> FALSE
2/6;yngre enn 20 & Bergen & kvinne ---> FALSE
2/6;yngre enn 20 & Oslo & kvinne ---> FALSE
1/6;Asia & kvinne ---> frisør
1/6;Asia & kvinne ---> mellom 20 og 30
1/6;Asia & kvinne ---> Ålesund
1/6;Australia & kvinne & mellom 50 og 60 ---> Tromsø
1/6;Australia & kvinne & mellom 50 og 60 ---> sykepleier
1/6;yngre enn 20 & kvinne ---> Ålesund
1/6;forfatter & Trondheim & kvinne ---> FALSE
1/6;Kristiansand ---> kvinne
1/6;Tromsø & kvinne ---> Nord Amerika
1/6;Tromsø & kvinne ---> mellom 20 og 30
1/6;Tromsø & kvinne ---> sykepleier
1/6;kvinne & advokat ---> Afrika
1/6;kvinne & advokat ---> mellom 40 og 50
1/6;mellom 20 og 30 & kvinne ---> sykepleier
1/6;Bodø & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/6;yngre enn 20 & Oslo & Sør Amerika & kvinne ---> FALSE
1/6;yngre enn 20 & forfatter & kvinne ---> FALSE
1/6;forfatter & kvinne ---> Europa
1/6;forfatter & kvinne ---> mellom 40 og 50
1/6;forfatter & kvinne ---> Ålesund
1/6;Bergen & Afrika ---> FALSE
1/6;forfatter & Stavanger & Europa & mann & mellom 40 og 50 ---> FALSE
1/6;mellom 20 og 30 & Bodø & Afrika & kvinne ---> FALSE
1/6;yngre enn 20 & Ålesund & kvinne ---> FALSE
1/6;Bergen & kvinne & mellom 50 og 60 ---> Afrika
1/6;Bergen & kvinne & mellom 50 og 60 ---> modell
1/6;Nord Amerika & mann & mellom 40 og 50 ---> Bodø
1/6;Nord Amerika & mann & mellom 40 og 50 ---> advokat
1/6;Stavanger & mellom 30 og 40 & kvinne ---> Sør Amerika
1/6;Stavanger & mellom 30 og 40 & kvinne ---> forfatter
