ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;0.923
2;118;2;1.226
3;92;1;0.428
4;87;1;0.669
5;88;2;1.559
6;89;1;1.603
7;104;1;1.621
8;105;1;2.397
9;112;3;3.759
10;134;3;3.540
11;154;1;3.151
12;161;1;3.809
13;150;1;3.244
14;131;2;2.652
15;128;7;4.655
16;134;3;4.040
17;132;5;4.004
18;130;1;2.155
19;148;5;5.110
20;149;3;4.257
21;156;5;5.525
22;163;1;4.907
23;179;2;5.147
24;176;2;5.295
25;196;2;5.530
26;197;3;6.674
27;213;2;6.243
28;222;1;6.816
29;200;2;4.662
30;209;4;7.954
31;225;1;6.358
32;206;1;4.064
33;203;2;6.706
34;184;2;6.571
35;197;1;5.862
36;205;5;8.316
37;200;5;5.974
38;196;5;6.014
39;205;1;7.228
40;204;1;4.484
41;182;1;3.953
42;189;2;8.137
43;188;1;4.126
44;181;3;8.562
45;178;2;4.129
46;177;6;6.004
47;167;5;8.524
48;165;1;3.099
49;163;1;2.906
50;160;5;4.735
51;169;3;7.423
52;149;2;6.895
53;150;1;6.239
54;149;7;5.740
55;148;4;8.091
56;149;4;7.505
57;148;2;3.279
58;150;4;7.963
59;157;9;11.074
60;151;1;6.959
61;152;8;10.481
62;143;3;7.920
63;144;2;7.105
64;141;5;8.850
65;139;4;7.677
66;159;1;6.657
67;159;10;11.054
68;158;1;6.764
69;167;4;8.043
70;180;4;8.961
71;194;2;8.421
72;190;3;4.577
73;172;2;7.835
74;173;2;8.231
75;171;2;3.755
76;172;15;14.646
77;188;3;9.419
78;187;7;11.586
79;188;6;11.205
80;177;1;8.424
81;176;2;4.137
82;194;2;9.606
83;195;4;10.820
84;174;2;4.489
85;174;4;11.641
86;170;1;3.840
87;171;1;8.685
88;187;2;10.224
89;186;9;13.883
90;199;2;10.268
91;221;1;11.097
92;208;3;12.272
93;209;4;12.272
94;193;6;7.196
95;208;5;13.632
96;205;1;5.450
97;207;2;11.920
98;222;6;14.942
99;219;1;5.487
100;217;1;5.496
