ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;2;1.311
2;116;1;1.157
3;118;6;3.108
4;92;1;0.419
5;89;3;1.246
6;87;2;1.220
7;88;5;2.883
8;89;2;1.818
9;91;7;4.354
10;89;4;2.355
11;96;2;2.450
12;95;8;4.092
13;101;2;2.580
14;123;2;2.462
15;144;2;2.985
16;123;1;1.416
17;130;2;2.982
18;138;1;3.065
19;139;1;3.086
20;147;7;6.370
21;148;1;3.732
22;144;1;3.791
23;153;1;3.785
24;152;3;3.447
25;166;3;5.350
26;183;3;5.762
27;169;5;7.226
28;176;3;6.029
29;190;3;6.685
30;204;1;6.200
31;210;1;6.543
32;208;3;5.399
33;204;3;8.179
34;201;1;4.113
35;202;3;7.569
36;200;8;8.021
37;212;1;7.206
38;221;8;11.212
39;236;5;10.863
40;223;6;7.959
41;231;6;11.622
42;229;4;7.351
43;222;3;9.427
44;202;2;5.063
45;200;11;13.523
46;199;1;4.025
47;198;14;10.595
48;198;2;8.115
49;197;3;4.669
50;210;1;7.988
51;217;10;13.326
52;218;1;8.236
53;240;5;12.152
54;222;1;4.619
55;203;16;11.738
56;202;1;4.140
57;211;4;10.336
58;211;2;10.136
59;206;1;9.741
60;202;17;12.324
61;212;5;10.694
62;193;1;3.721
63;194;8;13.139
64;192;11;9.116
65;199;3;11.335
66;213;1;10.456
67;212;21;15.056
68;205;7;13.242
69;202;2;4.483
70;217;6;12.886
71;217;12;16.288
72;224;4;12.034
73;241;3;12.744
74;242;5;14.472
75;248;8;16.454
76;249;5;14.852
77;251;6;16.217
78;251;3;14.991
79;250;3;7.731
80;228;1;12.676
81;208;1;5.622
82;188;5;7.274
83;181;2;12.954
84;182;3;12.907
85;179;1;11.933
86;199;4;12.883
87;200;2;12.525
88;209;4;13.650
89;206;3;13.522
90;205;2;12.831
91;212;1;11.425
92;219;3;13.922
93;233;18;21.620
94;231;1;13.175
95;240;11;18.797
96;250;17;21.708
97;257;2;15.684
98;258;13;21.692
99;264;6;18.806
100;242;7;17.303
101;243;1;15.030
102;222;1;6.231
103;220;8;9.621
104;213;5;17.162
105;220;7;17.686
106;235;2;14.349
107;231;5;8.586
108;231;9;19.252
109;212;5;15.450
110;211;3;6.861
111;213;8;18.581
112;212;2;13.495
113;207;1;13.445
114;201;2;13.456
115;202;6;16.504
116;203;3;15.502
117;201;6;15.648
118;215;3;15.420
119;202;1;5.654
120;208;2;14.747
121;210;9;20.224
122;207;2;6.099
123;205;8;8.936
124;219;2;16.257
125;226;4;17.708
126;225;1;6.088
127;234;3;15.975
128;243;13;22.417
129;244;12;23.363
130;229;1;18.309
131;229;32;31.987
132;230;6;19.833
133;231;1;17.850
134;232;13;24.594
135;233;2;19.557
136;239;1;18.680
137;239;4;18.958
138;240;1;20.501
139;226;3;8.819
140;213;8;11.198
141;206;1;16.866
142;220;4;21.641
143;234;2;20.648
144;233;1;7.862
145;242;10;24.333
146;236;5;22.207
147;237;22;31.823
148;246;3;21.494
149;256;8;27.851
150;270;1;24.682
151;264;14;30.427
152;251;1;22.453
153;252;10;29.797
154;261;2;24.607
155;275;1;25.228
156;259;2;10.628
157;258;9;14.259
158;255;7;13.350
159;264;4;27.790
160;260;4;11.579
161;255;3;10.559
162;269;20;32.979
163;278;3;24.042
164;287;10;31.350
165;288;3;28.100
166;295;2;25.698
167;297;8;30.051
168;306;1;26.793
169;308;12;34.093
170;306;17;21.874
171;299;8;32.718
172;286;7;14.717
173;295;8;33.278
174;294;20;22.967
175;300;15;39.251
176;309;7;32.501
177;300;5;31.135
178;301;8;32.834
179;301;2;30.141
180;300;5;14.119
181;314;6;31.968
182;329;1;32.896
183;338;2;31.863
184;354;2;33.247
185;355;2;33.968
186;340;6;17.024
187;350;3;35.223
188;337;1;33.912
189;336;11;20.251
190;327;11;40.951
191;336;1;33.527
192;343;11;42.371
193;327;7;17.279
194;328;5;39.773
195;328;2;37.267
196;330;2;35.691
197;329;14;44.706
198;337;19;45.755
199;335;17;23.956
200;342;6;40.371
