ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;94;3;1.776
2;118;2;1.238
3;91;3;0.931
4;87;2;0.912
5;94;1;1.164
6;103;1;1.646
7;112;1;1.674
8;128;4;3.876
9;144;2;2.665
10;158;1;2.697
11;159;1;2.494
12;137;1;1.887
13;139;1;2.731
14;140;2;3.808
15;162;1;3.756
16;159;1;2.268
17;139;2;3.373
18;138;1;1.734
19;118;1;1.746
20;119;1;3.488
21;117;1;1.838
22;120;2;3.748
23;119;1;1.786
24;126;1;3.680
25;133;1;3.542
26;131;1;3.718
27;147;1;3.789
28;148;1;4.098
29;155;1;4.655
30;135;1;2.482
31;133;1;2.297
32;140;2;5.166
33;121;2;2.856
34;120;1;2.461
35;136;3;5.708
36;150;2;5.626
37;153;4;7.132
38;151;1;2.687
39;152;1;5.591
40;172;4;7.765
41;187;3;7.534
42;185;1;3.652
43;186;5;8.712
44;183;2;3.967
45;184;2;7.730
46;183;4;4.990
47;179;3;4.288
48;188;1;6.747
49;181;1;7.049
50;190;3;7.882
51;199;6;10.383
52;200;1;7.887
53;194;2;9.002
54;180;1;7.858
55;179;2;4.254
56;155;2;3.728
57;163;1;6.903
58;178;2;7.510
59;187;3;9.079
60;186;1;8.229
61;166;2;7.954
62;160;3;8.362
63;146;1;2.759
64;144;2;3.167
65;151;1;7.397
66;166;1;8.667
67;168;6;11.030
68;174;1;9.652
69;172;1;3.804
70;181;2;10.138
71;182;1;10.367
72;180;2;4.742
73;179;3;5.202
74;189;7;13.219
75;168;3;4.949
76;182;1;10.532
77;180;3;5.046
78;178;2;4.342
79;179;3;11.297
80;179;2;10.886
81;177;2;4.460
82;178;3;10.984
83;180;1;10.401
84;178;6;6.517
85;179;11;15.728
86;170;10;15.731
87;167;5;11.652
88;147;2;3.826
89;144;5;5.025
90;154;1;9.219
91;156;1;10.268
92;155;2;9.477
93;156;2;9.054
94;155;4;4.422
95;175;1;9.230
96;176;5;11.225
97;175;7;12.178
98;176;2;9.871
99;189;2;11.420
100;204;1;11.255
101;204;2;13.389
102;211;3;14.245
103;210;1;4.684
104;209;4;13.043
105;210;1;11.185
106;195;6;14.286
107;209;2;12.994
108;217;1;12.555
109;237;7;15.630
110;257;1;13.693
111;256;6;8.283
112;240;1;5.104
113;222;15;12.564
114;231;3;14.580
115;232;6;16.656
116;241;6;18.870
117;242;7;18.606
118;250;4;17.520
119;250;1;16.183
120;252;19;28.131
121;249;18;15.837
122;258;10;21.961
123;259;20;28.186
124;274;4;21.695
125;273;2;21.003
126;282;12;27.150
127;291;12;26.785
128;290;13;15.615
129;299;35;40.253
130;308;1;23.480
131;306;17;18.980
132;307;4;25.892
133;306;13;16.622
134;313;1;25.622
135;328;6;27.316
136;321;5;29.745
137;320;34;29.886
138;321;13;31.499
139;308;9;14.870
140;317;8;29.729
141;316;6;13.511
142;307;9;31.372
143;288;5;11.750
144;297;4;28.635
145;305;8;29.406
146;304;8;29.151
147;303;14;17.392
148;311;6;28.576
149;312;7;31.116
150;305;2;27.269
151;314;3;27.140
152;313;10;15.878
153;322;14;34.672
154;331;1;29.448
155;333;24;44.281
156;324;8;35.313
157;333;31;46.188
158;332;14;19.703
159;341;6;35.664
160;342;7;36.712
161;348;3;32.317
162;348;1;31.955
163;347;6;15.992
164;344;13;19.674
165;338;6;35.039
166;347;3;31.417
167;354;1;34.413
168;362;18;45.808
169;360;2;14.582
170;360;1;32.113
171;359;14;21.365
172;351;2;13.863
173;350;1;13.061
174;358;4;34.686
175;352;2;31.930
176;359;12;38.384
177;360;1;33.259
178;351;2;34.330
179;352;2;33.501
180;367;2;38.219
181;373;5;37.950
182;371;1;14.796
183;383;2;36.908
184;383;3;38.025
185;382;1;15.182
186;376;2;37.584
187;385;2;37.062
188;386;7;41.155
189;386;6;41.516
190;378;14;48.169
191;365;6;18.296
192;351;5;18.433
193;350;3;15.831
194;351;2;40.834
195;360;2;42.076
196;359;1;14.993
197;358;5;17.404
198;359;1;37.950
199;360;1;41.818
200;361;16;49.028
