ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;2;1.701
2;89;2;2.249
3;98;3;3.537
4;105;3;4.235
5;106;2;4.272
6;107;1;4.274
7;116;2;5.837
8;117;2;6.495
9;118;1;6.339
10;124;3;7.808
11;154;2;2.086
12;128;3;2.953
13;123;2;3.369
14;141;1;3.162
15;142;2;6.721
16;143;1;6.775
17;121;1;2.579
18;122;1;7.483
19;129;4;10.170
20;130;2;9.508
21;138;3;5.946
22;154;1;5.859
23;160;1;5.049
24;162;3;6.455
25;170;1;5.196
26;177;2;9.900
27;175;2;5.320
28;189;1;6.697
29;169;1;4.691
30;167;1;4.510
31;145;2;4.929
32;143;3;5.385
33;136;1;6.153
34;139;4;7.866
35;134;1;5.892
36;133;1;5.092
37;130;1;3.577
38;142;2;6.601
39;143;1;8.576
40;153;2;6.528
41;152;1;3.835
42;132;1;3.343
43;139;4;10.666
44;136;1;3.585
45;132;1;3.353
46;134;1;5.551
47;131;1;3.019
48;145;1;6.417
49;146;4;11.879
50;144;1;3.639
51;130;1;6.259
52;131;3;10.437
53;130;2;4.201
54;137;1;9.738
55;136;2;4.287
56;130;2;6.939
57;129;1;3.290
58;130;4;11.364
59;119;3;7.397
60;115;1;3.054
61;124;2;9.966
62;131;2;7.223
63;147;3;8.388
64;146;1;7.279
65;153;1;10.478
66;152;3;8.571
67;159;3;12.281
68;160;1;11.741
69;173;1;12.861
70;174;1;11.177
71;187;1;8.575
72;175;1;14.305
73;174;1;4.900
74;181;1;14.383
75;174;2;10.024
76;171;3;10.219
77;169;1;4.818
78;170;1;13.968
79;166;1;9.585
80;167;1;14.810
81;164;4;7.275
82;178;2;12.196
83;185;3;17.688
84;186;1;17.011
85;192;3;18.171
86;206;4;20.447
87;221;3;20.409
88;222;2;20.573
89;236;6;24.466
90;251;3;15.755
91;250;1;8.116
92;249;3;9.303
93;256;3;23.709
94;262;1;15.266
95;263;3;24.813
96;264;3;25.626
97;271;1;25.741
98;272;1;26.084
99;286;4;23.320
100;294;1;23.090
