ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;0.834
2;110;4;2.178
3;118;1;0.791
4;90;5;1.209
5;89;1;0.599
6;88;1;0.543
7;87;1;0.737
8;88;1;1.205
9;91;1;1.512
10;87;2;1.117
11;94;1;1.346
12;95;4;2.646
13;96;1;1.755
14;105;3;2.792
15;107;1;2.394
16;121;4;3.903
17;136;1;2.983
18;137;1;3.340
19;131;1;3.403
20;153;1;3.655
21;177;2;4.015
22;158;2;2.534
23;159;4;4.874
24;160;10;7.115
25;146;3;4.560
26;166;1;4.210
27;143;1;2.486
28;144;1;4.470
29;145;3;5.443
30;141;11;7.038
31;140;1;2.786
32;139;1;2.631
33;137;2;5.009
34;119;9;5.554
35;120;2;4.771
36;118;2;2.592
37;117;1;2.178
38;116;1;2.010
39;130;1;4.597
40;130;4;5.884
41;127;4;3.239
42;134;1;4.749
43;148;3;5.896
44;154;1;5.325
45;154;5;6.981
46;161;1;5.977
47;169;1;6.223
48;156;1;5.723
49;153;4;6.704
50;171;2;6.214
51;178;1;6.113
52;179;2;7.080
53;159;2;3.291
54;168;1;6.520
55;167;1;3.068
56;148;1;6.963
57;146;4;3.810
58;145;7;5.101
59;159;1;6.679
60;167;1;7.418
61;176;1;7.768
62;182;1;8.265
63;188;1;8.543
64;175;3;8.875
65;174;3;4.381
66;172;1;8.195
67;171;3;4.116
68;170;9;6.592
69;169;1;6.987
70;170;3;7.549
71;172;6;9.344
72;173;4;8.973
73;170;1;7.591
74;184;5;9.410
75;193;3;8.607
76;205;1;8.473
77;214;2;10.083
78;221;1;9.515
79;222;8;13.177
80;236;9;14.546
81;256;6;13.930
82;265;3;13.227
83;264;7;15.712
84;264;4;14.361
85;265;11;18.365
86;266;5;15.609
87;275;1;13.323
88;269;6;16.647
89;267;10;18.765
90;266;6;9.839
91;275;4;15.072
92;269;10;18.676
93;255;2;7.651
94;256;11;20.099
95;271;1;14.824
96;279;10;21.387
97;294;18;26.194
98;308;1;18.391
99;295;14;23.627
100;292;3;9.737
