ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;2;1.311;1.311;0:00:01
2;116;1;1.157;2.468;0:00:02
3;118;6;3.108;5.576;0:00:05
4;92;1;0.419;5.995;0:00:05
5;89;3;1.246;7.241;0:00:07
6;87;2;1.220;8.461;0:00:08
7;88;5;2.883;11.344;0:00:11
8;89;2;1.818;13.162;0:00:13
9;91;7;4.354;17.516;0:00:17
10;89;4;2.355;19.871;0:00:19
11;96;2;2.450;22.321;0:00:22
12;95;8;4.092;26.413;0:00:26
13;101;2;2.580;28.993;0:00:28
14;123;2;2.462;31.455;0:00:31
15;144;2;2.985;34.44;0:00:34
16;123;1;1.416;35.856;0:00:35
17;130;2;2.982;38.838;0:00:38
18;138;1;3.065;41.903;0:00:41
19;139;1;3.086;44.989;0:00:44
20;147;7;6.370;51.359;0:00:51
21;148;1;3.732;55.091;0:00:55
22;144;1;3.791;58.882;0:00:58
23;153;1;3.785;62.667;0:01:02
24;152;3;3.447;66.114;0:01:06
25;166;3;5.350;71.464;0:01:11
26;183;3;5.762;77.226;0:01:17
27;169;5;7.226;84.452;0:01:24
28;176;3;6.029;90.481;0:01:30
29;190;3;6.685;97.166;0:01:37
30;204;1;6.200;103.366;0:01:43
31;210;1;6.543;109.909;0:01:49
32;208;3;5.399;115.308;0:01:55
33;204;3;8.179;123.487;0:02:03
34;201;1;4.113;127.6;0:02:07
35;202;3;7.569;135.169;0:02:15
36;200;8;8.021;143.19;0:02:23
37;212;1;7.206;150.396;0:02:30
38;221;8;11.212;161.608;0:02:41
39;236;5;10.863;172.471;0:02:52
40;223;6;7.959;180.43;0:03:00
41;231;6;11.622;192.052;0:03:12
42;229;4;7.351;199.403;0:03:19
43;222;3;9.427;208.83;0:03:28
44;202;2;5.063;213.893;0:03:33
45;200;11;13.523;227.416;0:03:47
46;199;1;4.025;231.441;0:03:51
47;198;14;10.595;242.036;0:04:02
48;198;2;8.115;250.151;0:04:10
49;197;3;4.669;254.82;0:04:14
50;210;1;7.988;262.808;0:04:22
51;217;10;13.326;276.134;0:04:36
52;218;1;8.236;284.37;0:04:44
53;240;5;12.152;296.522;0:04:56
54;222;1;4.619;301.141;0:05:01
55;203;16;11.738;312.879;0:05:12
56;202;1;4.140;317.019;0:05:17
57;211;4;10.336;327.355;0:05:27
58;211;2;10.136;337.491;0:05:37
59;206;1;9.741;347.232;0:05:47
60;202;17;12.324;359.556;0:05:59
61;212;5;10.694;370.25;0:06:10
62;193;1;3.721;373.971;0:06:13
63;194;8;13.139;387.11;0:06:27
64;192;11;9.116;396.226;0:06:36
65;199;3;11.335;407.561;0:06:47
66;213;1;10.456;418.017;0:06:58
67;212;21;15.056;433.073;0:07:13
68;205;7;13.242;446.315;0:07:26
69;202;2;4.483;450.798;0:07:30
70;217;6;12.886;463.684;0:07:43
71;217;12;16.288;479.972;0:07:59
72;224;4;12.034;492.006;0:08:12
73;241;3;12.744;504.75;0:08:24
74;242;5;14.472;519.222;0:08:39
75;248;8;16.454;535.676;0:08:55
76;249;5;14.852;550.528;0:09:10
77;251;6;16.217;566.745;0:09:26
78;251;3;14.991;581.736;0:09:41
79;250;3;7.731;589.467;0:09:49
80;228;1;12.676;602.143;0:10:02
81;208;1;5.622;607.765;0:10:07
82;188;5;7.274;615.039;0:10:15
83;181;2;12.954;627.993;0:10:27
84;182;3;12.907;640.9;0:10:40
85;179;1;11.933;652.833;0:10:52
86;199;4;12.883;665.716;0:11:05
87;200;2;12.525;678.241;0:11:18
88;209;4;13.650;691.891;0:11:31
89;206;3;13.522;705.413;0:11:45
90;205;2;12.831;718.244;0:11:58
91;212;1;11.425;729.669;0:12:09
92;219;3;13.922;743.591;0:12:23
93;233;18;21.620;765.211;0:12:45
94;231;1;13.175;778.386;0:12:58
95;240;11;18.797;797.183;0:13:17
96;250;17;21.708;818.891;0:13:38
97;257;2;15.684;834.575;0:13:54
98;258;13;21.692;856.267;0:14:16
99;264;6;18.806;875.073;0:14:35
100;242;7;17.303;892.376;0:14:52
101;243;1;15.030;907.406;0:15:07
102;222;1;6.231;913.637;0:15:13
103;220;8;9.621;923.258;0:15:23
104;213;5;17.162;940.42;0:15:40
105;220;7;17.686;958.106;0:15:58
106;235;2;14.349;972.455;0:16:12
107;231;5;8.586;981.041;0:16:21
108;231;9;19.252;1000.293;0:16:40
109;212;5;15.450;1015.743;0:16:55
110;211;3;6.861;1022.604;0:17:02
111;213;8;18.581;1041.185;0:17:21
112;212;2;13.495;1054.68;0:17:34
113;207;1;13.445;1068.125;0:17:48
114;201;2;13.456;1081.581;0:18:01
115;202;6;16.504;1098.085;0:18:18
116;203;3;15.502;1113.587;0:18:33
117;201;6;15.648;1129.235;0:18:49
118;215;3;15.420;1144.655;0:19:04
119;202;1;5.654;1150.309;0:19:10
120;208;2;14.747;1165.056;0:19:25
121;210;9;20.224;1185.28;0:19:45
122;207;2;6.099;1191.379;0:19:51
123;205;8;8.936;1200.315;0:20:00
124;219;2;16.257;1216.572;0:20:16
125;226;4;17.708;1234.28;0:20:34
