ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;3;1.776;1.776;0:00:01
2;118;2;1.238;3.014;0:00:03
3;91;3;0.931;3.945;0:00:03
4;87;2;0.912;4.857;0:00:04
5;94;1;1.164;6.021;0:00:06
6;103;1;1.646;7.667;0:00:07
7;112;1;1.674;9.341;0:00:09
8;128;4;3.876;13.217;0:00:13
9;144;2;2.665;15.882;0:00:15
10;158;1;2.697;18.579;0:00:18
11;159;1;2.494;21.073;0:00:21
12;137;1;1.887;22.96;0:00:22
13;139;1;2.731;25.691;0:00:25
14;140;2;3.808;29.499;0:00:29
15;162;1;3.756;33.255;0:00:33
16;159;1;2.268;35.523;0:00:35
17;139;2;3.373;38.896;0:00:38
18;138;1;1.734;40.63;0:00:40
19;118;1;1.746;42.376;0:00:42
20;119;1;3.488;45.864;0:00:45
21;117;1;1.838;47.702;0:00:47
22;120;2;3.748;51.45;0:00:51
23;119;1;1.786;53.236;0:00:53
24;126;1;3.680;56.916;0:00:56
25;133;1;3.542;60.458;0:01:00
26;131;1;3.718;64.176;0:01:04
27;147;1;3.789;67.965;0:01:07
28;148;1;4.098;72.063;0:01:12
29;155;1;4.655;76.718;0:01:16
30;135;1;2.482;79.2;0:01:19
31;133;1;2.297;81.497;0:01:21
32;140;2;5.166;86.663;0:01:26
33;121;2;2.856;89.519;0:01:29
34;120;1;2.461;91.98;0:01:31
35;136;3;5.708;97.688;0:01:37
36;150;2;5.626;103.314;0:01:43
37;153;4;7.132;110.446;0:01:50
38;151;1;2.687;113.133;0:01:53
39;152;1;5.591;118.724;0:01:58
40;172;4;7.765;126.489;0:02:06
41;187;3;7.534;134.023;0:02:14
42;185;1;3.652;137.675;0:02:17
43;186;5;8.712;146.387;0:02:26
44;183;2;3.967;150.354;0:02:30
45;184;2;7.730;158.084;0:02:38
46;183;4;4.990;163.074;0:02:43
47;179;3;4.288;167.362;0:02:47
48;188;1;6.747;174.109;0:02:54
49;181;1;7.049;181.158;0:03:01
50;190;3;7.882;189.04;0:03:09
51;199;6;10.383;199.423;0:03:19
52;200;1;7.887;207.31;0:03:27
53;194;2;9.002;216.312;0:03:36
54;180;1;7.858;224.17;0:03:44
55;179;2;4.254;228.424;0:03:48
56;155;2;3.728;232.152;0:03:52
57;163;1;6.903;239.055;0:03:59
58;178;2;7.510;246.565;0:04:06
59;187;3;9.079;255.644;0:04:15
60;186;1;8.229;263.873;0:04:23
61;166;2;7.954;271.827;0:04:31
62;160;3;8.362;280.189;0:04:40
63;146;1;2.759;282.948;0:04:42
64;144;2;3.167;286.115;0:04:46
65;151;1;7.397;293.512;0:04:53
66;166;1;8.667;302.179;0:05:02
67;168;6;11.030;313.209;0:05:13
68;174;1;9.652;322.861;0:05:22
69;172;1;3.804;326.665;0:05:26
70;181;2;10.138;336.803;0:05:36
71;182;1;10.367;347.17;0:05:47
72;180;2;4.742;351.912;0:05:51
73;179;3;5.202;357.114;0:05:57
74;189;7;13.219;370.333;0:06:10
75;168;3;4.949;375.282;0:06:15
76;182;1;10.532;385.814;0:06:25
77;180;3;5.046;390.86;0:06:30
78;178;2;4.342;395.202;0:06:35
79;179;3;11.297;406.499;0:06:46
80;179;2;10.886;417.385;0:06:57
81;177;2;4.460;421.845;0:07:01
82;178;3;10.984;432.829;0:07:12
83;180;1;10.401;443.23;0:07:23
84;178;6;6.517;449.747;0:07:29
85;179;11;15.728;465.475;0:07:45
86;170;10;15.731;481.206;0:08:01
87;167;5;11.652;492.858;0:08:12
88;147;2;3.826;496.684;0:08:16
89;144;5;5.025;501.709;0:08:21
90;154;1;9.219;510.928;0:08:30
91;156;1;10.268;521.196;0:08:41
92;155;2;9.477;530.673;0:08:50
93;156;2;9.054;539.727;0:08:59
94;155;4;4.422;544.149;0:09:04
95;175;1;9.230;553.379;0:09:13
96;176;5;11.225;564.604;0:09:24
97;175;7;12.178;576.782;0:09:36
98;176;2;9.871;586.653;0:09:46
99;189;2;11.420;598.073;0:09:58
100;204;1;11.255;609.328;0:10:09
101;204;2;13.389;622.717;0:10:22
102;211;3;14.245;636.962;0:10:36
103;210;1;4.684;641.646;0:10:41
104;209;4;13.043;654.689;0:10:54
105;210;1;11.185;665.874;0:11:05
106;195;6;14.286;680.16;0:11:20
107;209;2;12.994;693.154;0:11:33
108;217;1;12.555;705.709;0:11:45
109;237;7;15.630;721.339;0:12:01
110;257;1;13.693;735.032;0:12:15
111;256;6;8.283;743.315;0:12:23
112;240;1;5.104;748.419;0:12:28
113;222;15;12.564;760.983;0:12:40
114;231;3;14.580;775.563;0:12:55
115;232;6;16.656;792.219;0:13:12
116;241;6;18.870;811.089;0:13:31
117;242;7;18.606;829.695;0:13:49
118;250;4;17.520;847.215;0:14:07
119;250;1;16.183;863.398;0:14:23
120;252;19;28.131;891.529;0:14:51
121;249;18;15.837;907.366;0:15:07
122;258;10;21.961;929.327;0:15:29
123;259;20;28.186;957.513;0:15:57
124;274;4;21.695;979.208;0:16:19
125;273;2;21.003;1000.211;0:16:40
126;282;12;27.150;1027.361;0:17:07
127;291;12;26.785;1054.146;0:17:34
128;290;13;15.615;1069.761;0:17:49
129;299;35;40.253;1110.014;0:18:30
130;308;1;23.480;1133.494;0:18:53
131;306;17;18.980;1152.474;0:19:12
132;307;4;25.892;1178.366;0:19:38
133;306;13;16.622;1194.988;0:19:54
134;313;1;25.622;1220.61;0:20:20
135;328;6;27.316;1247.926;0:20:47
136;321;5;29.745;1277.671;0:21:17
137;320;34;29.886;1307.557;0:21:47
138;321;13;31.499;1339.056;0:22:19
139;308;9;14.870;1353.926;0:22:33
140;317;8;29.729;1383.655;0:23:03
141;316;6;13.511;1397.166;0:23:17
142;307;9;31.372;1428.538;0:23:48
143;288;5;11.750;1440.288;0:24:00
144;297;4;28.635;1468.923;0:24:28
145;305;8;29.406;1498.329;0:24:58
146;304;8;29.151;1527.48;0:25:27
147;303;14;17.392;1544.872;0:25:44
148;311;6;28.576;1573.448;0:26:13
149;312;7;31.116;1604.564;0:26:44
150;305;2;27.269;1631.833;0:27:11
151;314;3;27.140;1658.973;0:27:38
152;313;10;15.878;1674.851;0:27:54
153;322;14;34.672;1709.523;0:28:29
154;331;1;29.448;1738.971;0:28:58
155;333;24;44.281;1783.252;0:29:43
156;324;8;35.313;1818.565;0:30:18
157;333;31;46.188;1864.753;0:31:04
158;332;14;19.703;1884.456;0:31:24
159;341;6;35.664;1920.12;0:32:00
160;342;7;36.712;1956.832;0:32:36
161;348;3;32.317;1989.149;0:33:09
162;348;1;31.955;2021.104;0:33:41
163;347;6;15.992;2037.096;0:33:57
164;344;13;19.674;2056.77;0:34:16
165;338;6;35.039;2091.809;0:34:51
166;347;3;31.417;2123.226;0:35:23
167;354;1;34.413;2157.639;0:35:57
168;362;18;45.808;2203.447;0:36:43
169;360;2;14.582;2218.029;0:36:58
170;360;1;32.113;2250.142;0:37:30
171;359;14;21.365;2271.507;0:37:51
172;351;2;13.863;2285.37;0:38:05
173;350;1;13.061;2298.431;0:38:18
174;358;4;34.686;2333.117;0:38:53
