ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;1;1.158;1.158;0:00:01
2;95;3;3.210;4.368;0:00:04
3;96;4;4.210;8.578;0:00:08
4;97;2;3.598;12.176;0:00:12
5;98;1;3.641;15.817;0:00:15
6;99;1;4.253;20.07;0:00:20
7;123;3;2.504;22.574;0:00:22
8;97;2;1.888;24.462;0:00:24
9;93;1;1.691;26.153;0:00:26
10;92;1;1.853;28.006;0:00:28
11;114;2;3.344;31.35;0:00:31
12;115;1;4.377;35.727;0:00:35
13;137;2;3.783;39.51;0:00:39
14;138;1;2.991;42.501;0:00:42
15;119;1;2.341;44.842;0:00:44
16;133;1;4.027;48.869;0:00:48
17;129;1;2.483;51.352;0:00:51
18;132;3;4.779;56.131;0:00:56
19;133;3;5.932;62.063;0:01:02
20;140;1;5.366;67.429;0:01:07
21;147;2;6.895;74.324;0:01:14
22;169;3;5.922;80.246;0:01:20
23;170;4;9.035;89.281;0:01:29
24;151;3;4.753;94.034;0:01:34
25;157;4;7.837;101.871;0:01:41
26;158;6;10.916;112.787;0:01:52
27;182;2;6.980;119.767;0:01:59
28;190;5;7.416;127.183;0:02:07
29;191;1;7.682;134.865;0:02:14
30;189;4;5.349;140.214;0:02:20
31;167;1;3.311;143.525;0:02:23
32;189;4;7.773;151.298;0:02:31
33;167;1;3.492;154.79;0:02:34
34;148;1;3.638;158.428;0:02:38
35;145;1;6.411;164.839;0:02:44
36;152;1;8.674;173.513;0:02:53
37;150;1;3.909;177.422;0:02:57
38;171;2;7.606;185.028;0:03:05
39;189;1;7.804;192.832;0:03:12
40;195;1;9.154;201.986;0:03:21
41;168;3;6.548;208.534;0:03:28
42;164;1;4.295;212.829;0:03:32
43;144;1;3.911;216.74;0:03:36
44;143;5;6.952;223.692;0:03:43
45;141;2;5.117;228.809;0:03:48
46;134;1;7.674;236.483;0:03:56
47;131;1;3.518;240.001;0:04:00
48;132;3;10.521;250.522;0:04:10
49;131;1;3.525;254.047;0:04:14
50;132;2;10.129;264.176;0:04:24
51;154;1;7.736;271.912;0:04:31
52;132;2;4.170;276.082;0:04:36
53;131;1;3.392;279.474;0:04:39
54;130;1;3.347;282.821;0:04:42
55;139;4;12.461;295.282;0:04:55
56;148;5;13.653;308.935;0:05:08
57;149;3;13.131;322.066;0:05:22
58;143;1;9.038;331.104;0:05:31
59;122;1;8.637;339.741;0:05:39
60;121;1;3.629;343.37;0:05:43
61;128;1;10.982;354.352;0:05:54
62;129;1;7.784;362.136;0:06:02
63;129;2;8.568;370.704;0:06:10
64;130;9;15.622;386.326;0:06:26
65;128;1;3.667;389.993;0:06:29
66;127;3;4.978;394.971;0:06:34
67;126;1;3.430;398.401;0:06:38
68;135;8;16.016;414.417;0:06:54
69;136;1;8.132;422.549;0:07:02
70;135;5;11.606;434.155;0:07:14
71;143;2;12.534;446.689;0:07:26
72;128;2;4.378;451.067;0:07:31
73;142;4;11.172;462.239;0:07:42
74;134;2;9.683;471.922;0:07:51
75;135;5;14.587;486.509;0:08:06
76;135;3;10.742;497.251;0:08:17
77;134;5;12.091;509.342;0:08:29
78;143;1;9.140;518.482;0:08:38
79;158;4;12.309;530.791;0:08:50
80;167;3;14.712;545.503;0:09:05
81;173;6;14.769;560.272;0:09:20
82;179;5;14.314;574.586;0:09:34
83;194;4;17.530;592.116;0:09:52
84;194;1;15.525;607.641;0:10:07
85;193;1;5.780;613.421;0:10:13
86;194;5;18.771;632.192;0:10:32
87;206;1;16.621;648.813;0:10:48
88;207;3;18.259;667.072;0:11:07
89;193;10;12.373;679.445;0:11:19
90;186;4;14.442;693.887;0:11:33
91;187;2;16.960;710.847;0:11:50
92;178;6;15.417;726.264;0:12:06
93;177;2;5.855;732.119;0:12:12
94;178;11;22.313;754.432;0:12:34
95;186;1;12.805;767.237;0:12:47
96;187;1;16.691;783.928;0:13:03
97;202;5;15.490;799.418;0:13:19
98;212;6;17.188;816.606;0:13:36
99;228;4;19.815;836.421;0:13:56
100;213;5;16.817;853.238;0:14:13
