ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;3;1.550;1.55;0:00:01
2;116;1;1.080;2.63;0:00:02
3;118;2;1.185;3.815;0:00:03
4;92;4;1.014;4.829;0:00:04
5;89;1;0.575;5.404;0:00:05
6;87;2;1.077;6.481;0:00:06
7;96;1;1.169;7.65;0:00:07
8;112;1;1.498;9.148;0:00:09
9;113;2;1.957;11.105;0:00:11
10;128;2;2.289;13.394;0:00:13
11;152;5;3.988;17.382;0:00:17
12;141;1;2.445;19.827;0:00:19
13;142;1;2.402;22.229;0:00:22
14;120;7;4.173;26.402;0:00:26
15;140;3;3.643;30.045;0:00:30
16;147;3;3.954;33.999;0:00:33
17;141;8;4.915;38.914;0:00:38
18;142;1;3.347;42.261;0:00:42
19;158;2;3.720;45.981;0:00:45
20;137;1;2.056;48.037;0:00:48
21;131;1;3.341;51.378;0:00:51
22;132;2;3.695;55.073;0:00:55
23;154;1;3.930;59.003;0:00:59
24;155;1;4.210;63.213;0:01:03
25;162;1;4.513;67.726;0:01:07
26;162;3;5.784;73.51;0:01:13
27;161;3;3.911;77.421;0:01:17
28;158;2;3.197;80.618;0:01:20
29;157;1;2.788;83.406;0:01:23
30;164;3;5.450;88.856;0:01:28
31;178;2;5.559;94.415;0:01:34
32;159;1;2.954;97.369;0:01:37
33;141;3;5.223;102.592;0:01:42
34;148;1;3.978;106.57;0:01:46
35;162;1;4.458;111.028;0:01:51
36;163;3;5.530;116.558;0:01:56
37;164;2;5.551;122.109;0:02:02
38;180;2;5.837;127.946;0:02:07
39;187;4;7.106;135.052;0:02:15
40;202;2;6.714;141.766;0:02:21
41;203;3;8.002;149.768;0:02:29
42;185;5;6.017;155.785;0:02:35
43;199;5;9.026;164.811;0:02:44
44;201;3;8.427;173.238;0:02:53
45;180;1;4.119;177.357;0:02:57
46;198;4;8.780;186.137;0:03:06
47;204;2;8.161;194.298;0:03:14
48;224;1;8.158;202.456;0:03:22
49;238;2;9.301;211.757;0:03:31
50;234;4;6.716;218.473;0:03:38
51;231;1;4.823;223.296;0:03:43
52;238;9;12.314;235.61;0:03:55
53;252;1;9.141;244.751;0:04:04
54;267;4;11.383;256.134;0:04:16
55;265;4;7.628;263.762;0:04:23
56;272;9;15.045;278.807;0:04:38
57;273;5;13.352;292.159;0:04:52
58;260;3;12.205;304.364;0:05:04
59;258;4;8.037;312.401;0:05:12
60;247;1;11.196;323.597;0:05:23
61;265;2;12.018;335.615;0:05:35
62;273;1;11.869;347.484;0:05:47
63;274;4;13.889;361.373;0:06:01
64;272;2;7.707;369.08;0:06:09
65;271;2;7.695;376.775;0:06:16
66;272;3;14.733;391.508;0:06:31
67;286;1;13.924;405.432;0:06:45
68;284;2;8.317;413.749;0:06:53
69;269;2;13.369;427.118;0:07:07
70;275;13;18.687;445.805;0:07:25
71;262;1;12.618;458.423;0:07:38
72;285;13;19.397;477.82;0:07:57
73;283;4;9.038;486.858;0:08:06
74;290;4;15.474;502.332;0:08:22
75;289;5;9.967;512.299;0:08:32
76;282;1;13.508;525.807;0:08:45
77;275;1;12.840;538.647;0:08:58
78;274;4;7.846;546.493;0:09:06
79;274;11;17.515;564.008;0:09:24
80;275;10;16.804;580.812;0:09:40
81;290;2;13.384;594.196;0:09:54
82;305;2;14.487;608.683;0:10:08
83;306;2;15.425;624.108;0:10:24
84;307;5;17.382;641.49;0:10:41
85;291;2;15.431;656.921;0:10:56
86;270;12;13.362;670.283;0:11:10
87;254;1;6.900;677.183;0:11:17
88;253;3;7.746;684.929;0:11:24
89;251;3;7.798;692.727;0:11:32
90;267;2;14.722;707.449;0:11:47
91;266;11;12.075;719.524;0:11:59
92;251;2;14.744;734.268;0:12:14
93;248;1;13.250;747.518;0:12:27
94;249;9;17.194;764.712;0:12:44
95;249;1;13.608;778.32;0:12:58
96;251;7;16.463;794.783;0:13:14
97;249;2;14.180;808.963;0:13:28
98;232;4;14.164;823.127;0:13:43
99;239;3;13.227;836.354;0:13:56
100;253;3;14.250;850.604;0:14:10
