ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;0.774;0.774;0:00:00
2;116;2;1.377;2.151;0:00:02
3;91;8;3.454;5.605;0:00:05
4;92;21;8.151;13.756;0:00:13
5;87;1;0.715;14.471;0:00:14
6;104;2;1.459;15.93;0:00:15
7;91;1;1.331;17.261;0:00:17
8;88;13;4.993;22.254;0:00:22
9;87;1;0.735;22.989;0:00:22
10;88;1;1.193;24.182;0:00:24
11;95;1;1.429;25.611;0:00:25
12;96;2;2.017;27.628;0:00:27
13;93;3;2.557;30.185;0:00:30
14;113;2;2.417;32.602;0:00:32
15;109;1;1.477;34.079;0:00:34
16;111;4;3.305;37.384;0:00:37
17;112;2;2.485;39.869;0:00:39
18;113;1;2.322;42.191;0:00:42
19;127;3;3.450;45.641;0:00:45
20;128;4;3.956;49.597;0:00:49
21;129;2;3.460;53.057;0:00:53
22;141;2;3.726;56.783;0:00:56
23;149;4;4.635;61.418;0:01:01
24;137;1;3.428;64.846;0:01:04
25;144;1;3.491;68.337;0:01:08
26;153;1;3.918;72.255;0:01:12
27;159;9;7.560;79.815;0:01:19
28;157;4;4.238;84.053;0:01:24
29;171;2;5.145;89.198;0:01:29
30;161;4;5.932;95.13;0:01:35
31;159;7;5.603;100.733;0:01:40
32;173;7;7.362;108.095;0:01:48
33;179;1;5.062;113.157;0:01:53
34;161;5;4.820;117.977;0:01:57
35;169;1;5.015;122.992;0:02:02
36;170;1;5.112;128.104;0:02:08
37;178;1;5.502;133.606;0:02:13
38;179;2;6.062;139.668;0:02:19
39;176;1;3.691;143.359;0:02:23
40;185;1;5.749;149.108;0:02:29
41;186;2;6.569;155.677;0:02:35
42;208;3;7.503;163.18;0:02:43
43;192;3;7.372;170.552;0:02:50
44;190;1;4.097;174.649;0:02:54
45;192;4;7.456;182.105;0:03:02
46;171;3;3.891;185.996;0:03:05
47;168;1;3.386;189.382;0:03:09
48;181;1;6.566;195.948;0:03:15
49;182;2;7.615;203.563;0:03:23
50;204;2;7.993;211.556;0:03:31
51;213;8;11.118;222.674;0:03:42
52;221;1;8.462;231.136;0:03:51
53;221;5;10.629;241.765;0:04:01
54;227;9;12.267;254.032;0:04:14
55;225;3;9.137;263.169;0:04:23
56;203;14;13.285;276.454;0:04:36
57;213;4;8.770;285.224;0:04:45
58;214;10;11.572;296.796;0:04:56
59;215;3;8.735;305.531;0:05:05
60;197;5;9.334;314.865;0:05:14
61;219;1;7.808;322.673;0:05:22
62;198;4;6.029;328.702;0:05:28
63;178;1;4.403;333.105;0:05:33
64;176;4;5.552;338.657;0:05:38
65;185;15;13.710;352.367;0:05:52
66;185;4;9.106;361.473;0:06:01
67;194;7;10.836;372.309;0:06:12
68;208;2;9.285;381.594;0:06:21
69;200;8;8.191;389.785;0:06:29
70;206;5;11.407;401.192;0:06:41
71;207;2;9.815;411.007;0:06:51
72;208;1;9.622;420.629;0:07:00
73;207;12;14.710;435.339;0:07:15
74;206;2;5.507;440.846;0:07:20
75;205;4;6.122;446.968;0:07:26
76;206;6;11.294;458.262;0:07:38
77;213;2;10.250;468.512;0:07:48
78;209;6;7.520;476.032;0:07:56
79;195;2;9.097;485.129;0:08:05
80;195;5;10.307;495.436;0:08:15
81;195;3;9.193;504.629;0:08:24
82;194;14;14.166;518.795;0:08:38
83;196;4;9.895;528.69;0:08:48
84;186;6;10.742;539.432;0:08:59
85;184;5;10.035;549.467;0:09:09
86;190;4;9.909;559.376;0:09:19
87;191;7;11.388;570.764;0:09:30
88;188;2;9.157;579.921;0:09:39
89;175;4;9.270;589.191;0:09:49
90;199;3;9.127;598.318;0:09:58
91;206;1;8.736;607.054;0:10:07
92;185;5;6.010;613.064;0:10:13
93;192;3;9.876;622.94;0:10:22
94;187;5;11.011;633.951;0:10:33
95;185;2;9.917;643.868;0:10:43
96;183;8;7.019;650.887;0:10:50
97;184;2;8.579;659.466;0:10:59
98;190;4;9.807;669.273;0:11:09
99;199;1;9.084;678.357;0:11:18
100;196;1;4.249;682.606;0:11:22
