ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;1.749;1.749;0:00:01
2;116;3;2.450;4.199;0:00:04
3;91;1;1.043;5.242;0:00:05
4;89;6;3.525;8.767;0:00:08
5;87;2;1.432;10.199;0:00:10
6;88;1;1.289;11.488;0:00:11
7;90;1;1.749;13.237;0:00:13
8;91;1;1.548;14.785;0:00:14
9;111;3;3.114;17.899;0:00:17
10;112;1;1.936;19.835;0:00:19
11;113;1;2.497;22.332;0:00:22
12;112;1;1.583;23.915;0:00:23
13;113;2;2.866;26.781;0:00:26
14;114;5;4.986;31.767;0:00:31
15;123;1;2.601;34.368;0:00:34
16;125;2;3.605;37.973;0:00:37
17;107;1;1.866;39.839;0:00:39
18;108;1;3.232;43.071;0:00:43
19;122;1;3.747;46.818;0:00:46
20;130;1;4.024;50.842;0:00:50
21;145;4;5.870;56.712;0:00:56
22;151;1;4.470;61.182;0:01:01
23;140;1;4.123;65.305;0:01:05
24;138;2;3.135;68.44;0:01:08
25;145;1;4.201;72.641;0:01:12
26;152;1;4.225;76.866;0:01:16
27;137;2;5.116;81.982;0:01:21
28;146;2;4.696;86.678;0:01:26
29;143;1;2.908;89.586;0:01:29
30;137;1;4.790;94.376;0:01:34
31;128;2;5.084;99.46;0:01:39
32;137;4;5.783;105.243;0:01:45
33;133;1;4.576;109.819;0:01:49
34;132;3;4.273;114.092;0:01:54
35;127;2;3.349;117.441;0:01:57
36;121;1;4.386;121.827;0:02:01
37;119;2;2.683;124.51;0:02:04
38;128;2;4.598;129.108;0:02:09
39;129;3;5.396;134.504;0:02:14
40;128;2;3.155;137.659;0:02:17
41;148;1;5.083;142.742;0:02:22
42;142;1;5.322;148.064;0:02:28
43;141;2;3.426;151.49;0:02:31
44;156;1;5.210;156.7;0:02:36
45;155;2;3.555;160.255;0:02:40
46;134;1;2.735;162.99;0:02:42
47;143;5;7.765;170.755;0:02:50
48;144;2;6.442;177.197;0:02:57
49;143;1;2.884;180.081;0:03:00
50;144;3;6.870;186.951;0:03:06
51;141;2;3.500;190.451;0:03:10
52;126;2;6.390;196.841;0:03:16
53;143;2;6.132;202.973;0:03:22
54;140;4;4.187;207.16;0:03:27
55;140;6;8.867;216.027;0:03:36
56;139;1;2.523;218.55;0:03:38
57;140;3;6.385;224.935;0:03:44
58;126;1;5.382;230.317;0:03:50
59;127;3;6.222;236.539;0:03:56
60;128;2;6.403;242.942;0:04:02
61;125;1;2.698;245.64;0:04:05
62;145;2;6.351;251.991;0:04:11
63;157;1;6.223;258.214;0:04:18
64;172;15;14.552;272.766;0:04:32
65;185;2;7.941;280.707;0:04:40
66;205;2;9.023;289.73;0:04:49
67;219;2;9.553;299.283;0:04:59
68;220;3;10.883;310.166;0:05:10
69;231;4;11.614;321.78;0:05:21
70;239;11;16.606;338.386;0:05:38
71;248;4;12.089;350.475;0:05:50
72;256;3;12.317;362.792;0:06:02
73;265;7;15.221;378.013;0:06:18
74;277;3;13.466;391.479;0:06:31
75;277;7;16.471;407.95;0:06:47
76;269;1;12.379;420.329;0:07:00
77;270;1;12.040;432.369;0:07:12
78;269;10;13.053;445.422;0:07:25
79;289;8;17.742;463.164;0:07:43
80;295;2;14.571;477.735;0:07:57
81;277;54;44.395;522.13;0:08:42
82;264;15;16.471;538.601;0:08:58
83;262;16;17.167;555.768;0:09:15
84;261;15;16.194;571.962;0:09:31
85;270;27;31.756;603.718;0:10:03
86;279;5;17.547;621.265;0:10:21
87;278;2;9.456;630.721;0:10:30
88;276;7;11.903;642.624;0:10:42
89;277;22;29.706;672.33;0:11:12
90;276;7;11.470;683.8;0:11:23
91;270;4;16.972;700.772;0:11:40
92;271;11;21.575;722.347;0:12:02
93;269;1;7.222;729.569;0:12:09
94;268;21;20.221;749.79;0:12:29
95;266;7;10.783;760.573;0:12:40
96;260;19;26.442;787.015;0:13:07
97;258;3;7.878;794.893;0:13:14
98;273;11;21.699;816.592;0:13:36
99;272;6;10.484;827.076;0:13:47
100;272;6;18.918;845.994;0:14:05
101;281;6;18.913;864.907;0:14:24
102;290;73;64.770;929.677;0:15:29
103;276;37;40.757;970.434;0:16:10
104;282;14;25.303;995.737;0:16:35
105;291;31;37.957;1033.694;0:17:13
106;300;9;23.034;1056.728;0:17:36
107;299;34;31.703;1088.431;0:18:08
108;305;15;27.813;1116.244;0:18:36
109;299;1;18.028;1134.272;0:18:54
110;298;44;37.588;1171.86;0:19:31
111;283;1;17.426;1189.286;0:19:49
112;282;9;21.995;1211.281;0:20:11
113;291;35;39.729;1251.01;0:20:51
114;300;7;21.454;1272.464;0:21:12
115;301;55;55.619;1328.083;0:22:08
116;318;45;49.761;1377.844;0:22:57
117;327;8;25.513;1403.357;0:23:23
118;333;20;34.657;1438.014;0:23:58
119;318;5;23.565;1461.579;0:24:21
120;319;5;22.973;1484.552;0:24:44
121;317;43;39.310;1523.862;0:25:23
122;316;14;30.347;1554.209;0:25:54
123;325;3;21.977;1576.186;0:26:16
124;305;3;21.887;1598.073;0:26:38
125;290;4;11.025;1609.098;0:26:49
126;289;3;10.026;1619.124;0:26:59
127;274;27;36.422;1655.546;0:27:35
128;272;65;61.063;1716.609;0:28:36
129;281;33;38.833;1755.442;0:29:15
130;290;35;41.554;1796.996;0:29:56
131;283;13;26.950;1823.946;0:30:23
132;282;42;35.975;1859.921;0:30:59
133;283;7;23.561;1883.482;0:31:23
134;282;11;14.942;1898.424;0:31:38
135;291;6;23.065;1921.489;0:32:01
136;300;27;38.401;1959.89;0:32:39
137;302;4;23.323;1983.213;0:33:03
138;293;7;25.928;2009.141;0:33:29
139;293;6;24.584;2033.725;0:33:53
140;301;17;32.512;2066.237;0:34:26
141;299;12;16.490;2082.727;0:34:42
142;308;5;23.470;2106.197;0:35:06
143;309;10;28.049;2134.246;0:35:34
144;310;11;29.477;2163.723;0:36:03
145;312;17;33.953;2197.676;0:36:37
146;321;2;24.575;2222.251;0:37:02
147;314;15;33.882;2256.133;0:37:36
148;316;5;27.046;2283.179;0:38:03
149;301;11;18.149;2301.328;0:38:21
150;310;24;41.268;2342.596;0:39:02
151;310;6;29.741;2372.337;0:39:32
152;302;19;24.194;2396.531;0:39:56
153;310;6;30.351;2426.882;0:40:26
154;319;19;38.956;2465.838;0:41:05
155;320;4;29.802;2495.64;0:41:35
156;311;6;31.105;2526.745;0:42:06
157;310;9;17.559;2544.304;0:42:24
158;312;2;27.700;2572.004;0:42:52
159;327;1;27.449;2599.453;0:43:19
160;328;21;42.617;2642.07;0:44:02
161;314;17;23.628;2665.698;0:44:25
162;323;23;44.127;2709.825;0:45:09
163;310;16;40.000;2749.825;0:45:49
164;319;6;32.837;2782.662;0:46:22
165;321;5;33.179;2815.841;0:46:55
166;329;2;32.671;2848.512;0:47:28
167;328;18;26.612;2875.124;0:47:55
168;329;26;50.215;2925.339;0:48:45
169;326;2;14.743;2940.082;0:49:00
170;318;6;17.143;2957.225;0:49:17
171;333;48;66.590;3023.815;0:50:23
172;334;3;34.878;3058.693;0:50:58
173;332;76;70.432;3129.125;0:52:09
174;347;35;59.463;3188.588;0:53:08
175;345;21;30.503;3219.091;0:53:39
176;345;12;43.335;3262.426;0:54:22
177;344;2;35.305;3297.731;0:54:57
178;345;13;42.504;3340.235;0:55:40
179;343;7;18.818;3359.053;0:55:59
180;343;6;36.603;3395.656;0:56:35
181;351;5;36.422;3432.078;0:57:12
182;352;11;42.242;3474.32;0:57:54
183;337;4;16.814;3491.134;0:58:11
184;336;7;18.497;3509.631;0:58:29
185;333;6;17.666;3527.297;0:58:47
186;334;4;35.299;3562.596;0:59:22
187;333;11;21.105;3583.701;0:59:43
188;332;19;48.179;3631.88;1:00:31
189;331;2;13.749;3645.629;1:00:45
190;341;6;37.009;3682.638;1:01:22
191;350;1;33.785;3716.423;1:01:56
192;349;11;21.963;3738.386;1:02:18
193;348;3;14.964;3753.35;1:02:33
194;332;6;16.769;3770.119;1:02:50
195;341;32;56.928;3827.047;1:03:47
196;342;7;39.805;3866.852;1:04:26
197;344;6;40.744;3907.596;1:05:07
198;342;7;18.638;3926.234;1:05:26
199;341;13;22.894;3949.128;1:05:49
200;341;2;37.831;3986.959;1:06:26
