ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;4.624;4.624;0:00:04
2;118;1;2.019;6.643;0:00:06
3;90;1;0.942;7.585;0:00:07
4;87;1;1.106;8.691;0:00:08
5;96;1;1.585;10.276;0:00:10
6;110;1;2.420;12.696;0:00:12
7;89;1;2.409;15.105;0:00:15
8;87;1;1.415;16.52;0:00:16
9;88;2;2.761;19.281;0:00:19
10;95;2;2.794;22.075;0:00:22
11;109;4;5.338;27.413;0:00:27
12;127;2;3.795;31.208;0:00:31
13;134;1;3.262;34.47;0:00:34
14;140;1;3.342;37.812;0:00:37
15;155;1;2.986;40.798;0:00:40
16;163;1;4.590;45.388;0:00:45
17;141;2;3.427;48.815;0:00:48
18;142;1;3.323;52.138;0:00:52
19;148;1;4.028;56.166;0:00:56
20;149;1;4.986;61.152;0:01:01
21;163;3;6.270;67.422;0:01:07
22;178;1;4.330;71.752;0:01:11
23;175;3;5.369;77.121;0:01:17
24;181;1;5.047;82.168;0:01:22
25;183;1;5.115;87.283;0:01:27
26;184;2;5.614;92.897;0:01:32
27;172;2;6.228;99.125;0:01:39
28;194;6;10.569;109.694;0:01:49
29;195;1;5.375;115.069;0:01:55
30;219;7;12.820;127.889;0:02:07
31;217;1;4.473;132.362;0:02:12
32;226;1;6.621;138.983;0:02:18
33;214;13;18.793;157.776;0:02:37
34;211;1;4.634;162.41;0:02:42
35;210;2;5.334;167.744;0:02:47
36;190;3;6.359;174.103;0:02:54
37;172;1;3.872;177.975;0:02:57
38;179;1;6.345;184.32;0:03:04
39;180;5;11.442;195.762;0:03:15
40;178;1;3.945;199.707;0:03:19
41;157;1;3.461;203.168;0:03:23
42;156;2;4.227;207.395;0:03:27
43;147;3;8.848;216.243;0:03:36
44;161;6;10.736;226.979;0:03:46
45;162;2;6.966;233.945;0:03:53
46;163;3;8.708;242.653;0:04:02
47;163;1;6.859;249.512;0:04:09
48;164;2;8.767;258.279;0:04:18
49;164;1;7.406;265.685;0:04:25
50;146;1;3.488;269.173;0:04:29
51;153;1;8.142;277.315;0:04:37
52;148;2;4.528;281.843;0:04:41
53;150;1;7.220;289.063;0:04:49
54;149;1;3.413;292.476;0:04:52
55;156;3;9.325;301.801;0:05:01
56;153;1;7.742;309.543;0:05:09
57;156;1;6.816;316.359;0:05:16
58;153;1;3.458;319.817;0:05:19
59;152;1;3.212;323.029;0:05:23
60;160;1;7.004;330.033;0:05:30
61;169;1;8.229;338.262;0:05:38
62;170;4;11.543;349.805;0:05:49
63;169;2;4.600;354.405;0:05:54
64;169;1;7.204;361.609;0:06:01
65;166;3;5.508;367.117;0:06:07
66;167;1;8.285;375.402;0:06:15
67;166;1;3.843;379.245;0:06:19
68;165;3;5.588;384.833;0:06:24
69;162;1;3.298;388.131;0:06:28
70;172;2;8.491;396.622;0:06:36
71;173;1;8.742;405.364;0:06:45
72;182;3;9.963;415.327;0:06:55
73;180;1;9.999;425.326;0:07:05
74;181;1;7.741;433.067;0:07:13
75;172;3;10.042;443.109;0:07:23
76;171;1;8.042;451.151;0:07:31
77;171;2;9.696;460.847;0:07:40
78;177;2;8.899;469.746;0:07:49
79;176;4;5.967;475.713;0:07:55
80;177;3;9.637;485.35;0:08:05
81;184;1;7.575;492.925;0:08:12
82;191;13;21.079;514.004;0:08:34
83;197;4;11.855;525.859;0:08:45
84;199;5;13.291;539.15;0:08:59
85;200;1;8.864;548.014;0:09:08
86;209;1;9.463;557.477;0:09:17
87;200;2;12.544;570.021;0:09:30
88;210;2;10.922;580.943;0:09:40
89;207;2;5.425;586.368;0:09:46
90;213;5;14.228;600.596;0:10:00
91;233;1;10.808;611.404;0:10:11
92;220;4;13.889;625.293;0:10:25
93;235;2;11.569;636.862;0:10:36
94;232;6;9.709;646.571;0:10:46
95;233;6;17.122;663.693;0:11:03
96;249;2;13.477;677.17;0:11:17
97;258;2;13.651;690.821;0:11:30
98;243;2;13.878;704.699;0:11:44
99;236;1;12.531;717.23;0:11:57
100;237;4;15.623;732.853;0:12:12
